1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
899000;Straßenkriminalität;16051000;Erfurt;3,414;1,598;230;6.7;0;1;724;21.2;617;551;66;173;28
899000;Straßenkriminalität;9562000;Erlangen;1,323;1,182;42;3.2;0;0;303;22.9;284;260;24;102;35.9
899000;Straßenkriminalität;5113000;Essen;9,785;1,678;623;6.4;5;6;1,448;14.8;1,588;1,385;203;553;34.8
899000;Straßenkriminalität;6412000;Frankfurt am Main;15,829;2,102;1,127;7.1;11;3;2,735;17.3;2,487;2,235;252;1,255;50.5
899000;Straßenkriminalität;8311000;Freiburg im Breisgau;4,120;1,789;238;5.8;0;1;701;17;784;704;80;318;40.6
899000;Straßenkriminalität;9563000;Fürth;987;773;60;6.1;0;0;261;26.4;247;204;43;90;36.4
899000;Straßenkriminalität;5513000;Gelsenkirchen;5,966;2,289;375;6.3;2;6;1,038;17.4;975;811;164;392;40.2
899000;Straßenkriminalität;3159016;Göttingen;3,039;2,537;131;4.3;2;0;620;20.4;464;415;49;154;33.2
899000;Straßenkriminalität;5754008;Gütersloh;1,767;1,764;53;3;1;1;241;13.6;235;199;36;88;37.4
899000;Straßenkriminalität;5914000;Hagen;3,399;1,800;159;4.7;5;3;693;20.4;660;572;88;251;38
899000;Straßenkriminalität;15002000;Halle (Saale);6,058;2,532;454;7.5;1;4;955;15.8;870;778;92;243;27.9
899000;Straßenkriminalität;2000000;Hamburg;51,470;2,795;3,290;6.4;22;9;5,367;10.4;5,573;4,832;741;2,398;43
899000;Straßenkriminalität;5915000;Hamm;3,680;2,055;333;9;0;5;559;15.2;565;499;66;204;36.1
899000;Straßenkriminalität;3241001;Hannover;12,434;2,311;752;6;3;6;2,789;22.4;2,506;2,273;233;956;38.1
899000;Straßenkriminalität;8221000;Heidelberg;2,598;1,620;113;4.3;1;0;409;15.7;469;430;39;189;40.3
899000;Straßenkriminalität;8121000;Heilbronn;1,462;1,161;57;3.9;1;0;281;19.2;280;237;43;129;46.1
899000;Straßenkriminalität;5916000;Herne;2,783;1,780;164;5.9;0;4;521;18.7;492;431;61;158;32.1
899000;Straßenkriminalität;3254021;Hildesheim;2,089;2,048;84;4;2;1;382;18.3;385;329;56;99;25.7
899000;Straßenkriminalität;9161000;Ingolstadt;1,658;1,210;46;2.8;0;1;303;18.3;318;281;37;141;44.3
899000;Straßenkriminalität;16053000;Jena;1,110;996;54;4.9;0;0;262;23.6;274;253;21;80;29.2
899000;Straßenkriminalität;8212000;Karlsruhe;5,102;1,630;239;4.7;1;0;699;13.7;787;717;70;291;37
899000;Straßenkriminalität;6611000;Kassel;2,733;1,356;124;4.5;3;4;586;21.4;608;540;68;250;41.1
899000;Straßenkriminalität;1002000;Kiel;5,857;2,366;347;5.9;0;2;879;15;830;752;78;223;26.9
899000;Straßenkriminalität;7111000;Koblenz;3,660;3,210;117;3.2;2;1;408;11.1;453;389;64;145;32
899000;Straßenkriminalität;5315000;Köln;32,313;2,976;2,265;7;14;15;4,991;15.4;5,045;4,425;620;2,033;40.3
899000;Straßenkriminalität;5114000;Krefeld;4,968;2,188;263;5.3;1;2;795;16;851;745;106;277;32.5
899000;Straßenkriminalität;14713000;Leipzig;19,795;3,367;995;5;7;5;2,901;14.7;2,577;2,293;284;751;29.1
899000;Straßenkriminalität;5316000;Leverkusen;2,921;1,783;201;6.9;0;6;530;18.1;579;502;77;152;26.3
899000;Straßenkriminalität;1003000;Lübeck;4,689;2,159;244;5.2;3;4;902;19.2;706;611;95;178;25.2
899000;Straßenkriminalität;7314000;Ludwigshafen am Rhein;3,358;1,963;217;6.5;3;2;788;23.5;845;698;147;353;41.8
899000;Straßenkriminalität;15003000;Magdeburg;5,245;2,197;406;7.7;1;2;1,014;19.3;934;830;104;239;25.6
899000;Straßenkriminalität;7315000;Mainz;3,644;1,678;160;4.4;2;2;861;23.6;859;759;100;317;36.9
899000;Straßenkriminalität;8222000;Mannheim;5,912;1,911;231;3.9;3;0;1,027;17.4;1,026;920;106;418;40.7
899000;Straßenkriminalität;5170024;Moers;1,769;1,705;162;9.2;1;1;322;18.2;275;244;31;78;28.4
899000;Straßenkriminalität;5116000;Mönchengladbach;5,052;1,932;309;6.1;4;11;806;16;862;760;102;267;31
