1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;3101000;Braunschweig;voll.;5,028;3,031;1,997;33;14;19;275;145;130;308;159;149;419;247;172;399;213;186;3,604;2,246;1,358;298;166;132;3,902;2,412;1,490
------;Straftaten insgesamt;3101000;Braunschweig;insg.;5,296;3,214;2,082;35;16;19;290;155;135;325;171;154;434;254;180;425;232;193;3,796;2,378;1,418;316;179;137;4,112;2,557;1,555
------;Straftaten insgesamt;4011000;Bremen;vers.;1,015;669;346;7;1;6;30;18;12;37;19;18;83;70;13;71;51;20;729;480;249;95;49;46;824;529;295
------;Straftaten insgesamt;4011000;Bremen;voll.;14,364;8,907;5,457;101;59;42;518;304;214;619;363;256;1,049;653;396;1,124;649;475;10,584;6,664;3,920;988;578;410;11,572;7,242;4,330
------;Straftaten insgesamt;4011000;Bremen;insg.;15,379;9,576;5,803;108;60;48;548;322;226;656;382;274;1,132;723;409;1,195;700;495;11,313;7,144;4,169;1,083;627;456;12,396;7,771;4,625
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;143;92;51;1;1;0;5;4;1;6;5;1;19;15;4;9;5;4;97;61;36;12;6;6;109;67;42
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;3,698;2,123;1,575;42;24;18;252;146;106;294;170;124;274;161;113;264;124;140;2,674;1,553;1,121;192;115;77;2,866;1,668;1,198
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;3,841;2,215;1,626;43;25;18;257;150;107;300;175;125;293;176;117;273;129;144;2,771;1,614;1,157;204;121;83;2,975;1,735;1,240
------;Straftaten insgesamt;14511000;Chemnitz;vers.;258;186;72;0;0;0;21;15;6;21;15;6;26;19;7;22;13;9;171;125;46;18;14;4;189;139;50
------;Straftaten insgesamt;14511000;Chemnitz;voll.;4,002;2,465;1,537;51;23;28;286;159;127;337;182;155;371;190;181;353;204;149;2,693;1,752;941;248;137;111;2,941;1,889;1,052
