1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;4011000;Bremen;voll.;9,302;5,519;3,783;80;46;34;36;16;20;60;36;24;94;65;29;179;93;86;449;256;193;269;141;128;390;238;152;659;379;280;1,016;639;377;2,124;1,274;850;564;359;205;508;311;197;1,072;670;402;1,502;933;569;1,995;1,137;858;1,268;717;551;841;521;320;500;267;233;7,178;4,245;2,933
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,306;1,344;962;20;14;6;15;5;10;20;14;6;34;20;14;50;28;22;139;81;58;82;53;29;95;61;34;177;114;63;200;100;100;516;295;221;130;69;61;118;59;59;248;128;120;369;231;138;510;295;215;343;206;137;201;133;68;119;56;63;1,790;1,049;741
------;Straftaten insgesamt;14511000;Chemnitz;voll.;2,994;1,749;1,245;26;9;17;13;10;3;35;18;17;58;33;25;82;37;45;214;107;107;117;54;63;153;94;59;270;148;122;270;154;116;754;409;345;131;78;53;109;69;40;240;147;93;395;246;149;699;421;278;423;257;166;284;166;118;199;103;96;2,240;1,340;900
------;Straftaten insgesamt;12052000;Cottbus;voll.;1,704;1,000;704;24;12;12;12;5;7;36;25;11;40;21;19;63;35;28;175;98;77;78;36;42;93;57;36;171;93;78;127;72;55;473;263;210;68;45;23;79;55;24;147;100;47;234;130;104;379;208;171;193;117;76;187;128;59;91;54;37;1,231;737;494
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1,554;924;630;14;7;7;9;7;2;7;5;2;28;16;12;26;14;12;84;49;35;38;22;16;59;37;22;97;59;38;147;93;54;328;201;127;124;69;55;95;60;35;219;129;90;218;112;106;347;205;142;233;136;97;136;92;44;73;49;24;1,226;723;503
------;Straftaten insgesamt;5913000;Dortmund;voll.;11,875;7,254;4,621;76;46;30;41;24;17;77;46;31;165;106;59;290;147;143;649;369;280;376;192;184;515;278;237;891;470;421;1,065;612;453;2,605;1,451;1,154;739;446;293;859;497;362;1,598;943;655;1,892;1,239;653;2,520;1,591;929;1,579;973;606;1,095;716;379;586;341;245;9,270;5,803;3,467
------;Straftaten insgesamt;14612000;Dresden;voll.;6,399;4,108;2,291;104;49;55;47;21;26;68;42;26;117;59;58;149;79;70;485;250;235;201;103;98;302;171;131;503;274;229;545;350;195;1,533;874;659;333;223;110;319;217;102;652;440;212;983;675;308;1,557;1,074;483;836;531;305;523;336;187;315;178;137;4,866;3,234;1,632
------;Straftaten insgesamt;5112000;Duisburg;voll.;7,695;4,197;3,498;88;42;46;35;22;13;42;27;15;133;83;50;232;130;102;530;304;226;307;170;137;303;161;142;610;331;279;612;291;321;1,752;926;826;416;236;180;454;244;210;870;480;390;1,077;593;484;1,595;820;775;1,180;664;516;736;456;280;485;258;227;5,943;3,271;2,672
------;Straftaten insgesamt;5111000;Düsseldorf;voll.;9,819;6,177;3,642;51;27;24;37;17;20;50;33;17;92;57;35;178;76;102;408;210;198;248;126;122;375;207;168;623;333;290;927;595;332;1,958;1,138;820;558;353;205;598;394;204;1,156;747;409;1,848;1,217;631;2,172;1,408;764;1,343;828;515;889;595;294;453;244;209;7,861;5,039;2,822
------;Straftaten insgesamt;16051000;Erfurt;voll.;3,852;2,407;1,445;45;27;18;39;12;27;63;30;33;77;43;34;106;45;61;330;157;173;114;67;47;146;91;55;260;158;102;353;214;139;943;529;414;172;97;75;195;117;78;367;214;153;573;388;185;1,024;701;323;438;287;151;297;174;123;210;114;96;2,909;1,878;1,031
