1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5315000;Köln;insg.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5114000;Krefeld;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;14713000;Leipzig;insg.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5316000;Leverkusen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;1003000;Lübeck;insg.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;7314000;Ludwigshafen am Rhein;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;15003000;Magdeburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;7315000;Mainz;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;8222000;Mannheim;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5170024;Moers;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5116000;Mönchengladbach;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5117000;Mülheim an der Ruhr;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;9162000;München;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5515000;Münster;insg.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5162024;Neuss;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;9564000;Nürnberg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5119000;Oberhausen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;6413000;Offenbach am Main;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;3403000;Oldenburg (Oldenburg);insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;3404000;Osnabrück;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5774032;Paderborn;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;8231000;Pforzheim;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;12054000;Potsdam;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5562032;Recklinghausen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;9362000;Regensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5120000;Remscheid;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;8415061;Reutlingen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;13003000;Rostock;insg.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;1;2
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;10041100;Saarbrücken;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;3102000;Salzgitter;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;13004000;Schwerin;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5970040;Siegen;insg.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;0;0;0;2;0;2;0;0;0;1;1;0;0;0;0;5;1;4
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5122000;Solingen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;8111000;Stuttgart;insg.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;7211000;Trier;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;8421000;Ulm;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;6414000;Wiesbaden;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;3103000;Wolfsburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;5124000;Wuppertal;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;9663000;Würzburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5334002;Aachen;voll.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;5;3;2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;9761000;Augsburg;voll.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;2;0;2;1;1;0;5;1;4
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5378004;Bergisch Gladbach;voll.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;11000000;Berlin;voll.;487;275;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;33;20;13;34;21;13;31;23;8;26;22;4;57;45;12;64;42;22;95;52;43;81;37;44;102;47;55;54;31;23;453;254;199
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5711000;Bielefeld;voll.;11;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;2;2;0;2;0;2;4;2;2;0;0;0;2;1;1;2;1;1;1;0;1;1;0;1;10;4;6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5911000;Bochum;voll.;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;3;0;3;2;0;2;0;0;0;7;2;5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5314000;Bonn;voll.;18;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1;0;2;1;1;3;2;1;3;2;1;1;0;1;7;1;6;1;1;0;17;7;10
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5512000;Bottrop;voll.;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;2;0;2;2;0;2;7;0;7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3101000;Braunschweig;voll.;10;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;2;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;2;0;0;0;2;0;2;6;1;5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;4011000;Bremen;voll.;67;27;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;8;4;4;9;4;5;7;4;3;1;0;1;8;4;4;11;7;4;13;5;8;11;4;7;12;3;9;3;0;3;58;23;35
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;4012000;Bremerhaven;voll.;25;11;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;5;3;2;6;4;2;9;2;7;3;2;1;0;0;0;24;11;13
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;14511000;Chemnitz;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;12052000;Cottbus;voll.;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;0;1;1;0;0;0;0;5;4;1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6411000;Darmstadt;voll.;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;4;1;3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5913000;Dortmund;voll.;27;14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;1;1;0;1;1;0;2;2;0;3;1;2;3;1;2;8;4;4;7;4;3;2;0;2;25;12;13
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;14612000;Dresden;voll.;9;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;2;1;1;2;0;2;1;0;1;9;4;5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5112000;Duisburg;voll.;29;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;2;0;3;3;0;2;2;0;1;1;0;3;3;0;3;2;1;6;2;4;4;1;3;6;2;4;4;2;2;26;12;14
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5111000;Düsseldorf;voll.;25;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;1;1;5;3;2;5;3;2;5;3;2;8;3;5;1;0;1;1;0;1;25;12;13
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;16051000;Erfurt;voll.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;0;0;1;0;1;4;2;2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;9562000;Erlangen;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5113000;Essen;voll.;31;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;2;2;0;5;3;2;4;1;3;5;2;3;4;0;4;8;2;6;5;0;5;31;8;23
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6412000;Frankfurt am Main;voll.;39;21;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;4;9;5;4;3;1;2;2;0;2;5;1;4;1;1;0;11;6;5;1;0;1;3;2;1;9;6;3;30;16;14
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;8311000;Freiburg im Breisgau;voll.;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;1;1;2;2;0;0;0;0;1;1;0;3;1;2;9;6;3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;9563000;Fürth;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;2;0;2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5513000;Gelsenkirchen;voll.;9;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;4;0;4;1;1;0;8;2;6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3159016;Göttingen;voll.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;3;1;2;0;0;0;0;0;0;5;1;4
