1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5334002;Aachen;vers.;399;256;143;7;6;1;14;7;7;21;13;8;26;17;9;26;22;4;288;182;106;38;22;16;326;204;122
------;Straftaten insgesamt;5334002;Aachen;voll.;4,561;2,659;1,902;36;19;17;199;103;96;235;122;113;281;148;133;389;208;181;3,312;1,982;1,330;344;199;145;3,656;2,181;1,475
------;Straftaten insgesamt;5334002;Aachen;insg.;4,960;2,915;2,045;43;25;18;213;110;103;256;135;121;307;165;142;415;230;185;3,600;2,164;1,436;382;221;161;3,982;2,385;1,597
------;Straftaten insgesamt;9761000;Augsburg;vers.;505;333;172;10;9;1;28;15;13;38;24;14;35;20;15;43;24;19;364;250;114;25;15;10;389;265;124
------;Straftaten insgesamt;9761000;Augsburg;voll.;5,100;3,221;1,879;56;39;17;322;210;112;378;249;129;373;219;154;415;256;159;3,661;2,343;1,318;273;154;119;3,934;2,497;1,437
------;Straftaten insgesamt;9761000;Augsburg;insg.;5,605;3,554;2,051;66;48;18;350;225;125;416;273;143;408;239;169;458;280;178;4,025;2,593;1,432;298;169;129;4,323;2,762;1,561
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;170;113;57;0;0;0;5;3;2;5;3;2;21;16;5;17;14;3;101;64;37;26;16;10;127;80;47
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,436;755;681;9;4;5;97;57;40;106;61;45;138;86;52;104;52;52;935;484;451;153;72;81;1,088;556;532
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1,606;868;738;9;4;5;102;60;42;111;64;47;159;102;57;121;66;55;1,036;548;488;179;88;91;1,215;636;579
------;Straftaten insgesamt;11000000;Berlin;vers.;7,700;5,293;2,407;81;40;41;417;275;142;498;315;183;532;377;155;431;305;126;5,678;3,973;1,705;561;323;238;6,239;4,296;1,943
------;Straftaten insgesamt;11000000;Berlin;voll.;87,847;54,119;33,728;815;440;375;5,819;3,401;2,418;6,634;3,841;2,793;6,666;3,947;2,719;4,955;2,792;2,163;64,276;40,502;23,774;5,316;3,037;2,279;69,592;43,539;26,053
------;Straftaten insgesamt;11000000;Berlin;insg.;95,547;59,412;36,135;896;480;416;6,236;3,676;2,560;7,132;4,156;2,976;7,198;4,324;2,874;5,386;3,097;2,289;69,954;44,475;25,479;5,877;3,360;2,517;75,831;47,835;27,996
------;Straftaten insgesamt;5711000;Bielefeld;vers.;353;210;143;6;3;3;11;7;4;17;10;7;21;4;17;29;18;11;259;159;100;27;19;8;286;178;108
------;Straftaten insgesamt;5711000;Bielefeld;voll.;4,551;2,437;2,114;43;21;22;260;122;138;303;143;160;314;141;173;377;182;195;3,275;1,823;1,452;282;148;134;3,557;1,971;1,586
------;Straftaten insgesamt;5711000;Bielefeld;insg.;4,904;2,647;2,257;49;24;25;271;129;142;320;153;167;335;145;190;406;200;206;3,534;1,982;1,552;309;167;142;3,843;2,149;1,694
------;Straftaten insgesamt;5911000;Bochum;vers.;462;292;170;3;1;2;41;28;13;44;29;15;40;28;12;29;16;13;308;191;117;41;28;13;349;219;130
------;Straftaten insgesamt;5911000;Bochum;voll.;6,281;3,632;2,649;66;33;33;420;222;198;486;255;231;491;278;213;466;259;207;4,407;2,583;1,824;431;257;174;4,838;2,840;1,998
------;Straftaten insgesamt;5911000;Bochum;insg.;6,743;3,924;2,819;69;34;35;461;250;211;530;284;246;531;306;225;495;275;220;4,715;2,774;1,941;472;285;187;5,187;3,059;2,128
------;Straftaten insgesamt;5314000;Bonn;vers.;751;471;280;5;1;4;41;26;15;46;27;19;49;31;18;61;37;24;539;343;196;56;33;23;595;376;219
------;Straftaten insgesamt;5314000;Bonn;voll.;6,255;3,704;2,551;53;26;27;344;191;153;397;217;180;518;313;205;442;247;195;4,450;2,672;1,778;448;255;193;4,898;2,927;1,971
------;Straftaten insgesamt;5314000;Bonn;insg.;7,006;4,175;2,831;58;27;31;385;217;168;443;244;199;567;344;223;503;284;219;4,989;3,015;1,974;504;288;216;5,493;3,303;2,190
------;Straftaten insgesamt;5512000;Bottrop;vers.;108;76;32;1;1;0;20;17;3;21;18;3;11;10;1;8;4;4;58;36;22;10;8;2;68;44;24
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,627;866;761;14;9;5;161;85;76;175;94;81;149;83;66;84;32;52;1,081;575;506;138;82;56;1,219;657;562
------;Straftaten insgesamt;5512000;Bottrop;insg.;1,735;942;793;15;10;5;181;102;79;196;112;84;160;93;67;92;36;56;1,139;611;528;148;90;58;1,287;701;586
------;Straftaten insgesamt;3101000;Braunschweig;vers.;234;149;85;2;1;1;3;0;3;5;1;4;15;7;8;22;15;7;184;120;64;8;6;2;192;126;66
------;Straftaten insgesamt;3101000;Braunschweig;voll.;4,422;2,605;1,817;56;27;29;227;103;124;283;130;153;337;175;162;361;183;178;3,180;1,970;1,210;261;147;114;3,441;2,117;1,324
------;Straftaten insgesamt;3101000;Braunschweig;insg.;4,656;2,754;1,902;58;28;30;230;103;127;288;131;157;352;182;170;383;198;185;3,364;2,090;1,274;269;153;116;3,633;2,243;1,390
------;Straftaten insgesamt;4011000;Bremen;vers.;709;458;251;6;2;4;37;23;14;43;25;18;42;22;20;44;29;15;515;345;170;65;37;28;580;382;198
------;Straftaten insgesamt;4011000;Bremen;voll.;10,027;5,836;4,191;85;46;39;449;231;218;534;277;257;828;468;360;796;416;380;7,260;4,350;2,910;609;325;284;7,869;4,675;3,194
------;Straftaten insgesamt;4011000;Bremen;insg.;10,736;6,294;4,442;91;48;43;486;254;232;577;302;275;870;490;380;840;445;395;7,775;4,695;3,080;674;362;312;8,449;5,057;3,392
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;124;81;43;1;0;1;5;3;2;6;3;3;15;6;9;8;7;1;85;57;28;10;8;2;95;65;30
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,989;1,716;1,273;16;4;12;152;89;63;168;93;75;247;125;122;229;111;118;2,176;1,270;906;169;117;52;2,345;1,387;958
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;3,113;1,797;1,316;17;4;13;157;92;65;174;96;78;262;131;131;237;118;119;2,261;1,327;934;179;125;54;2,440;1,452;988
------;Straftaten insgesamt;14511000;Chemnitz;vers.;194;127;67;1;1;0;9;3;6;10;4;6;25;19;6;18;9;9;117;83;34;24;12;12;141;95;46
------;Straftaten insgesamt;14511000;Chemnitz;voll.;3,317;1,907;1,410;48;28;20;247;99;148;295;127;168;351;173;178;269;149;120;2,203;1,343;860;199;115;84;2,402;1,458;944
------;Straftaten insgesamt;14511000;Chemnitz;insg.;3,511;2,034;1,477;49;29;20;256;102;154;305;131;174;376;192;184;287;158;129;2,320;1,426;894;223;127;96;2,543;1,553;990
------;Straftaten insgesamt;12052000;Cottbus;vers.;122;77;45;0;0;0;8;4;4;8;4;4;3;2;1;12;10;2;91;56;35;8;5;3;99;61;38
------;Straftaten insgesamt;12052000;Cottbus;voll.;1,637;971;666;12;7;5;105;58;47;117;65;52;131;70;61;138;88;50;1,134;684;450;117;64;53;1,251;748;503
------;Straftaten insgesamt;12052000;Cottbus;insg.;1,759;1,048;711;12;7;5;113;62;51;125;69;56;134;72;62;150;98;52;1,225;740;485;125;69;56;1,350;809;541
------;Straftaten insgesamt;6411000;Darmstadt;vers.;100;54;46;1;1;0;2;2;0;3;3;0;10;8;2;8;6;2;73;34;39;6;3;3;79;37;42
------;Straftaten insgesamt;6411000;Darmstadt;voll.;2,124;1,191;933;10;5;5;92;46;46;102;51;51;189;84;105;181;102;79;1,524;884;640;128;70;58;1,652;954;698
------;Straftaten insgesamt;6411000;Darmstadt;insg.;2,224;1,245;979;11;6;5;94;48;46;105;54;51;199;92;107;189;108;81;1,597;918;679;134;73;61;1,731;991;740
------;Straftaten insgesamt;5913000;Dortmund;vers.;1,173;785;388;6;2;4;55;32;23;61;34;27;74;54;20;84;47;37;868;597;271;86;53;33;954;650;304
------;Straftaten insgesamt;5913000;Dortmund;voll.;12,221;7,335;4,886;88;44;44;674;371;303;762;415;347;846;473;373;932;516;416;9,012;5,514;3,498;669;417;252;9,681;5,931;3,750
------;Straftaten insgesamt;5913000;Dortmund;insg.;13,394;8,120;5,274;94;46;48;729;403;326;823;449;374;920;527;393;1,016;563;453;9,880;6,111;3,769;755;470;285;10,635;6,581;4,054
------;Straftaten insgesamt;14612000;Dresden;vers.;575;440;135;3;1;2;16;14;2;19;15;4;32;28;4;47;33;14;395;294;101;82;70;12;477;364;113
------;Straftaten insgesamt;14612000;Dresden;voll.;6,959;4,318;2,641;124;66;58;486;249;237;610;315;295;591;353;238;557;317;240;4,776;3,098;1,678;425;235;190;5,201;3,333;1,868
------;Straftaten insgesamt;14612000;Dresden;insg.;7,534;4,758;2,776;127;67;60;502;263;239;629;330;299;623;381;242;604;350;254;5,171;3,392;1,779;507;305;202;5,678;3,697;1,981
------;Straftaten insgesamt;5112000;Duisburg;vers.;754;440;314;12;7;5;67;38;29;79;45;34;76;40;36;54;27;27;479;292;187;66;36;30;545;328;217
------;Straftaten insgesamt;5112000;Duisburg;voll.;9,342;5,125;4,217;124;70;54;811;471;340;935;541;394;802;428;374;594;313;281;6,434;3,540;2,894;577;303;274;7,011;3,843;3,168
------;Straftaten insgesamt;5112000;Duisburg;insg.;10,096;5,565;4,531;136;77;59;878;509;369;1,014;586;428;878;468;410;648;340;308;6,913;3,832;3,081;643;339;304;7,556;4,171;3,385
------;Straftaten insgesamt;5111000;Düsseldorf;vers.;962;640;322;15;4;11;74;36;38;89;40;49;55;35;20;67;47;20;673;466;207;78;52;26;751;518;233
------;Straftaten insgesamt;5111000;Düsseldorf;voll.;12,273;7,484;4,789;104;56;48;548;262;286;652;318;334;776;444;332;1,039;590;449;9,046;5,678;3,368;760;454;306;9,806;6,132;3,674
------;Straftaten insgesamt;5111000;Düsseldorf;insg.;13,235;8,124;5,111;119;60;59;622;298;324;741;358;383;831;479;352;1,106;637;469;9,719;6,144;3,575;838;506;332;10,557;6,650;3,907
------;Straftaten insgesamt;16051000;Erfurt;vers.;282;195;87;1;0;1;16;9;7;17;9;8;19;10;9;31;24;7;200;143;57;15;9;6;215;152;63
------;Straftaten insgesamt;16051000;Erfurt;voll.;3,331;2,113;1,218;51;28;23;227;107;120;278;135;143;217;125;92;285;176;109;2,353;1,560;793;198;117;81;2,551;1,677;874
