1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
------;Straftaten insgesamt;16051000;Erfurt;insg.;3,613;2,308;1,305;52;28;24;243;116;127;295;144;151;236;135;101;316;200;116;2,553;1,703;850;213;126;87;2,766;1,829;937
------;Straftaten insgesamt;9562000;Erlangen;vers.;84;57;27;1;0;1;4;4;0;5;4;1;5;5;0;7;4;3;58;39;19;9;5;4;67;44;23
------;Straftaten insgesamt;9562000;Erlangen;voll.;1,168;736;432;15;10;5;73;50;23;88;60;28;78;46;32;92;51;41;850;546;304;60;33;27;910;579;331
------;Straftaten insgesamt;9562000;Erlangen;insg.;1,252;793;459;16;10;6;77;54;23;93;64;29;83;51;32;99;55;44;908;585;323;69;38;31;977;623;354
------;Straftaten insgesamt;5113000;Essen;vers.;820;525;295;13;7;6;51;28;23;64;35;29;71;47;24;42;23;19;546;354;192;97;66;31;643;420;223
------;Straftaten insgesamt;5113000;Essen;voll.;9,725;5,562;4,163;101;49;52;676;343;333;777;392;385;895;497;398;665;335;330;6,736;3,944;2,792;652;394;258;7,388;4,338;3,050
------;Straftaten insgesamt;5113000;Essen;insg.;10,545;6,087;4,458;114;56;58;727;371;356;841;427;414;966;544;422;707;358;349;7,282;4,298;2,984;749;460;289;8,031;4,758;3,273
------;Straftaten insgesamt;6412000;Frankfurt am Main;vers.;919;649;270;11;7;4;23;8;15;34;15;19;49;30;19;52;31;21;718;527;191;66;46;20;784;573;211
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;14,544;9,306;5,238;120;60;60;518;292;226;638;352;286;771;433;338;973;576;397;11,300;7,425;3,875;862;520;342;12,162;7,945;4,217
------;Straftaten insgesamt;6412000;Frankfurt am Main;insg.;15,463;9,955;5,508;131;67;64;541;300;241;672;367;305;820;463;357;1,025;607;418;12,018;7,952;4,066;928;566;362;12,946;8,518;4,428
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;vers.;338;239;99;1;0;1;10;6;4;11;6;5;25;21;4;24;19;5;257;177;80;21;16;5;278;193;85
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;4,234;2,764;1,470;45;33;12;223;119;104;268;152;116;300;161;139;339;228;111;3,096;2,074;1,022;231;149;82;3,327;2,223;1,104
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;insg.;4,572;3,003;1,569;46;33;13;233;125;108;279;158;121;325;182;143;363;247;116;3,353;2,251;1,102;252;165;87;3,605;2,416;1,189
------;Straftaten insgesamt;9563000;Fürth;vers.;87;56;31;3;2;1;1;0;1;4;2;2;10;7;3;3;2;1;65;42;23;5;3;2;70;45;25
------;Straftaten insgesamt;9563000;Fürth;voll.;1,025;577;448;16;7;9;68;38;30;84;45;39;104;64;40;74;40;34;694;389;305;69;39;30;763;428;335
------;Straftaten insgesamt;9563000;Fürth;insg.;1,112;633;479;19;9;10;69;38;31;88;47;41;114;71;43;77;42;35;759;431;328;74;42;32;833;473;360
------;Straftaten insgesamt;5513000;Gelsenkirchen;vers.;449;277;172;1;0;1;32;22;10;33;22;11;37;26;11;25;13;12;313;188;125;41;28;13;354;216;138
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;5,429;3,009;2,420;52;24;28;390;240;150;442;264;178;532;309;223;402;195;207;3,753;2,058;1,695;300;183;117;4,053;2,241;1,812
------;Straftaten insgesamt;5513000;Gelsenkirchen;insg.;5,878;3,286;2,592;53;24;29;422;262;160;475;286;189;569;335;234;427;208;219;4,066;2,246;1,820;341;211;130;4,407;2,457;1,950
------;Straftaten insgesamt;3159016;Göttingen;vers.;172;122;50;3;2;1;7;6;1;10;8;2;10;6;4;12;7;5;127;93;34;13;8;5;140;101;39
------;Straftaten insgesamt;3159016;Göttingen;voll.;2,522;1,521;1,001;19;10;9;118;81;37;137;91;46;151;66;85;204;101;103;1,896;1,182;714;134;81;53;2,030;1,263;767
------;Straftaten insgesamt;3159016;Göttingen;insg.;2,694;1,643;1,051;22;12;10;125;87;38;147;99;48;161;72;89;216;108;108;2,023;1,275;748;147;89;58;2,170;1,364;806
------;Straftaten insgesamt;5754008;Gütersloh;vers.;136;75;61;2;1;1;3;2;1;5;3;2;15;10;5;7;5;2;97;49;48;12;8;4;109;57;52
------;Straftaten insgesamt;5754008;Gütersloh;voll.;1,371;744;627;17;11;6;85;43;42;102;54;48;96;47;49;112;54;58;970;543;427;91;46;45;1,061;589;472
------;Straftaten insgesamt;5754008;Gütersloh;insg.;1,507;819;688;19;12;7;88;45;43;107;57;50;111;57;54;119;59;60;1,067;592;475;103;54;49;1,170;646;524
------;Straftaten insgesamt;5914000;Hagen;vers.;316;185;131;5;3;2;34;21;13;39;24;15;22;10;12;33;21;12;193;113;80;29;17;12;222;130;92
------;Straftaten insgesamt;5914000;Hagen;voll.;4,026;2,291;1,735;39;20;19;282;155;127;321;175;146;346;179;167;333;186;147;2,783;1,611;1,172;243;140;103;3,026;1,751;1,275
------;Straftaten insgesamt;5914000;Hagen;insg.;4,342;2,476;1,866;44;23;21;316;176;140;360;199;161;368;189;179;366;207;159;2,976;1,724;1,252;272;157;115;3,248;1,881;1,367
------;Straftaten insgesamt;15002000;Halle (Saale);vers.;542;383;159;4;2;2;41;23;18;45;25;20;67;54;13;42;31;11;345;251;94;43;22;21;388;273;115
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;5,887;3,663;2,224;58;27;31;517;306;211;575;333;242;622;406;216;493;304;189;3,939;2,468;1,471;258;152;106;4,197;2,620;1,577
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;6,429;4,046;2,383;62;29;33;558;329;229;620;358;262;689;460;229;535;335;200;4,284;2,719;1,565;301;174;127;4,585;2,893;1,692
------;Straftaten insgesamt;2000000;Hamburg;vers.;1,929;1,381;548;10;7;3;114;79;35;124;86;38;133;99;34;131;95;36;1,409;1,009;400;132;92;40;1,541;1,101;440
------;Straftaten insgesamt;2000000;Hamburg;voll.;33,823;20,957;12,866;224;130;94;1,949;1,184;765;2,173;1,314;859;2,410;1,360;1,050;2,141;1,280;861;25,163;15,874;9,289;1,936;1,129;807;27,099;17,003;10,096
------;Straftaten insgesamt;2000000;Hamburg;insg.;35,752;22,338;13,414;234;137;97;2,063;1,263;800;2,297;1,400;897;2,543;1,459;1,084;2,272;1,375;897;26,572;16,883;9,689;2,068;1,221;847;28,640;18,104;10,536
------;Straftaten insgesamt;5915000;Hamm;vers.;275;183;92;2;1;1;18;12;6;20;13;7;19;13;6;20;17;3;202;132;70;14;8;6;216;140;76
------;Straftaten insgesamt;5915000;Hamm;voll.;3,190;1,871;1,319;28;13;15;213;119;94;241;132;109;286;157;129;280;158;122;2,212;1,323;889;171;101;70;2,383;1,424;959
------;Straftaten insgesamt;5915000;Hamm;insg.;3,465;2,054;1,411;30;14;16;231;131;100;261;145;116;305;170;135;300;175;125;2,414;1,455;959;185;109;76;2,599;1,564;1,035
------;Straftaten insgesamt;6435014;Hanau;vers.;53;37;16;0;0;0;3;2;1;3;2;1;5;4;1;1;1;0;39;27;12;5;3;2;44;30;14
------;Straftaten insgesamt;6435014;Hanau;voll.;1,172;613;559;23;12;11;62;31;31;85;43;42;76;40;36;89;43;46;835;440;395;87;47;40;922;487;435
------;Straftaten insgesamt;6435014;Hanau;insg.;1,225;650;575;23;12;11;65;33;32;88;45;43;81;44;37;90;44;46;874;467;407;92;50;42;966;517;449
------;Straftaten insgesamt;3241001;Hannover;vers.;913;643;270;10;6;4;29;23;6;39;29;10;72;50;22;59;38;21;657;466;191;86;60;26;743;526;217
------;Straftaten insgesamt;3241001;Hannover;voll.;13,735;8,624;5,111;134;71;63;732;396;336;866;467;399;1,024;546;478;1,010;572;438;10,125;6,613;3,512;710;426;284;10,835;7,039;3,796
------;Straftaten insgesamt;3241001;Hannover;insg.;14,648;9,267;5,381;144;77;67;761;419;342;905;496;409;1,096;596;500;1,069;610;459;10,782;7,079;3,703;796;486;310;11,578;7,565;4,013
------;Straftaten insgesamt;8221000;Heidelberg;vers.;153;119;34;2;2;0;4;0;4;6;2;4;5;4;1;9;7;2;116;93;23;17;13;4;133;106;27
------;Straftaten insgesamt;8221000;Heidelberg;voll.;2,226;1,462;764;17;14;3;65;35;30;82;49;33;138;82;56;190;124;66;1,672;1,123;549;144;84;60;1,816;1,207;609
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2,379;1,581;798;19;16;3;69;35;34;88;51;37;143;86;57;199;131;68;1,788;1,216;572;161;97;64;1,949;1,313;636
------;Straftaten insgesamt;8121000;Heilbronn;vers.;72;54;18;1;1;0;3;1;2;4;2;2;5;5;0;4;3;1;55;41;14;4;3;1;59;44;15
------;Straftaten insgesamt;8121000;Heilbronn;voll.;1,734;1,033;701;32;24;8;62;32;30;94;56;38;90;47;43;154;95;59;1,276;768;508;120;67;53;1,396;835;561
------;Straftaten insgesamt;8121000;Heilbronn;insg.;1,806;1,087;719;33;25;8;65;33;32;98;58;40;95;52;43;158;98;60;1,331;809;522;124;70;54;1,455;879;576
------;Straftaten insgesamt;5916000;Herne;vers.;203;123;80;3;2;1;14;9;5;17;11;6;15;11;4;14;9;5;146;85;61;11;7;4;157;92;65
------;Straftaten insgesamt;5916000;Herne;voll.;2,997;1,647;1,350;24;16;8;202;112;90;226;128;98;316;178;138;225;103;122;2,022;1,132;890;208;106;102;2,230;1,238;992
------;Straftaten insgesamt;5916000;Herne;insg.;3,200;1,770;1,430;27;18;9;216;121;95;243;139;104;331;189;142;239;112;127;2,168;1,217;951;219;113;106;2,387;1,330;1,057
------;Straftaten insgesamt;3254021;Hildesheim;vers.;152;87;65;3;2;1;10;7;3;13;9;4;9;6;3;9;4;5;105;62;43;16;6;10;121;68;53
------;Straftaten insgesamt;3254021;Hildesheim;voll.;1,879;1,059;820;27;15;12;106;70;36;133;85;48;167;95;72;146;80;66;1,311;725;586;122;74;48;1,433;799;634
------;Straftaten insgesamt;3254021;Hildesheim;insg.;2,031;1,146;885;30;17;13;116;77;39;146;94;52;176;101;75;155;84;71;1,416;787;629;138;80;58;1,554;867;687
------;Straftaten insgesamt;9161000;Ingolstadt;vers.;168;111;57;2;0;2;5;4;1;7;4;3;6;4;2;18;15;3;130;84;46;7;4;3;137;88;49
------;Straftaten insgesamt;9161000;Ingolstadt;voll.;2,253;1,331;922;40;20;20;147;76;71;187;96;91;146;78;68;170;102;68;1,649;1,001;648;101;54;47;1,750;1,055;695
------;Straftaten insgesamt;9161000;Ingolstadt;insg.;2,421;1,442;979;42;20;22;152;80;72;194;100;94;152;82;70;188;117;71;1,779;1,085;694;108;58;50;1,887;1,143;744
------;Straftaten insgesamt;16053000;Jena;vers.;54;30;24;0;0;0;0;0;0;0;0;0;3;1;2;3;0;3;43;27;16;5;2;3;48;29;19
------;Straftaten insgesamt;16053000;Jena;voll.;1,417;864;553;23;14;9;65;37;28;88;51;37;117;69;48;130;81;49;994;608;386;88;55;33;1,082;663;419
------;Straftaten insgesamt;16053000;Jena;insg.;1,471;894;577;23;14;9;65;37;28;88;51;37;120;70;50;133;81;52;1,037;635;402;93;57;36;1,130;692;438
------;Straftaten insgesamt;7312000;Kaiserslautern;vers.;283;199;84;3;0;3;9;6;3;12;6;6;24;21;3;27;22;5;190;134;56;30;16;14;220;150;70
------;Straftaten insgesamt;7312000;Kaiserslautern;voll.;2,747;1,698;1,049;13;6;7;107;63;44;120;69;51;232;142;90;251;171;80;1,998;1,233;765;146;83;63;2,144;1,316;828
------;Straftaten insgesamt;7312000;Kaiserslautern;insg.;3,030;1,897;1,133;16;6;10;116;69;47;132;75;57;256;163;93;278;193;85;2,188;1,367;821;176;99;77;2,364;1,466;898
------;Straftaten insgesamt;8212000;Karlsruhe;vers.;257;170;87;7;3;4;11;7;4;18;10;8;20;10;10;11;9;2;190;129;61;18;12;6;208;141;67
------;Straftaten insgesamt;8212000;Karlsruhe;voll.;4,053;2,403;1,650;37;20;17;211;120;91;248;140;108;322;153;169;303;175;128;2,925;1,801;1,124;255;134;121;3,180;1,935;1,245
------;Straftaten insgesamt;8212000;Karlsruhe;insg.;4,310;2,573;1,737;44;23;21;222;127;95;266;150;116;342;163;179;314;184;130;3,115;1,930;1,185;273;146;127;3,388;2,076;1,312
------;Straftaten insgesamt;6611000;Kassel;vers.;231;155;76;2;1;1;7;4;3;9;5;4;12;6;6;19;17;2;155;107;48;36;20;16;191;127;64
------;Straftaten insgesamt;6611000;Kassel;voll.;4,272;2,525;1,747;49;30;19;263;118;145;312;148;164;270;151;119;312;173;139;3,136;1,898;1,238;242;155;87;3,378;2,053;1,325
------;Straftaten insgesamt;6611000;Kassel;insg.;4,503;2,680;1,823;51;31;20;270;122;148;321;153;168;282;157;125;331;190;141;3,291;2,005;1,286;278;175;103;3,569;2,180;1,389
------;Straftaten insgesamt;1002000;Kiel;vers.;250;157;93;0;0;0;13;8;5;13;8;5;16;8;8;21;16;5;187;118;69;13;7;6;200;125;75
------;Straftaten insgesamt;1002000;Kiel;voll.;4,348;2,728;1,620;16;9;7;216;119;97;232;128;104;305;173;132;356;217;139;3,239;2,075;1,164;216;135;81;3,455;2,210;1,245
------;Straftaten insgesamt;1002000;Kiel;insg.;4,598;2,885;1,713;16;9;7;229;127;102;245;136;109;321;181;140;377;233;144;3,426;2,193;1,233;229;142;87;3,655;2,335;1,320
------;Straftaten insgesamt;7111000;Koblenz;vers.;182;114;68;2;2;0;8;6;2;10;8;2;22;13;9;15;6;9;119;79;40;16;8;8;135;87;48
------;Straftaten insgesamt;7111000;Koblenz;voll.;2,491;1,550;941;14;9;5;101;42;59;115;51;64;206;129;77;164;96;68;1,853;1,178;675;153;96;57;2,006;1,274;732
------;Straftaten insgesamt;7111000;Koblenz;insg.;2,673;1,664;1,009;16;11;5;109;48;61;125;59;66;228;142;86;179;102;77;1,972;1,257;715;169;104;65;2,141;1,361;780
------;Straftaten insgesamt;5315000;Köln;vers.;2,046;1,336;710;13;3;10;97;71;26;110;74;36;171;107;64;135;77;58;1,464;969;495;166;109;57;1,630;1,078;552
------;Straftaten insgesamt;5315000;Köln;voll.;24,393;14,756;9,637;175;96;79;1,059;581;478;1,234;677;557;1,621;925;696;1,776;1,050;726;18,259;11,187;7,072;1,503;917;586;19,762;12,104;7,658
------;Straftaten insgesamt;5315000;Köln;insg.;26,439;16,092;10,347;188;99;89;1,156;652;504;1,344;751;593;1,792;1,032;760;1,911;1,127;784;19,723;12,156;7,567;1,669;1,026;643;21,392;13,182;8,210
------;Straftaten insgesamt;5114000;Krefeld;vers.;256;158;98;2;2;0;22;15;7;24;17;7;23;13;10;16;11;5;168;104;64;25;13;12;193;117;76
------;Straftaten insgesamt;5114000;Krefeld;voll.;3,846;2,097;1,749;25;15;10;298;175;123;323;190;133;335;178;157;328;166;162;2,618;1,418;1,200;242;145;97;2,860;1,563;1,297
------;Straftaten insgesamt;5114000;Krefeld;insg.;4,102;2,255;1,847;27;17;10;320;190;130;347;207;140;358;191;167;344;177;167;2,786;1,522;1,264;267;158;109;3,053;1,680;1,373
------;Straftaten insgesamt;14713000;Leipzig;vers.;589;409;180;2;1;1;28;21;7;30;22;8;35;28;7;39;28;11;451;308;143;34;23;11;485;331;154
------;Straftaten insgesamt;14713000;Leipzig;voll.;9,938;6,055;3,883;114;64;50;507;283;224;621;347;274;720;403;317;712;409;303;7,341;4,591;2,750;544;305;239;7,885;4,896;2,989
------;Straftaten insgesamt;14713000;Leipzig;insg.;10,527;6,464;4,063;116;65;51;535;304;231;651;369;282;755;431;324;751;437;314;7,792;4,899;2,893;578;328;250;8,370;5,227;3,143
------;Straftaten insgesamt;5316000;Leverkusen;vers.;224;134;90;2;1;1;15;13;2;17;14;3;17;11;6;10;8;2;160;89;71;20;12;8;180;101;79
