Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;5914000;Hagen;X;75;0;0;0;0;0;0;2;8;10;8;18;6;3;9;19;21;7;1;0;57
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;15002000;Halle (Saale);M;53;0;0;0;0;0;0;0;4;4;8;12;5;3;8;10;17;5;1;0;41
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;15002000;Halle (Saale);W;11;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;2;2;0;0;10
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;15002000;Halle (Saale);X;64;0;0;0;0;0;0;0;4;4;9;13;6;5;11;13;19;7;1;0;51
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;2000000;Hamburg;M;3206;5;1;2;2;7;17;162;376;538;390;945;228;272;500;630;710;259;115;47;2261
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;2000000;Hamburg;W;615;6;2;3;2;1;14;10;29;39;40;93;37;55;92;112;140;75;58;45;522
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;2000000;Hamburg;X;3821;11;3;5;4;8;31;172;405;577;430;1038;265;327;592;742;850;334;173;92;2783
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;5915000;Hamm;M;235;0;0;0;0;1;1;10;17;27;31;59;21;24;45;52;58;17;3;1;176
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;5915000;Hamm;W;28;0;0;0;0;1;1;2;1;3;5;9;3;3;6;4;5;2;1;1;19
725000;Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;5915000;Hamm;X;263;0;0;0;0;2;2;12;18;30;36;68;24;27;51;56;63;19;4;2;195
