Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
------;Straftaten insgesamt;5916000;Herne;W;1208;1;1;2;10;32;46;49;65;114;95;255;83;65;148;133;227;228;125;92;953
------;Straftaten insgesamt;5916000;Herne;X;4972;1;7;16;42;102;168;182;251;433;428;1029;325;287;612;693;1030;842;464;302;3943
------;Straftaten insgesamt;9161000;Ingolstadt;M;3308;0;2;10;24;43;79;98;174;272;320;671;258;215;473;469;702;523;284;186;2637
------;Straftaten insgesamt;9161000;Ingolstadt;W;1085;0;0;1;2;20;23;72;62;134;95;252;57;74;131;138;196;174;108;86;833
------;Straftaten insgesamt;9161000;Ingolstadt;X;4393;0;2;11;26;63;102;170;236;406;415;923;315;289;604;607;898;697;392;272;3470
------;Straftaten insgesamt;16053000;Jena;M;2346;0;3;5;15;28;51;49;79;128;203;382;159;205;364;428;560;311;187;114;1964
------;Straftaten insgesamt;16053000;Jena;W;791;0;2;1;4;22;29;23;27;50;64;143;47;55;102;117;179;107;74;69;648
------;Straftaten insgesamt;16053000;Jena;X;3137;0;5;6;19;50;80;72;106;178;267;525;206;260;466;545;739;418;261;183;2612
------;Straftaten insgesamt;8212000;Karlsruhe;M;9878;7;6;24;35;100;172;271;532;803;1208;2183;881;807;1688;1560;2056;1239;721;431;7695
------;Straftaten insgesamt;8212000;Karlsruhe;W;2962;15;2;17;13;48;95;216;211;427;333;855;189;179;368;332;558;373;282;194;2107
------;Straftaten insgesamt;8212000;Karlsruhe;X;12840;22;8;41;48;148;267;487;743;1230;1541;3038;1070;986;2056;1892;2614;1612;1003;625;9802
------;Straftaten insgesamt;6611000;Kassel;M;6174;7;14;9;30;44;104;165;280;445;575;1124;445;449;894;968;1376;915;540;357;5050
------;Straftaten insgesamt;6611000;Kassel;W;2077;2;4;1;10;38;55;119;121;240;197;492;139;138;277;271;379;317;190;151;1585
------;Straftaten insgesamt;6611000;Kassel;X;8251;9;18;10;40;82;159;284;401;685;772;1616;584;587;1171;1239;1755;1232;730;508;6635
------;Straftaten insgesamt;1002000;Kiel;M;6044;4;12;24;42;67;149;198;282;480;591;1220;461;402;863;862;1156;1039;559;345;4824
------;Straftaten insgesamt;1002000;Kiel;W;2014;3;0;5;11;36;55;114;126;240;176;471;137;142;279;253;372;303;175;161;1543
------;Straftaten insgesamt;1002000;Kiel;X;8058;7;12;29;53;103;204;312;408;720;767;1691;598;544;1142;1115;1528;1342;734;506;6367
------;Straftaten insgesamt;7111000;Koblenz;M;3779;0;3;9;22;31;65;108;173;281;433;779;300;263;563;610;797;484;356;190;3000
------;Straftaten insgesamt;7111000;Koblenz;W;1280;0;0;2;14;33;49;86;76;162;127;338;94;64;158;161;220;214;108;81;942
------;Straftaten insgesamt;7111000;Koblenz;X;5059;0;3;11;36;64;114;194;249;443;560;1117;394;327;721;771;1017;698;464;271;3942
------;Straftaten insgesamt;5315000;Köln;M;37440;9;34;88;161;428;720;1046;1959;3005;3789;7514;2592;2492;5084;5432;8158;5937;3270;2045;29926
------;Straftaten insgesamt;5315000;Köln;W;12657;8;18;25;68;251;370;707;783;1490;1194;3054;740;763;1503;1727;2455;1886;1109;923;9603
------;Straftaten insgesamt;5315000;Köln;X;50097;17;52;113;229;679;1090;1753;2742;4495;4983;10568;3332;3255;6587;7159;10613;7823;4379;2968;39529
------;Straftaten insgesamt;5114000;Krefeld;M;7215;1;9;16;42;96;164;177;271;448;693;1305;510;552;1062;1118;1605;1168;607;350;5910
------;Straftaten insgesamt;5114000;Krefeld;W;2435;1;3;6;19;53;82;115;138;253;242;577;170;153;323;338;478;367;212;140;1858
------;Straftaten insgesamt;5114000;Krefeld;X;9650;2;12;22;61;149;246;292;409;701;935;1882;680;705;1385;1456;2083;1535;819;490;7768
------;Straftaten insgesamt;14713000;Leipzig;M;15053;10;15;39;103;233;400;351;485;836;1035;2271;933;1085;2018;2692;3653;2208;1318;893;12782
------;Straftaten insgesamt;14713000;Leipzig;W;5268;4;4;13;44;114;179;250;184;434;372;985;327;389;716;836;1075;668;509;479;4283
------;Straftaten insgesamt;14713000;Leipzig;X;20321;14;19;52;147;347;579;601;669;1270;1407;3256;1260;1474;2734;3528;4728;2876;1827;1372;17065
------;Straftaten insgesamt;5316000;Leverkusen;M;3981;1;8;11;27;62;109;102;202;304;397;810;274;246;520;516;862;623;373;277;3171
------;Straftaten insgesamt;5316000;Leverkusen;W;1341;1;2;3;17;21;44;57;69;126;138;308;77;76;153;160;274;212;133;101;1033
------;Straftaten insgesamt;5316000;Leverkusen;X;5322;2;10;14;44;83;153;159;271;430;535;1118;351;322;673;676;1136;835;506;378;4204
------;Straftaten insgesamt;1003000;Lübeck;M;6482;5;11;23;31;87;157;229;338;567;543;1267;410;393;803;904;1281;1089;638;500;5215
------;Straftaten insgesamt;1003000;Lübeck;W;2269;3;2;9;22;58;94;123;145;268;195;557;126;118;244;258;418;345;223;224;1712
------;Straftaten insgesamt;1003000;Lübeck;X;8751;8;13;32;53;145;251;352;483;835;738;1824;536;511;1047;1162;1699;1434;861;724;6927
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;M;5936;2;17;25;58;107;209;172;257;429;535;1173;407;398;805;840;1268;993;552;305;4763
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;W;2389;0;2;6;19;67;94;117;125;242;215;551;162;135;297;316;454;391;226;154;1838
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;X;8325;2;19;31;77;174;303;289;382;671;750;1724;569;533;1102;1156;1722;1384;778;459;6601
------;Straftaten insgesamt;15003000;Magdeburg;M;7353;1;6;28;57;119;211;226;310;536;600;1347;432;443;875;1147;1599;1188;741;456;6006
------;Straftaten insgesamt;15003000;Magdeburg;W;2811;0;3;8;25;68;104;142;111;253;208;565;170;175;345;374;538;399;310;280;2246
------;Straftaten insgesamt;15003000;Magdeburg;X;10164;1;9;36;82;187;315;368;421;789;808;1912;602;618;1220;1521;2137;1587;1051;736;8252
------;Straftaten insgesamt;7315000;Mainz;M;6410;0;2;16;27;56;101;166;351;517;728;1346;489;493;982;1037;1311;875;515;344;5064
------;Straftaten insgesamt;7315000;Mainz;W;2055;0;0;1;12;49;62;120;122;242;216;520;147;132;279;242;391;305;176;142;1535
------;Straftaten insgesamt;7315000;Mainz;X;8465;0;2;17;39;105;163;286;473;759;944;1866;636;625;1261;1279;1702;1180;691;486;6599
------;Straftaten insgesamt;8222000;Mannheim;M;9800;1;9;15;37;101;163;225;471;696;1027;1886;803;811;1614;1575;2102;1393;757;473;7914
------;Straftaten insgesamt;8222000;Mannheim;W;3429;1;0;6;19;67;93;179;196;375;394;862;251;235;486;469;611;496;301;204;2567
------;Straftaten insgesamt;8222000;Mannheim;X;13229;2;9;21;56;168;256;404;667;1071;1421;2748;1054;1046;2100;2044;2713;1889;1058;677;10481
------;Straftaten insgesamt;5170024;Moers;M;2220;0;2;14;18;50;84;41;100;141;229;454;155;143;298;305;483;341;205;134;1766
------;Straftaten insgesamt;5170024;Moers;W;734;0;0;1;1;19;21;35;32;67;67;155;41;40;81;90;132;117;89;70;579
------;Straftaten insgesamt;5170024;Moers;X;2954;0;2;15;19;69;105;76;132;208;296;609;196;183;379;395;615;458;294;204;2345
------;Straftaten insgesamt;5116000;Mönchengladbach;M;6319;4;3;19;38;89;153;179;285;464;672;1289;449;465;914;997;1349;921;527;322;5030
------;Straftaten insgesamt;5116000;Mönchengladbach;W;2184;2;3;7;9;64;85;150;139;289;231;605;140;144;284;272;394;301;182;146;1579
------;Straftaten insgesamt;5116000;Mönchengladbach;X;8503;6;6;26;47;153;238;329;424;753;903;1894;589;609;1198;1269;1743;1222;709;468;6609
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;M;3770;1;2;5;21;58;87;123;185;308;322;717;255;273;528;527;790;603;354;251;3053
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;W;1371;0;0;2;6;28;36;52;72;124;127;287;84;95;179;180;274;209;135;107;1084
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;X;5141;1;2;7;27;86;123;175;257;432;449;1004;339;368;707;707;1064;812;489;358;4137
------;Straftaten insgesamt;9162000;München;M;43003;5;26;55;153;356;595;988;2501;3489;5560;9644;3395;3451;6846;6870;8818;5801;3046;1978;33359
------;Straftaten insgesamt;9162000;München;W;13246;8;4;12;35;258;317;543;751;1294;1377;2988;887;834;1721;1897;2617;1826;1154;1043;10258
------;Straftaten insgesamt;9162000;München;X;56249;13;30;67;188;614;912;1531;3252;4783;6937;12632;4282;4285;8567;8767;11435;7627;4200;3021;43617
------;Straftaten insgesamt;5515000;Münster;M;7404;1;4;11;46;139;201;297;403;700;830;1731;598;553;1151;1125;1433;1001;578;385;5673
------;Straftaten insgesamt;5515000;Münster;W;2235;0;1;5;22;79;107;157;156;313;220;640;123;122;245;258;438;299;209;146;1595
------;Straftaten insgesamt;5515000;Münster;X;9639;1;5;16;68;218;308;454;559;1013;1050;2371;721;675;1396;1383;1871;1300;787;531;7268
------;Straftaten insgesamt;5162024;Neuss;M;4202;0;1;11;24;40;76;110;198;308;486;870;249;329;578;667;948;603;349;187;3332
------;Straftaten insgesamt;5162024;Neuss;W;1417;0;0;0;5;28;33;84;97;181;134;348;83;82;165;206;247;209;146;96;1069
------;Straftaten insgesamt;5162024;Neuss;X;5619;0;1;11;29;68;109;194;295;489;620;1218;332;411;743;873;1195;812;495;283;4401
------;Straftaten insgesamt;9564000;Nürnberg;M;14817;4;10;26;84;180;304;366;709;1075;1541;2920;1068;1070;2138;2223;3205;2260;1261;810;11897
------;Straftaten insgesamt;9564000;Nürnberg;W;5148;0;3;16;34;119;172;282;309;591;515;1278;341;332;673;643;948;751;452;403;3870
------;Straftaten insgesamt;9564000;Nürnberg;X;19965;4;13;42;118;299;476;648;1018;1666;2056;4198;1409;1402;2811;2866;4153;3011;1713;1213;15767
------;Straftaten insgesamt;5119000;Oberhausen;M;5739;0;5;14;37;85;141;167;252;419;671;1231;484;472;956;832;1169;856;443;252;4508
------;Straftaten insgesamt;5119000;Oberhausen;W;2243;0;0;6;14;75;95;147;161;308;260;663;171;126;297;317;395;292;158;121;1580
------;Straftaten insgesamt;5119000;Oberhausen;X;7982;0;5;20;51;160;236;314;413;727;931;1894;655;598;1253;1149;1564;1148;601;373;6088
------;Straftaten insgesamt;6413000;Offenbach am Main;M;4931;2;2;9;17;54;84;129;230;359;549;992;369;353;722;853;1151;706;314;193;3939
------;Straftaten insgesamt;6413000;Offenbach am Main;W;1549;0;0;1;5;24;30;67;109;176;190;396;117;95;212;220;310;203;131;77;1153
------;Straftaten insgesamt;6413000;Offenbach am Main;X;6480;2;2;10;22;78;114;196;339;535;739;1388;486;448;934;1073;1461;909;445;270;5092
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);M;4081;1;2;6;15;58;82;144;223;367;435;884;289;297;586;595;838;594;366;218;3197
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);W;1385;2;2;2;5;29;40;67;90;157;136;333;93;89;182;170;249;222;135;94;1052
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);X;5466;3;4;8;20;87;122;211;313;524;571;1217;382;386;768;765;1087;816;501;312;4249
------;Straftaten insgesamt;3404000;Osnabrück;M;5424;1;4;6;25;54;90;153;243;396;557;1043;384;422;806;866;1191;781;467;270;4381
------;Straftaten insgesamt;3404000;Osnabrück;W;1690;0;0;2;8;31;41;88;97;185;153;379;112;98;210;220;327;259;161;134;1311
------;Straftaten insgesamt;3404000;Osnabrück;X;7114;1;4;8;33;85;131;241;340;581;710;1422;496;520;1016;1086;1518;1040;628;404;5692
------;Straftaten insgesamt;5774032;Paderborn;M;3946;1;4;7;6;50;68;135;270;405;543;1016;308;275;583;613;812;477;289;156;2930
------;Straftaten insgesamt;5774032;Paderborn;W;1207;0;0;0;9;18;27;79;104;183;151;361;86;78;164;133;232;150;97;70;846
------;Straftaten insgesamt;5774032;Paderborn;X;5153;1;4;7;15;68;95;214;374;588;694;1377;394;353;747;746;1044;627;386;226;3776
------;Straftaten insgesamt;8231000;Pforzheim;M;3325;0;5;7;39;71;122;140;210;350;352;824;256;226;482;497;604;476;262;180;2501
------;Straftaten insgesamt;8231000;Pforzheim;W;1235;0;1;2;2;53;58;86;76;162;115;335;80;59;139;156;222;171;112;100;900
------;Straftaten insgesamt;8231000;Pforzheim;X;4560;0;6;9;41;124;180;226;286;512;467;1159;336;285;621;653;826;647;374;280;3401
------;Straftaten insgesamt;12054000;Potsdam;M;3730;1;5;9;25;60;100;157;162;319;249;668;177;257;434;504;841;606;427;250;3062
------;Straftaten insgesamt;12054000;Potsdam;W;1337;0;1;4;6;36;47;77;64;141;88;276;62;71;133;177;279;187;152;133;1061
------;Straftaten insgesamt;12054000;Potsdam;X;5067;1;6;13;31;96;147;234;226;460;337;944;239;328;567;681;1120;793;579;383;4123
------;Straftaten insgesamt;5562032;Recklinghausen;M;3257;0;3;19;38;64;124;128;155;283;341;748;222;203;425;425;675;515;302;167;2509
------;Straftaten insgesamt;5562032;Recklinghausen;W;1068;0;2;3;10;25;40;61;56;117;97;254;57;59;116;122;208;188;104;76;814
------;Straftaten insgesamt;5562032;Recklinghausen;X;4325;0;5;22;48;89;164;189;211;400;438;1002;279;262;541;547;883;703;406;243;3323
------;Straftaten insgesamt;9362000;Regensburg;M;4236;2;6;7;23;51;89;123;235;358;461;908;376;315;691;621;899;579;323;215;3328
------;Straftaten insgesamt;9362000;Regensburg;W;1432;3;0;1;9;33;46;90;97;187;173;406;96;63;159;169;261;198;115;124;1026
------;Straftaten insgesamt;9362000;Regensburg;X;5668;5;6;8;32;84;135;213;332;545;634;1314;472;378;850;790;1160;777;438;339;4354
------;Straftaten insgesamt;5120000;Remscheid;M;2264;0;5;9;18;42;74;75;103;178;223;475;127;141;268;283;487;328;265;158;1789
------;Straftaten insgesamt;5120000;Remscheid;W;788;0;0;0;7;19;26;40;47;87;57;170;36;50;86;85;152;148;83;64;618
------;Straftaten insgesamt;5120000;Remscheid;X;3052;0;5;9;25;61;100;115;150;265;280;645;163;191;354;368;639;476;348;222;2407
------;Straftaten insgesamt;8415061;Reutlingen;M;2282;0;4;5;18;55;82;98;150;248;275;605;190;136;326;301;424;333;183;110;1677
------;Straftaten insgesamt;8415061;Reutlingen;W;786;0;0;1;7;22;30;61;68;129;90;249;49;27;76;89;138;98;84;52;537
------;Straftaten insgesamt;8415061;Reutlingen;X;3068;0;4;6;25;77;112;159;218;377;365;854;239;163;402;390;562;431;267;162;2214
------;Straftaten insgesamt;13003000;Rostock;M;5912;15;20;39;49;83;206;145;228;373;438;1017;374;463;837;1058;1370;777;511;342;4895
------;Straftaten insgesamt;13003000;Rostock;W;2151;22;5;14;30;56;127;102;109;211;160;498;122;170;292;287;386;270;229;189;1653
------;Straftaten insgesamt;13003000;Rostock;X;8063;37;25;53;79;139;333;247;337;584;598;1515;496;633;1129;1345;1756;1047;740;531;6548
------;Straftaten insgesamt;10041100;Saarbrücken;M;8089;12;14;40;45;108;219;306;606;912;892;2023;586;672;1258;1272;1561;1017;614;344;6066
------;Straftaten insgesamt;10041100;Saarbrücken;W;2994;5;10;18;30;106;169;214;200;414;347;930;195;175;370;356;517;361;255;205;2064
------;Straftaten insgesamt;10041100;Saarbrücken;X;11083;17;24;58;75;214;388;520;806;1326;1239;2953;781;847;1628;1628;2078;1378;869;549;8130
------;Straftaten insgesamt;5122000;Solingen;M;3349;0;2;12;29;49;92;106;180;286;342;720;198;220;418;372;684;559;340;256;2629
------;Straftaten insgesamt;5122000;Solingen;W;1175;0;0;2;5;44;51;47;58;105;98;254;61;63;124;135;236;201;120;105;921
------;Straftaten insgesamt;5122000;Solingen;X;4524;0;2;14;34;93;143;153;238;391;440;974;259;283;542;507;920;760;460;361;3550
------;Straftaten insgesamt;8111000;Stuttgart;M;20946;9;41;48;95;217;410;492;1108;1600;2501;4511;1751;1704;3455;3256;4319;2810;1556;1039;16435
------;Straftaten insgesamt;8111000;Stuttgart;W;6364;8;9;15;38;116;186;416;443;859;741;1786;461;407;868;873;1104;802;512;419;4578
------;Straftaten insgesamt;8111000;Stuttgart;X;27310;17;50;63;133;333;596;908;1551;2459;3242;6297;2212;2111;4323;4129;5423;3612;2068;1458;21013
------;Straftaten insgesamt;7211000;Trier;M;7144;0;2;12;27;34;75;158;291;449;818;1342;566;613;1179;1334;1726;901;452;210;5802
------;Straftaten insgesamt;7211000;Trier;W;3125;0;0;0;5;23;28;114;129;243;289;560;210;220;430;539;794;389;254;159;2565
------;Straftaten insgesamt;7211000;Trier;X;10269;0;2;12;32;57;103;272;420;692;1107;1902;776;833;1609;1873;2520;1290;706;369;8367
------;Straftaten insgesamt;8421000;Ulm;M;3821;1;2;13;25;67;108;112;253;365;426;899;287;279;566;570;829;491;296;170;2922
------;Straftaten insgesamt;8421000;Ulm;W;1375;2;2;4;10;51;69;110;108;218;178;465;96;60;156;166;243;146;111;88;910
------;Straftaten insgesamt;8421000;Ulm;X;5196;3;4;17;35;118;177;222;361;583;604;1364;383;339;722;736;1072;637;407;258;3832
------;Straftaten insgesamt;6414000;Wiesbaden;M;7063;2;12;23;32;110;179;267;357;624;749;1552;488;428;916;945;1474;1106;632;438;5511
------;Straftaten insgesamt;6414000;Wiesbaden;W;2465;0;2;8;18;56;84;129;152;281;209;574;141;147;288;285;501;358;232;227;1891
------;Straftaten insgesamt;6414000;Wiesbaden;X;9528;2;14;31;50;166;263;396;509;905;958;2126;629;575;1204;1230;1975;1464;864;665;7402
------;Straftaten insgesamt;3103000;Wolfsburg;M;2788;2;4;5;17;53;81;85;153;238;269;588;190;206;396;440;579;376;240;169;2200
------;Straftaten insgesamt;3103000;Wolfsburg;W;832;0;1;0;6;34;41;61;33;94;66;201;43;51;94;112;167;101;83;74;631
------;Straftaten insgesamt;3103000;Wolfsburg;X;3620;2;5;5;23;87;122;146;186;332;335;789;233;257;490;552;746;477;323;243;2831
------;Straftaten insgesamt;5124000;Wuppertal;M;9901;1;15;36;83;143;278;351;499;850;979;2107;632;646;1278;1333;2091;1578;940;574;7794
------;Straftaten insgesamt;5124000;Wuppertal;W;3422;1;5;8;21;85;120;233;208;441;322;883;224;227;451;389;664;487;308;240;2539
------;Straftaten insgesamt;5124000;Wuppertal;X;13323;2;20;44;104;228;398;584;707;1291;1301;2990;856;873;1729;1722;2755;2065;1248;814;10333
------;Straftaten insgesamt;9663000;Würzburg;M;5131;5;1;12;18;46;82;132;293;425;633;1140;470;411;881;870;1056;618;324;242;3991
------;Straftaten insgesamt;9663000;Würzburg;W;1393;0;0;1;6;41;48;86;78;164;158;370;97;95;192;187;239;164;127;114;1023
------;Straftaten insgesamt;9663000;Würzburg;X;6524;5;1;13;24;87;130;218;371;589;791;1510;567;506;1073;1057;1295;782;451;356;5014
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5334002;Aachen;M;13;0;0;0;0;0;0;0;0;0;1;1;1;2;3;2;1;3;2;1;12
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5334002;Aachen;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5334002;Aachen;X;13;0;0;0;0;0;0;0;0;0;1;1;1;2;3;2;1;3;2;1;12
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;9761000;Augsburg;M;23;0;0;0;0;0;0;4;2;6;1;7;2;2;4;3;5;3;0;1;16
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;9761000;Augsburg;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;9761000;Augsburg;X;23;0;0;0;0;0;0;4;2;6;1;7;2;2;4;3;5;3;0;1;16
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5378004;Bergisch Gladbach;M;7;0;0;0;0;0;0;1;0;1;0;1;0;2;2;0;3;0;1;0;6
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5378004;Bergisch Gladbach;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5378004;Bergisch Gladbach;X;7;0;0;0;0;0;0;1;0;1;0;1;0;2;2;0;3;0;1;0;6
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;11000000;Berlin;M;428;0;0;0;1;4;5;10;32;42;34;81;22;34;56;76;95;70;39;11;347
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;11000000;Berlin;W;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;0;0;5
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;11000000;Berlin;X;433;0;0;0;1;4;5;10;32;42;34;81;23;34;57;76;98;71;39;11;352
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5711000;Bielefeld;M;24;0;0;0;0;0;0;0;1;1;2;3;4;1;5;1;4;8;2;1;21
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5711000;Bielefeld;W;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5711000;Bielefeld;X;25;0;0;0;0;0;0;0;1;1;3;4;4;1;5;1;4;8;2;1;21
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5911000;Bochum;M;37;0;0;0;0;0;0;1;2;3;4;7;1;1;2;4;7;12;5;0;30
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5911000;Bochum;W;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5911000;Bochum;X;38;0;0;0;0;0;0;1;2;3;4;7;1;2;3;4;7;12;5;0;31
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5314000;Bonn;M;50;0;0;0;0;1;1;2;4;6;9;16;2;3;5;8;10;8;2;1;34
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5314000;Bonn;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5314000;Bonn;X;50;0;0;0;0;1;1;2;4;6;9;16;2;3;5;8;10;8;2;1;34
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5512000;Bottrop;M;13;0;0;0;0;0;0;1;1;2;4;6;0;2;2;1;3;0;0;1;7
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5512000;Bottrop;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;5512000;Bottrop;X;13;0;0;0;0;0;0;1;1;2;4;6;0;2;2;1;3;0;0;1;7
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;3101000;Braunschweig;M;46;0;0;0;0;0;0;0;6;6;11;17;5;1;6;5;14;1;3;0;29
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;3101000;Braunschweig;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;3101000;Braunschweig;X;48;0;0;0;0;0;0;0;6;6;11;17;5;1;6;6;14;2;3;0;31
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4011000;Bremen;M;72;0;0;0;0;1;1;3;6;9;6;16;4;6;10;9;16;14;2;5;56
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4011000;Bremen;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4011000;Bremen;X;72;0;0;0;0;1;1;3;6;9;6;16;4;6;10;9;16;14;2;5;56
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4012000;Bremerhaven;M;13;0;0;0;0;0;0;2;1;3;0;3;1;0;1;2;3;3;1;0;10
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4012000;Bremerhaven;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;4012000;Bremerhaven;X;13;0;0;0;0;0;0;2;1;3;0;3;1;0;1;2;3;3;1;0;10
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;14511000;Chemnitz;M;8;0;0;0;0;0;0;0;0;0;4;4;1;0;1;2;1;0;0;0;4
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;14511000;Chemnitz;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;14511000;Chemnitz;X;8;0;0;0;0;0;0;0;0;0;4;4;1;0;1;2;1;0;0;0;4
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;6411000;Darmstadt;M;9;0;0;0;0;3;3;1;0;1;2;6;1;0;1;1;1;0;0;0;3
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;6411000;Darmstadt;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
