Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",7312000,Kaiserslautern,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8212000,Karlsruhe,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",6611000,Kassel,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",1002000,Kiel,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",7111000,Koblenz,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5315000,Köln,1,0,0,0.0,1,0,1,100.0,1,1,0,1,100.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5114000,Krefeld,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",14713000,Leipzig,1,0,1,100.0,0,0,1,100.0,1,1,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5316000,Leverkusen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",1003000,Lübeck,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",7314000,Ludwigshafen am Rhein,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",15003000,Magdeburg,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",7315000,Mainz,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8222000,Mannheim,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5170024,Moers,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5116000,Mönchengladbach,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5117000,Mülheim an der Ruhr,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",9162000,München,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5515000,Münster,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5162024,Neuss,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",9564000,Nürnberg,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5119000,Oberhausen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",6413000,Offenbach am Main,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",3403000,Oldenburg (Oldenburg),0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",3404000,Osnabrück,0,0,0,0.0,0,0,1,0.0,1,1,0,1,100.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5774032,Paderborn,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8231000,Pforzheim,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",12054000,Potsdam,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5562032,Recklinghausen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",9362000,Regensburg,1,1,1,100.0,0,0,1,100.0,1,1,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5120000,Remscheid,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8415061,Reutlingen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",13003000,Rostock,1,0,0,0.0,0,0,1,100.0,1,1,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",10041100,Saarbrücken,1,1,1,100.0,0,0,1,100.0,1,1,0,1,100.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",3102000,Salzgitter,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",13004000,Schwerin,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5970040,Siegen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5122000,Solingen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8111000,Stuttgart,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",7211000,Trier,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",8421000,Ulm,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",6414000,Wiesbaden,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",3103000,Wolfsburg,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",5124000,Wuppertal,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
211000,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen",9663000,Würzburg,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5334002,Aachen,9,4,3,33.3,6,0,7,77.8,11,11,0,9,81.8,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9761000,Augsburg,1,0,0,0.0,0,0,1,100.0,2,2,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5378004,Bergisch Gladbach,3,3,1,33.3,2,0,3,100.0,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",11000000,Berlin,219,6,48,21.9,47,3,74,33.8,100,98,2,42,42.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5711000,Bielefeld,22,7,5,22.7,12,2,14,63.6,10,9,1,2,20.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5911000,Bochum,5,1,2,40.0,2,0,2,40.0,2,2,0,1,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5314000,Bonn,12,4,2,16.7,5,0,9,75.0,14,14,0,3,21.4,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5512000,Bottrop,3,3,0,0.0,2,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3101000,Braunschweig,6,2,1,16.7,3,0,3,50.0,3,3,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",4011000,Bremen,29,5,8,27.6,6,0,11,37.9,11,11,0,2,18.2,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",4012000,Bremerhaven,8,7,0,0.0,2,2,2,25.0,2,2,0,1,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",14511000,Chemnitz,2,1,0,0.0,1,0,2,100.0,2,2,0,1,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",12052000,Cottbus,2,2,0,0.0,0,0,1,50.0,1,1,0,1,100.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",6411000,Darmstadt,8,5,1,12.5,2,0,7,87.5,5,4,1,1,20.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5913000,Dortmund,13,2,4,30.8,5,0,7,53.8,12,11,1,6,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",14612000,Dresden,5,1,1,20.0,0,0,5,100.0,5,5,0,1,20.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5112000,Duisburg,23,5,8,34.8,8,0,12,52.2,18,18,0,4,22.2,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5111000,Düsseldorf,20,3,4,20.0,10,0,10,50.0,17,17,0,9,52.9,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",16051000,Erfurt,1,0,1,100.0,0,0,1,100.0,2,2,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9562000,Erlangen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5113000,Essen,19,3,10,52.6,11,0,8,42.1,9,9,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",6412000,Frankfurt am Main,17,2,8,47.1,5,0,15,88.2,18,17,1,8,44.4,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8311000,Freiburg im Breisgau,6,3,2,33.3,2,0,1,16.7,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9563000,Fürth,1,1,1,100.0,0,1,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5513000,Gelsenkirchen,5,2,1,20.0,2,0,2,40.0,4,3,1,2,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3159016,Göttingen,1,1,0,0.0,0,1,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5754008,Gütersloh,3,3,0,0.0,2,0,3,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5914000,Hagen,4,2,2,50.0,1,0,5,125.0,14,14,0,5,35.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",15002000,Halle (Saale),11,5,2,18.2,5,0,8,72.7,13,11,2,2,15.4,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",2000000,Hamburg,39,2,14,35.9,11,2,14,35.9,15,15,0,5,33.3,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5915000,Hamm,16,9,6,37.5,3,1,7,43.8,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3241001,Hannover,19,4,4,21.1,8,0,11,57.9,18,18,0,3,16.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8221000,Heidelberg,1,1,1,100.0,0,0,1,100.0,1,1,0,1,100.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8121000,Heilbronn,1,1,1,100.0,1,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5916000,Herne,6,4,2,33.3,1,0,4,66.7,4,4,0,1,25.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3254021,Hildesheim,11,11,3,27.3,4,0,11,100.0,6,6,0,1,16.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9161000,Ingolstadt,0,0,0,0.0,0,0,2,0.0,2,2,0,1,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",16053000,Jena,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",7312000,Kaiserslautern,2,2,2,100.0,0,0,2,100.0,3,3,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8212000,Karlsruhe,1,0,0,0.0,1,0,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",6611000,Kassel,13,6,4,30.8,4,1,9,69.2,18,14,4,9,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",1002000,Kiel,14,6,6,42.9,5,0,9,64.3,8,8,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",7111000,Koblenz,2,2,0,0.0,1,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5315000,Köln,22,2,7,31.8,7,2,15,68.2,16,15,1,8,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5114000,Krefeld,6,3,1,16.7,2,0,4,66.7,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",14713000,Leipzig,11,2,1,9.1,4,0,4,36.4,7,7,0,4,57.1,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5316000,Leverkusen,4,2,3,75.0,1,0,5,125.0,5,5,0,1,20.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",1003000,Lübeck,6,3,1,16.7,5,1,4,66.7,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",7314000,Ludwigshafen am Rhein,3,2,0,0.0,3,0,3,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",15003000,Magdeburg,8,3,3,37.5,3,0,7,87.5,7,7,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",7315000,Mainz,3,1,1,33.3,2,0,1,33.3,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8222000,Mannheim,10,3,2,20.0,7,0,6,60.0,7,7,0,2,28.6,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5170024,Moers,1,1,0,0.0,0,0,1,100.0,2,2,0,1,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5116000,Mönchengladbach,9,3,4,44.4,6,0,4,44.4,8,8,0,3,37.5,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5117000,Mülheim an der Ruhr,5,3,0,0.0,2,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9162000,München,19,1,12,63.2,3,0,8,42.1,12,12,0,6,50.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5515000,Münster,10,3,0,0.0,3,1,10,100.0,11,11,0,6,54.5,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5162024,Neuss,5,3,2,40.0,3,0,2,40.0,8,7,1,3,37.5,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9564000,Nürnberg,2,0,2,100.0,0,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5119000,Oberhausen,4,2,2,50.0,1,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",6413000,Offenbach am Main,11,8,1,9.1,1,0,8,72.7,6,6,0,2,33.3,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3403000,Oldenburg (Oldenburg),6,4,2,33.3,2,0,3,50.0,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3404000,Osnabrück,2,1,1,50.0,1,0,1,50.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5774032,Paderborn,6,4,1,16.7,5,0,6,100.0,6,6,0,1,16.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8231000,Pforzheim,2,2,1,50.0,1,0,1,50.0,3,3,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",12054000,Potsdam,2,1,1,50.0,0,0,1,50.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5562032,Recklinghausen,4,4,2,50.0,2,0,1,25.0,2,2,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9362000,Regensburg,1,1,1,100.0,0,0,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5120000,Remscheid,2,2,1,50.0,1,0,1,50.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8415061,Reutlingen,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",13003000,Rostock,2,1,1,50.0,0,0,1,50.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",10041100,Saarbrücken,7,4,3,42.9,2,0,3,42.9,3,3,0,2,66.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3102000,Salzgitter,2,2,0,0.0,1,0,0,0.0,0,0,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",13004000,Schwerin,1,1,0,0.0,0,0,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5970040,Siegen,3,3,0,0.0,0,0,3,100.0,4,4,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5122000,Solingen,2,1,1,50.0,1,0,1,50.0,1,0,1,1,100.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8111000,Stuttgart,4,1,1,25.0,1,0,3,75.0,3,3,0,1,33.3,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",7211000,Trier,1,1,1,100.0,0,0,1,100.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",8421000,Ulm,7,6,1,14.3,1,0,7,100.0,6,6,0,1,16.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",6414000,Wiesbaden,10,4,5,50.0,4,0,3,30.0,3,3,0,2,66.7,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",3103000,Wolfsburg,3,2,1,33.3,2,0,1,33.3,3,2,1,1,33.3,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",5124000,Wuppertal,4,1,2,50.0,2,0,1,25.0,1,1,0,0,0.0,2021
212000,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte",9663000,Würzburg,1,1,0,0.0,0,0,1,100.0,2,2,0,0,0.0,2021
216000,Handtaschenraub,5334002,Aachen,9,4,4,44.4,0,0,2,22.2,2,2,0,2,100.0,2021
216000,Handtaschenraub,9761000,Augsburg,2,1,1,50.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5378004,Bergisch Gladbach,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,11000000,Berlin,107,3,27,25.2,0,0,26,24.3,32,32,0,22,68.8,2021
216000,Handtaschenraub,5711000,Bielefeld,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5911000,Bochum,3,1,1,33.3,0,0,2,66.7,3,3,0,0,0.0,2021
216000,Handtaschenraub,5314000,Bonn,3,1,2,66.7,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5512000,Bottrop,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,3101000,Braunschweig,2,1,0,0.0,0,0,1,50.0,1,1,0,0,0.0,2021
216000,Handtaschenraub,4011000,Bremen,10,2,3,30.0,0,0,3,30.0,3,3,0,3,100.0,2021
216000,Handtaschenraub,4012000,Bremerhaven,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,14511000,Chemnitz,4,2,1,25.0,0,0,1,25.0,1,1,0,1,100.0,2021
216000,Handtaschenraub,12052000,Cottbus,4,4,1,25.0,0,0,2,50.0,2,2,0,1,50.0,2021
216000,Handtaschenraub,6411000,Darmstadt,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5913000,Dortmund,5,1,2,40.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,14612000,Dresden,8,1,2,25.0,0,0,4,50.0,5,5,0,4,80.0,2021
216000,Handtaschenraub,5112000,Duisburg,14,3,2,14.3,0,0,5,35.7,6,6,0,2,33.3,2021
216000,Handtaschenraub,5111000,Düsseldorf,14,2,1,7.1,0,0,2,14.3,3,3,0,2,66.7,2021
216000,Handtaschenraub,16051000,Erfurt,7,3,0,0.0,0,0,2,28.6,2,2,0,0,0.0,2021
216000,Handtaschenraub,9562000,Erlangen,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5113000,Essen,7,1,1,14.3,0,0,2,28.6,3,3,0,0,0.0,2021
216000,Handtaschenraub,6412000,Frankfurt am Main,16,2,4,25.0,1,0,7,43.8,9,8,1,5,55.6,2021
216000,Handtaschenraub,8311000,Freiburg im Breisgau,5,2,1,20.0,0,0,5,100.0,5,5,0,3,60.0,2021
216000,Handtaschenraub,9563000,Fürth,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,5513000,Gelsenkirchen,3,1,2,66.7,0,0,1,33.3,1,1,0,0,0.0,2021
216000,Handtaschenraub,3159016,Göttingen,2,2,2,100.0,0,0,1,50.0,1,1,0,0,0.0,2021
216000,Handtaschenraub,5754008,Gütersloh,2,2,0,0.0,0,0,1,50.0,1,1,0,1,100.0,2021
216000,Handtaschenraub,5914000,Hagen,4,2,0,0.0,0,0,1,25.0,1,1,0,0,0.0,2021
216000,Handtaschenraub,15002000,Halle (Saale),8,3,2,25.0,1,0,2,25.0,2,2,0,0,0.0,2021
216000,Handtaschenraub,2000000,Hamburg,61,3,16,26.2,0,0,25,41.0,26,23,3,12,46.2,2021
216000,Handtaschenraub,5915000,Hamm,3,2,0,0.0,0,0,1,33.3,4,4,0,0,0.0,2021
216000,Handtaschenraub,3241001,Hannover,14,3,2,14.3,0,0,7,50.0,7,7,0,2,28.6,2021
216000,Handtaschenraub,8221000,Heidelberg,1,1,1,100.0,0,0,1,100.0,1,0,1,0,0.0,2021
216000,Handtaschenraub,8121000,Heilbronn,3,2,1,33.3,0,0,1,33.3,1,1,0,1,100.0,2021
216000,Handtaschenraub,5916000,Herne,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,3254021,Hildesheim,3,3,1,33.3,0,0,2,66.7,3,3,0,2,66.7,2021
216000,Handtaschenraub,9161000,Ingolstadt,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,16053000,Jena,1,1,1,100.0,0,0,1,100.0,1,1,0,0,0.0,2021
216000,Handtaschenraub,7312000,Kaiserslautern,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,8212000,Karlsruhe,4,1,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2021
216000,Handtaschenraub,6611000,Kassel,8,4,1,12.5,0,0,5,62.5,7,7,0,0,0.0,2021
216000,Handtaschenraub,1002000,Kiel,2,1,1,50.0,0,0,1,50.0,1,1,0,0,0.0,2021
216000,Handtaschenraub,7111000,Koblenz,1,1,0,0.0,0,0,1,100.0,3,3,0,1,33.3,2021
216000,Handtaschenraub,5315000,Köln,22,2,3,13.6,0,0,6,27.3,10,7,3,7,70.0,2021
216000,Handtaschenraub,5114000,Krefeld,13,6,3,23.1,0,0,8,61.5,6,5,1,2,33.3,2021
