Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,3254021,Hildesheim,M,"3,097",0,6,10,18,52,86,82,175,257,308,651,196,217,413,459,648,459,301,166,"2,446",2016
------,Straftaten insgesamt,9161000,Ingolstadt,M,"3,897",1,6,7,21,43,78,133,216,349,436,863,293,245,538,565,863,517,347,204,"3,034",2016
------,Straftaten insgesamt,16053000,Jena,M,"2,419",1,2,4,14,33,54,79,140,219,246,519,172,130,302,426,558,308,178,128,"1,900",2016
------,Straftaten insgesamt,8212000,Karlsruhe,M,"10,893",9,7,20,33,99,168,299,663,962,"1,446","2,576",993,900,"1,893","1,758","2,143","1,254",818,451,"8,317",2016
------,Straftaten insgesamt,6611000,Kassel,M,"6,333",29,13,25,38,76,181,189,353,542,636,"1,359",425,447,872,"1,006","1,380",892,521,303,"4,974",2016
------,Straftaten insgesamt,1002000,Kiel,M,"6,897",61,24,44,50,103,282,208,392,600,646,"1,528",471,446,917,"1,105","1,444",996,576,331,"5,369",2016
------,Straftaten insgesamt,7111000,Koblenz,M,"4,057",0,5,13,13,34,65,95,232,327,465,857,323,328,651,609,833,554,355,198,"3,200",2016
------,Straftaten insgesamt,5315000,Koeln,M,"39,574",212,86,138,202,436,"1,074","1,063","1,982","3,045","4,021","8,140","2,812","2,669","5,481","6,350","8,684","5,832","3,315","1,772","31,434",2016
------,Straftaten insgesamt,5114000,Krefeld,M,"6,885",3,2,24,52,91,172,186,312,498,693,"1,363",469,454,923,"1,083","1,478","1,040",644,354,"5,522",2016
------,Straftaten insgesamt,14713000,Leipzig,M,"18,879",296,129,122,180,275,"1,002",467,789,"1,256","1,557","3,815","1,162","1,340","2,502","3,204","4,699","2,387","1,402",870,"15,064",2016
