Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
------,Straftaten insgesamt,16053000,Jena,"7,780","7,052",435,5.6,2,7,"4,652",59.8,"3,160","2,491",669,609,19.3,2017
------,Straftaten insgesamt,8212000,Karlsruhe,"27,644","8,917","1,538",5.6,20,40,"17,344",62.7,"12,696","9,853","2,843","6,781",53.4,2017
------,Straftaten insgesamt,6611000,Kassel,"18,382","9,234","1,403",7.6,22,24,"11,122",60.5,"7,715","5,890","1,825","3,000",38.9,2017
------,Straftaten insgesamt,1002000,Kiel,"23,934","9,673","1,958",8.2,27,13,"11,493",48.0,"7,949","6,099","1,850","2,194",27.6,2017
------,Straftaten insgesamt,7111000,Koblenz,"11,264","9,915",699,6.2,12,9,"6,223",55.2,"4,806","3,634","1,172","1,436",29.9,2017
------,Straftaten insgesamt,5315000,Köln,"136,858","12,720","12,160",8.9,79,32,"66,304",48.4,"49,481","36,832","12,649","22,752",46.0,2017
------,Straftaten insgesamt,5114000,Krefeld,"21,934","9,671","1,555",7.1,10,6,"12,874",58.7,"9,579","7,078","2,501","3,080",32.2,2017
------,Straftaten insgesamt,14713000,Leipzig,"79,383","13,900","7,214",9.1,37,24,"36,024",45.4,"21,825","16,276","5,549","7,327",33.6,2017
------,Straftaten insgesamt,5316000,Leverkusen,"12,570","7,706","1,510",12.0,6,6,"5,894",46.9,"4,869","3,690","1,179","1,450",29.8,2017
------,Straftaten insgesamt,1003000,Lübeck,"23,614","10,896","1,829",7.7,23,15,"12,964",54.9,"8,405","6,336","2,069","1,958",23.3,2017
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,"16,117","9,673","1,048",6.5,26,8,"10,171",63.1,"7,611","5,574","2,037","3,117",41.0,2017
------,Straftaten insgesamt,15003000,Magdeburg,"27,143","11,398","3,409",12.6,10,22,"13,761",50.7,"8,490","6,392","2,098","1,846",21.7,2017
------,Straftaten insgesamt,7315000,Mainz,"18,686","8,751","1,046",5.6,8,6,"12,070",64.6,"7,926","6,097","1,829","3,162",39.9,2017
------,Straftaten insgesamt,8222000,Mannheim,"34,891","11,448","1,926",5.5,19,19,"19,714",56.5,"14,388","11,151","3,237","7,003",48.7,2017
------,Straftaten insgesamt,5170024,Moers,"7,558","7,276",898,11.9,2,9,"3,603",47.7,"2,662","2,026",636,715,26.9,2017
------,Straftaten insgesamt,5116000,Mönchengladbach,"21,546","8,258","1,484",6.9,12,19,"11,988",55.6,"8,332","6,160","2,172","2,598",31.2,2017
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,"12,243","7,162",996,8.1,4,11,"6,683",54.6,"4,945","3,705","1,240","1,743",35.2,2017
------,Straftaten insgesamt,9162000,München,"97,035","6,627","5,590",5.8,47,28,"63,380",65.3,"48,851","37,119","11,732","26,795",54.9,2017
------,Straftaten insgesamt,5515000,Münster,"29,475","9,452","2,140",7.3,12,4,"14,212",48.2,"9,714","7,586","2,128","3,579",36.8,2017
------,Straftaten insgesamt,5162024,Neuss,"12,788","8,365","1,083",8.5,6,6,"7,642",59.8,"5,354","3,998","1,356","1,651",30.8,2017
------,Straftaten insgesamt,9564000,Nürnberg,"43,750","8,551","2,848",6.5,33,30,"29,383",67.2,"20,066","15,101","4,965","9,255",46.1,2017
------,Straftaten insgesamt,5119000,Oberhausen,"16,470","7,792","1,095",6.6,3,11,"9,328",56.6,"7,331","5,461","1,870","2,231",30.4,2017
------,Straftaten insgesamt,6413000,Offenbach am Main,"11,987","9,621",768,6.4,16,6,"8,401",70.1,"6,145","4,754","1,391","3,194",52.0,2017
------,Straftaten insgesamt,3403000,Oldenburg (Oldenburg),"13,583","8,197","1,056",7.8,9,16,"7,602",56.0,"5,075","3,850","1,225","1,394",27.5,2017
------,Straftaten insgesamt,3404000,Osnabrück,"17,176","10,469","1,128",6.6,15,11,"10,057",58.6,"7,193","5,534","1,659","2,484",34.5,2017
------,Straftaten insgesamt,5774032,Paderborn,"12,032","8,093",925,7.7,5,5,"6,994",58.1,"5,058","3,829","1,229","1,734",34.3,2017
------,Straftaten insgesamt,8231000,Pforzheim,"9,091","7,362",514,5.7,7,4,"6,035",66.4,"4,440","3,302","1,138","1,972",44.4,2017
------,Straftaten insgesamt,12054000,Potsdam,"15,311","8,912",852,5.6,10,9,"8,662",56.6,"5,792","4,201","1,591","1,433",24.7,2017
------,Straftaten insgesamt,5562032,Recklinghausen,"10,788","9,463","1,187",11.0,8,9,"5,726",53.1,"4,329","3,275","1,054","1,418",32.8,2017
------,Straftaten insgesamt,9362000,Regensburg,"14,236","9,578",920,6.5,8,8,"9,286",65.2,"6,705","4,939","1,766","3,270",48.8,2017
------,Straftaten insgesamt,5120000,Remscheid,"7,180","6,491",528,7.4,9,7,"4,438",61.8,"3,014","2,263",751,940,31.2,2017
------,Straftaten insgesamt,8415061,Reutlingen,"6,654","5,786",419,6.3,3,7,"4,234",63.6,"2,982","2,318",664,"1,146",38.4,2017
------,Straftaten insgesamt,13003000,Rostock,"18,832","9,075","1,078",5.7,3,6,"11,230",59.6,"7,524","5,659","1,865","1,493",19.8,2017
------,Straftaten insgesamt,10041100,Saarbrücken,"22,693","12,628","1,673",7.4,22,16,"13,212",58.2,"9,915","7,429","2,486","4,403",44.4,2017
------,Straftaten insgesamt,3102000,Salzgitter,"5,867","5,659",399,6.8,12,7,"3,895",66.4,"3,076","2,258",818,891,29.0,2017
------,Straftaten insgesamt,13004000,Schwerin,"11,672","12,201",806,6.9,0,1,"7,883",67.5,"4,923","3,635","1,288",999,20.3,2017
------,Straftaten insgesamt,5970040,Siegen,"9,291","9,121",642,6.9,13,8,"6,031",64.9,"3,938","2,916","1,022","1,397",35.5,2017
------,Straftaten insgesamt,5122000,Solingen,"9,962","6,269",868,8.7,2,5,"4,918",49.4,"4,065","3,069",996,"1,359",33.4,2017
------,Straftaten insgesamt,8111000,Stuttgart,"54,255","8,639","3,291",6.1,20,31,"34,901",64.3,"25,047","19,425","5,622","12,143",48.5,2017
------,Straftaten insgesamt,7211000,Trier,"12,543","11,391",745,5.9,6,8,"8,951",71.4,"6,955","5,094","1,861","4,124",59.3,2017
------,Straftaten insgesamt,8421000,Ulm,"9,739","7,857",597,6.1,3,3,"5,968",61.3,"4,425","3,380","1,045","2,084",47.1,2017
------,Straftaten insgesamt,6414000,Wiesbaden,"23,110","8,324","1,531",6.6,27,17,"14,757",63.9,"9,434","7,024","2,410","3,697",39.2,2017
------,Straftaten insgesamt,3103000,Wolfsburg,"8,274","6,677",628,7.6,4,6,"4,720",57.0,"3,488","2,708",780,"1,109",31.8,2017
------,Straftaten insgesamt,5124000,Wuppertal,"34,691","9,844","3,182",9.2,14,8,"17,898",51.6,"12,140","9,138","3,002","4,500",37.1,2017
------,Straftaten insgesamt,9663000,Würzburg,"10,042","7,969",521,5.2,7,20,"6,941",69.1,"5,604","4,469","1,135","1,937",34.6,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5334002,Aachen,56,23,11,19.6,0,0,47,83.9,46,45,1,21,45.7,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9761000,Augsburg,47,16,11,23.4,0,0,42,89.4,42,42,0,23,54.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5378004,Bergisch Gladbach,14,13,0,0.0,0,0,12,85.7,13,13,0,7,53.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",11000000,Berlin,"1,002",28,115,11.5,2,0,667,66.6,665,655,10,282,42.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5711000,Bielefeld,53,16,6,11.3,0,0,40,75.5,41,40,1,24,58.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5911000,Bochum,57,16,5,8.8,0,0,48,84.2,48,48,0,18,37.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5314000,Bonn,73,23,13,17.8,0,0,62,84.9,63,63,0,32,50.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5512000,Bottrop,14,12,3,21.4,0,0,10,71.4,10,10,0,7,70.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3101000,Braunschweig,44,18,4,9.1,0,0,35,79.5,48,48,0,18,37.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",4011000,Bremen,128,23,16,12.5,0,0,86,67.2,91,91,0,49,53.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",4012000,Bremerhaven,33,29,2,6.1,0,0,26,78.8,28,27,1,10,35.7,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",14511000,Chemnitz,50,20,0,0.0,0,0,43,86.0,48,46,2,27,56.3,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",12052000,Cottbus,7,7,0,0.0,0,0,5,71.4,5,5,0,2,40.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",6411000,Darmstadt,23,15,4,17.4,0,0,21,91.3,20,20,0,11,55.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5913000,Dortmund,127,22,22,17.3,0,0,98,77.2,108,107,1,47,43.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",14612000,Dresden,72,13,16,22.2,0,0,57,79.2,61,59,2,23,37.7,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5112000,Duisburg,45,9,10,22.2,0,0,39,86.7,40,40,0,14,35.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5111000,Düsseldorf,116,19,20,17.2,0,0,81,69.8,77,76,1,35,45.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",16051000,Erfurt,52,25,3,5.8,0,0,43,82.7,43,42,1,12,27.9,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9562000,Erlangen,22,20,2,9.1,0,0,16,72.7,17,17,0,10,58.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5113000,Essen,97,17,21,21.6,0,0,66,68.0,66,65,1,23,34.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",6412000,Frankfurt am Main,119,16,21,17.6,2,0,80,67.2,87,87,0,49,56.3,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8311000,Freiburg im Breisgau,33,14,4,12.1,0,0,28,84.8,28,28,0,14,50.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9563000,Fürth,19,15,2,10.5,0,0,16,84.2,15,15,0,5,33.3,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5513000,Gelsenkirchen,103,39,11,10.7,1,0,100,97.1,53,53,0,9,17.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3159016,Göttingen,24,20,5,20.8,0,0,23,95.8,21,21,0,13,61.9,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5914000,Hagen,23,12,3,13.0,0,0,18,78.3,19,19,0,9,47.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",15002000,Halle (Saale),52,22,9,17.3,0,0,36,69.2,37,37,0,13,35.1,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",2000000,Hamburg,255,14,39,15.3,1,0,194,76.1,223,218,5,104,46.6,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5915000,Hamm,28,16,3,10.7,0,0,22,78.6,21,21,0,6,28.6,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3241001,Hannover,97,18,10,10.3,0,0,77,79.4,79,77,2,36,45.6,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8221000,Heidelberg,24,15,4,16.7,0,0,20,83.3,21,20,1,11,52.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8121000,Heilbronn,24,19,2,8.3,0,0,19,79.2,20,19,1,14,70.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5916000,Herne,38,24,3,7.9,0,0,34,89.5,31,31,0,9,29.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3254021,Hildesheim,20,20,1,5.0,0,0,17,85.0,20,19,1,3,15.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9161000,Ingolstadt,25,19,4,16.0,0,0,21,84.0,15,15,0,6,40.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",16053000,Jena,11,10,1,9.1,0,0,9,81.8,9,9,0,4,44.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8212000,Karlsruhe,29,9,3,10.3,0,0,27,93.1,27,27,0,11,40.7,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",6611000,Kassel,41,21,5,12.2,0,0,36,87.8,34,34,0,11,32.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",1002000,Kiel,75,30,7,9.3,0,0,57,76.0,57,56,1,12,21.1,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",7111000,Koblenz,10,9,1,10.0,1,0,10,100.0,11,11,0,4,36.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5315000,Köln,260,24,29,11.2,1,0,170,65.4,180,179,1,90,50.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5114000,Krefeld,29,13,1,3.4,0,0,27,93.1,32,32,0,15,46.9,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",14713000,Leipzig,115,20,8,7.0,1,0,85,73.9,89,88,1,41,46.1,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5316000,Leverkusen,22,13,3,13.6,0,0,20,90.9,21,21,0,7,33.3,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",1003000,Lübeck,56,26,5,8.9,2,0,43,76.8,43,42,1,12,27.9,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",7314000,Ludwigshafen am Rhein,48,29,7,14.6,0,0,39,81.3,42,42,0,19,45.2,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",15003000,Magdeburg,47,20,5,10.6,0,0,43,91.5,42,39,3,7,16.7,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",7315000,Mainz,33,15,0,0.0,0,0,25,75.8,26,26,0,12,46.2,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8222000,Mannheim,49,16,2,4.1,0,0,32,65.3,32,32,0,16,50.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5170024,Moers,10,10,1,10.0,0,0,8,80.0,8,8,0,1,12.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5116000,Mönchengladbach,43,16,6,14.0,0,0,40,93.0,44,44,0,19,43.2,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5117000,Mülheim an der Ruhr,18,11,6,33.3,0,0,14,77.8,17,16,1,4,23.5,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9162000,München,261,18,42,16.1,0,0,200,76.6,194,194,0,125,64.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5515000,Münster,58,19,8,13.8,0,0,49,84.5,51,50,1,19,37.3,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5162024,Neuss,16,10,3,18.8,0,0,12,75.0,13,13,0,4,30.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",9564000,Nürnberg,100,20,13,13.0,0,0,79,79.0,83,81,2,48,57.8,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5119000,Oberhausen,24,11,2,8.3,0,0,20,83.3,21,21,0,8,38.1,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",6413000,Offenbach am Main,32,26,4,12.5,0,0,30,93.8,33,33,0,20,60.6,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3403000,Oldenburg (Oldenburg),26,16,2,7.7,0,0,18,69.2,20,20,0,6,30.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",3404000,Osnabrück,38,23,3,7.9,0,0,24,63.2,27,26,1,10,37.0,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",5774032,Paderborn,27,18,4,14.8,0,0,20,74.1,21,20,1,11,52.4,2017
111000,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB",8231000,Pforzheim,12,10,1,8.3,0,0,8,66.7,9,9,0,5,55.6,2017
