Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
------,Straftaten insgesamt,5334002,Aachen,"29,542","12,060","2,654",9.0,11,6,"16,126",54.6,"11,774","9,336","2,438","5,934",50.4,2017
------,Straftaten insgesamt,9761000,Augsburg,"20,899","7,217","1,183",5.7,12,10,"14,618",69.9,"10,234","7,789","2,445","4,051",39.6,2017
------,Straftaten insgesamt,5378004,Bergisch Gladbach,"6,718","6,034",718,10.7,2,4,"3,368",50.1,"2,602","1,972",630,755,29.0,2017
------,Straftaten insgesamt,11000000,Berlin,"520,436","14,558","40,350",7.8,334,262,"229,925",44.2,"138,036","102,357","35,679","58,977",42.7,2017
------,Straftaten insgesamt,5711000,Bielefeld,"26,370","7,908","1,951",7.4,9,9,"15,434",58.5,"10,671","8,227","2,444","4,466",41.9,2017
------,Straftaten insgesamt,5911000,Bochum,"32,207","8,826","2,631",8.2,22,15,"17,872",55.5,"12,304","9,326","2,978","3,676",29.9,2017
------,Straftaten insgesamt,5314000,Bonn,"30,762","9,550","2,656",8.6,18,5,"14,939",48.6,"10,707","8,299","2,408","3,728",34.8,2017
------,Straftaten insgesamt,5512000,Bottrop,"8,404","7,158",941,11.2,6,17,"4,135",49.2,"3,104","2,368",736,844,27.2,2017
------,Straftaten insgesamt,3101000,Braunschweig,"22,904","9,211","1,470",6.4,22,14,"13,823",60.4,"9,254","7,120","2,134","2,858",30.9,2017
------,Straftaten insgesamt,4011000,Bremen,"68,343","12,081","7,175",10.5,84,35,"32,305",47.3,"20,931","16,299","4,632","8,904",42.5,2017
------,Straftaten insgesamt,4012000,Bremerhaven,"12,647","11,189","1,020",8.1,21,24,"6,920",54.7,"4,889","3,675","1,214","1,550",31.7,2017
------,Straftaten insgesamt,14511000,Chemnitz,"25,452","10,332","2,974",11.7,10,16,"14,486",56.9,"9,453","6,912","2,541","4,273",45.2,2017
------,Straftaten insgesamt,12052000,Cottbus,"9,439","9,400",844,8.9,5,2,"4,861",51.5,"2,999","2,340",659,562,18.7,2017
------,Straftaten insgesamt,6411000,Darmstadt,"12,121","7,699",856,7.1,4,1,"7,630",62.9,"5,438","4,122","1,316","2,209",40.6,2017
------,Straftaten insgesamt,5913000,Dortmund,"67,291","11,487","5,538",8.2,28,42,"38,573",57.3,"25,993","20,222","5,771","10,965",42.2,2017
------,Straftaten insgesamt,14612000,Dresden,"78,410","14,330","4,375",5.6,26,33,"54,714",69.8,"18,094","13,530","4,564","5,737",31.7,2017
------,Straftaten insgesamt,5112000,Duisburg,"49,739","9,951","4,860",9.8,56,41,"26,809",53.9,"18,300","13,666","4,634","7,359",40.2,2017
------,Straftaten insgesamt,5111000,Düsseldorf,"69,239","11,291","5,526",8.0,18,6,"33,218",48.0,"26,719","19,885","6,834","13,863",51.9,2017
------,Straftaten insgesamt,16051000,Erfurt,"22,659","10,733","1,915",8.5,22,11,"14,011",61.8,"8,851","6,486","2,365","1,763",19.9,2017
------,Straftaten insgesamt,9562000,Erlangen,"5,829","5,288",345,5.9,5,3,"3,580",61.4,"3,081","2,340",741,"1,192",38.7,2017
------,Straftaten insgesamt,5113000,Essen,"55,779","9,566","3,820",6.8,24,15,"32,523",58.3,"21,918","16,394","5,524","8,645",39.4,2017
------,Straftaten insgesamt,6412000,Frankfurt am Main,"109,458","14,864","7,450",6.8,70,28,"70,312",64.2,"47,096","34,236","12,860","31,615",67.1,2017
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,"27,850","12,237","1,770",6.4,29,14,"17,271",62.0,"11,721","9,039","2,682","5,527",47.2,2017
------,Straftaten insgesamt,9563000,Fürth,"5,853","4,667",419,7.2,4,4,"3,984",68.1,"3,260","2,477",783,"1,277",39.2,2017
------,Straftaten insgesamt,5513000,Gelsenkirchen,"23,387","8,908","1,949",8.3,15,5,"12,004",51.3,"9,502","7,059","2,443","3,682",38.7,2017
------,Straftaten insgesamt,3159016,Göttingen,"12,487","10,478",981,7.9,20,8,"7,118",57.0,"5,021","3,768","1,253","1,665",33.2,2017
------,Straftaten insgesamt,5914000,Hagen,"15,713","8,346","1,494",9.5,5,5,"9,343",59.5,"6,660","5,108","1,552","2,468",37.1,2017
------,Straftaten insgesamt,15002000,Halle (Saale),"30,399","12,772","3,566",11.7,14,8,"14,573",47.9,"8,861","6,717","2,144","2,176",24.6,2017
------,Straftaten insgesamt,2000000,Hamburg,"224,292","12,389","18,601",8.3,213,129,"99,740",44.5,"69,660","53,356","16,304","31,784",45.6,2017
------,Straftaten insgesamt,5915000,Hamm,"14,866","8,279","1,057",7.1,14,3,"8,024",54.0,"6,162","4,756","1,406","2,351",38.2,2017
------,Straftaten insgesamt,3241001,Hannover,"77,886","14,616","5,625",7.2,74,52,"48,725",62.6,"30,229","22,851","7,378","13,225",43.7,2017
------,Straftaten insgesamt,8221000,Heidelberg,"16,346","10,222","1,149",7.0,4,6,"9,878",60.4,"7,088","5,499","1,589","3,766",53.1,2017
------,Straftaten insgesamt,8121000,Heilbronn,"8,439","6,818",355,4.2,3,4,"5,328",63.1,"4,127","3,163",964,"1,903",46.1,2017
------,Straftaten insgesamt,5916000,Herne,"13,197","8,418","1,131",8.6,10,6,"7,353",55.7,"5,089","3,872","1,217","1,688",33.2,2017
------,Straftaten insgesamt,3254021,Hildesheim,"9,269","9,115",767,8.3,15,13,"5,535",59.7,"3,845","2,799","1,046","1,058",27.5,2017
------,Straftaten insgesamt,9161000,Ingolstadt,"9,906","7,413",618,6.2,7,8,"6,640",67.0,"4,589","3,501","1,088","1,884",41.1,2017
