Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6 bis unter 14 Jahre - insgesamt;Opfer Kinder 6 bis unter 14 Jahre - maennlich;Opfer Kinder 6 bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich;Jahr
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;4520;2808;1712;48;21;27;323;150;173;371;171;200;351;224;127;327;204;123;3228;2073;1155;243;136;107;3471;2209;1262;2016
------;Straftaten insgesamt;2000000;Hamburg;insg.;35624;22356;13268;262;144;118;1919;1242;677;2181;1386;795;2694;1628;1066;2935;1892;1043;25930;16331;9599;1884;1119;765;27814;17450;10364;2016
------;Straftaten insgesamt;5915000;Hamm;insg.;2510;1458;1052;11;7;4;122;69;53;133;76;57;203;98;105;208;134;74;1835;1073;762;131;77;54;1966;1150;816;2016
------;Straftaten insgesamt;3241001;Hannover;insg.;12991;8431;4560;102;48;54;537;272;265;639;320;319;795;423;372;1190;765;425;9835;6606;3229;532;317;215;10367;6923;3444;2016
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2247;1527;720;16;11;5;81;45;36;97;56;41;130;80;50;233;177;56;1657;1137;520;130;77;53;1787;1214;573;2016
------;Straftaten insgesamt;8121000;Heilbronn;insg.;1468;884;584;10;7;3;49;21;28;59;28;31;129;75;54;160;101;59;1057;644;413;63;36;27;1120;680;440;2016
------;Straftaten insgesamt;5916000;Herne;insg.;2626;1411;1215;18;11;7;142;85;57;160;96;64;234;116;118;212;116;96;1865;1007;858;155;76;79;2020;1083;937;2016
------;Straftaten insgesamt;3254021;Hildesheim;insg.;2203;1263;940;19;10;9;108;50;58;127;60;67;176;89;87;211;109;102;1593;954;639;96;51;45;1689;1005;684;2016
------;Straftaten insgesamt;9161000;Ingolstadt;insg.;2288;1552;736;14;6;8;97;55;42;111;61;50;216;134;82;253;185;68;1600;1114;486;108;58;50;1708;1172;536;2016
------;Straftaten insgesamt;16053000;Jena;insg.;1447;948;499;23;13;10;75;45;30;98;58;40;95;54;41;104;71;33;1072;720;352;78;45;33;1150;765;385;2016
