Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,12052000,Cottbus,M,"2,310",0,4,7,23,50,84,72,91,163,195,442,122,115,237,270,631,349,205,176,"1,868",2021
------,Straftaten insgesamt,12052000,Cottbus,W,810,1,0,3,6,23,33,37,34,71,55,159,38,30,68,68,219,108,98,90,651,2021
------,Straftaten insgesamt,12052000,Cottbus,X,"3,120",1,4,10,29,73,117,109,125,234,250,601,160,145,305,338,850,457,303,266,"2,519",2021
------,Straftaten insgesamt,6411000,Darmstadt,M,"3,228",0,2,7,13,48,70,120,157,277,274,621,219,218,437,424,748,489,284,225,"2,607",2021
------,Straftaten insgesamt,6411000,Darmstadt,W,899,0,1,0,8,37,46,70,54,124,55,225,40,54,94,98,186,120,104,72,674,2021
------,Straftaten insgesamt,6411000,Darmstadt,X,"4,127",0,3,7,21,85,116,190,211,401,329,846,259,272,531,522,934,609,388,297,"3,281",2021
------,Straftaten insgesamt,5913000,Dortmund,M,"16,149",39,34,58,131,235,497,463,686,"1,149","1,363","3,009","1,023",978,"2,001","2,338","3,826","2,542","1,500",933,"13,140",2021
------,Straftaten insgesamt,5913000,Dortmund,W,"5,348",36,17,20,48,138,259,248,259,507,459,"1,225",315,268,583,645,"1,139",822,538,396,"4,123",2021
------,Straftaten insgesamt,5913000,Dortmund,X,"21,497",75,51,78,179,373,756,711,945,"1,656","1,822","4,234","1,338","1,246","2,584","2,983","4,965","3,364","2,038","1,329","17,263",2021
------,Straftaten insgesamt,14612000,Dresden,M,"10,986",39,10,51,58,146,304,352,509,861,"1,008","2,173",737,646,"1,383","1,421","2,896","1,595",908,610,"8,813",2021
------,Straftaten insgesamt,14612000,Dresden,W,"3,564",14,9,19,34,120,196,172,179,351,356,903,176,176,352,386,836,437,352,298,"2,661",2021
------,Straftaten insgesamt,14612000,Dresden,X,"14,550",53,19,70,92,266,500,524,688,"1,212","1,364","3,076",913,822,"1,735","1,807","3,732","2,032","1,260",908,"11,474",2021
------,Straftaten insgesamt,5112000,Duisburg,M,"13,180",6,19,46,102,234,407,392,533,925,"1,072","2,404",800,749,"1,549","1,718","3,203","2,184","1,338",784,"10,776",2021
------,Straftaten insgesamt,5112000,Duisburg,W,"4,449",1,7,25,40,143,216,216,224,440,338,994,234,226,460,505,"1,022",671,448,349,"3,455",2021
------,Straftaten insgesamt,5112000,Duisburg,X,"17,629",7,26,71,142,377,623,608,757,"1,365","1,410","3,398","1,034",975,"2,009","2,223","4,225","2,855","1,786","1,133","14,231",2021
------,Straftaten insgesamt,5111000,Düsseldorf,M,"16,705",39,20,27,66,200,352,413,749,"1,162","1,418","2,932","1,026",995,"2,021","2,357","3,929","2,678","1,741","1,047","13,773",2021
------,Straftaten insgesamt,5111000,Düsseldorf,W,"5,132",46,18,17,38,110,229,201,216,417,364,"1,010",260,213,473,608,"1,115",840,615,471,"4,122",2021
------,Straftaten insgesamt,5111000,Düsseldorf,X,"21,837",85,38,44,104,310,581,614,965,"1,579","1,782","3,942","1,286","1,208","2,494","2,965","5,044","3,518","2,356","1,518","17,895",2021
------,Straftaten insgesamt,16051000,Erfurt,M,"5,710",3,3,19,28,80,133,123,241,364,552,"1,049",407,372,779,756,"1,554",789,469,314,"4,661",2021
------,Straftaten insgesamt,16051000,Erfurt,W,"1,957",3,2,6,17,42,70,96,86,182,167,419,108,80,188,224,500,295,165,166,"1,538",2021
------,Straftaten insgesamt,16051000,Erfurt,X,"7,667",6,5,25,45,122,203,219,327,546,719,"1,468",515,452,967,980,"2,054","1,084",634,480,"6,199",2021
------,Straftaten insgesamt,9562000,Erlangen,M,"2,036",0,2,3,19,40,64,84,104,188,186,438,127,128,255,281,469,291,177,125,"1,598",2021
------,Straftaten insgesamt,9562000,Erlangen,W,596,0,0,3,4,20,27,47,36,83,54,164,35,34,69,66,111,70,67,49,432,2021
------,Straftaten insgesamt,9562000,Erlangen,X,"2,632",0,2,6,23,60,91,131,140,271,240,602,162,162,324,347,580,361,244,174,"2,030",2021
------,Straftaten insgesamt,5113000,Essen,M,"12,364",3,9,30,81,196,319,422,535,957,894,"2,170",698,719,"1,417","1,662","2,895","2,040","1,347",833,"10,194",2021
------,Straftaten insgesamt,5113000,Essen,W,"4,068",4,4,11,29,117,165,212,198,410,298,873,198,194,392,474,901,639,429,360,"3,195",2021
------,Straftaten insgesamt,5113000,Essen,X,"16,432",7,13,41,110,313,484,634,733,"1,367","1,192","3,043",896,913,"1,809","2,136","3,796","2,679","1,776","1,193","13,389",2021
------,Straftaten insgesamt,6412000,Frankfurt am Main,M,"29,936",196,96,102,91,266,751,588,"1,204","1,792","2,292","4,835","1,930","2,037","3,967","4,647","7,388","4,665","2,800","1,634","25,101",2021
------,Straftaten insgesamt,6412000,Frankfurt am Main,W,"11,439",228,64,60,84,159,595,294,409,703,759,"2,057",594,652,"1,246","1,566","2,469","1,726","1,323","1,052","9,382",2021
------,Straftaten insgesamt,6412000,Frankfurt am Main,X,"41,375",424,160,162,175,425,"1,346",882,"1,613","2,495","3,051","6,892","2,524","2,689","5,213","6,213","9,857","6,391","4,123","2,686","34,483",2021
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,M,"6,680",5,2,11,30,104,152,228,379,607,634,"1,393",512,475,987,"1,054","1,416",890,551,389,"5,287",2021
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,W,"2,062",2,0,4,13,67,86,137,144,281,188,555,119,125,244,274,389,240,206,154,"1,507",2021
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,X,"8,742",7,2,15,43,171,238,365,523,888,822,"1,948",631,600,"1,231","1,328","1,805","1,130",757,543,"6,794",2021
------,Straftaten insgesamt,9563000,Fürth,M,"2,071",1,1,9,16,32,59,85,100,185,206,450,144,110,254,265,469,301,203,129,"1,621",2021
------,Straftaten insgesamt,9563000,Fürth,W,751,0,0,1,6,35,42,31,45,76,50,168,37,38,75,73,150,117,103,65,583,2021
------,Straftaten insgesamt,9563000,Fürth,X,"2,822",1,1,10,22,67,101,116,145,261,256,618,181,148,329,338,619,418,306,194,"2,204",2021
------,Straftaten insgesamt,5513000,Gelsenkirchen,M,"6,389",2,11,25,66,150,254,244,295,539,493,"1,286",355,324,679,875,"1,495","1,033",648,373,"5,103",2021
------,Straftaten insgesamt,5513000,Gelsenkirchen,W,"2,166",1,0,7,25,80,113,118,80,198,167,478,103,103,206,269,468,338,255,152,"1,688",2021
------,Straftaten insgesamt,5513000,Gelsenkirchen,X,"8,555",3,11,32,91,230,367,362,375,737,660,"1,764",458,427,885,"1,144","1,963","1,371",903,525,"6,791",2021
------,Straftaten insgesamt,3159016,Göttingen,M,"3,428",1,2,10,17,39,69,98,139,237,306,612,268,248,516,481,776,461,326,256,"2,816",2021
------,Straftaten insgesamt,3159016,Göttingen,W,"1,121",1,0,2,11,36,50,60,63,123,89,262,52,57,109,141,217,146,133,113,859,2021
------,Straftaten insgesamt,3159016,Göttingen,X,"4,549",2,2,12,28,75,119,158,202,360,395,874,320,305,625,622,993,607,459,369,"3,675",2021
------,Straftaten insgesamt,5754008,Gütersloh,M,"2,205",0,0,1,8,30,39,71,101,172,212,423,147,134,281,277,535,351,203,135,"1,782",2021
------,Straftaten insgesamt,5754008,Gütersloh,W,615,0,0,1,6,20,27,21,39,60,59,146,31,21,52,58,127,110,72,50,469,2021
------,Straftaten insgesamt,5754008,Gütersloh,X,"2,820",0,0,2,14,50,66,92,140,232,271,569,178,155,333,335,662,461,275,185,"2,251",2021
------,Straftaten insgesamt,5914000,Hagen,M,"4,983",1,12,38,47,96,194,168,206,374,420,988,311,251,562,671,"1,210",758,519,275,"3,995",2021
------,Straftaten insgesamt,5914000,Hagen,W,"1,531",6,6,10,41,53,116,66,83,149,124,389,76,73,149,189,331,207,149,117,"1,142",2021
------,Straftaten insgesamt,5914000,Hagen,X,"6,514",7,18,48,88,149,310,234,289,523,544,"1,377",387,324,711,860,"1,541",965,668,392,"5,137",2021
------,Straftaten insgesamt,15002000,Halle (Saale),M,"6,388",0,21,38,72,132,263,241,306,547,548,"1,358",393,316,709,758,"1,681",926,591,365,"5,030",2021
------,Straftaten insgesamt,15002000,Halle (Saale),W,"2,070",0,6,9,22,76,113,79,100,179,185,477,95,90,185,212,527,278,184,207,"1,593",2021
------,Straftaten insgesamt,15002000,Halle (Saale),X,"8,458",0,27,47,94,208,376,320,406,726,733,"1,835",488,406,894,970,"2,208","1,204",775,572,"6,623",2021
------,Straftaten insgesamt,2000000,Hamburg,M,"45,156",76,83,184,351,763,"1,457","1,283","1,838","3,121","3,485","8,063","2,634","2,709","5,343","6,222","11,092","7,353","4,448","2,635","37,093",2021
------,Straftaten insgesamt,2000000,Hamburg,W,"13,388",68,28,55,136,404,691,705,644,"1,349",963,"3,003",639,589,"1,228","1,489","3,024","2,090","1,447","1,107","10,385",2021
------,Straftaten insgesamt,2000000,Hamburg,X,"58,544",144,111,239,487,"1,167","2,148","1,988","2,482","4,470","4,448","11,066","3,273","3,298","6,571","7,711","14,116","9,443","5,895","3,742","47,478",2021
------,Straftaten insgesamt,5915000,Hamm,M,"4,346",0,7,15,33,83,138,190,206,396,359,893,222,242,464,607,"1,007",711,406,258,"3,453",2021
------,Straftaten insgesamt,5915000,Hamm,W,"1,269",1,1,1,16,61,80,69,61,130,93,303,58,52,110,141,288,200,126,101,966,2021
------,Straftaten insgesamt,5915000,Hamm,X,"5,615",1,8,16,49,144,218,259,267,526,452,"1,196",280,294,574,748,"1,295",911,532,359,"4,419",2021
------,Straftaten insgesamt,3241001,Hannover,M,"18,680",8,19,48,91,239,405,457,714,"1,171","1,575","3,151","1,224","1,231","2,455","2,799","4,482","2,918","1,850","1,025","15,529",2021
------,Straftaten insgesamt,3241001,Hannover,W,"5,662",6,4,12,38,129,189,277,264,541,532,"1,262",352,290,642,665,"1,160",847,646,440,"4,400",2021
------,Straftaten insgesamt,3241001,Hannover,X,"24,342",14,23,60,129,368,594,734,978,"1,712","2,107","4,413","1,576","1,521","3,097","3,464","5,642","3,765","2,496","1,465","19,929",2021
------,Straftaten insgesamt,8221000,Heidelberg,M,"4,295",3,1,8,21,67,100,137,244,381,456,937,342,341,683,638,901,498,360,278,"3,358",2021
------,Straftaten insgesamt,8221000,Heidelberg,W,"1,252",1,0,2,16,42,61,72,64,136,99,296,82,62,144,145,245,152,140,130,956,2021
------,Straftaten insgesamt,8221000,Heidelberg,X,"5,547",4,1,10,37,109,161,209,308,517,555,"1,233",424,403,827,783,"1,146",650,500,408,"4,314",2021
------,Straftaten insgesamt,8121000,Heilbronn,M,"2,872",0,3,5,25,47,80,98,110,208,284,572,189,199,388,422,673,409,236,172,"2,300",2021
------,Straftaten insgesamt,8121000,Heilbronn,W,818,1,0,1,4,42,48,57,42,99,64,211,40,45,85,75,177,137,71,62,607,2021
------,Straftaten insgesamt,8121000,Heilbronn,X,"3,690",1,3,6,29,89,128,155,152,307,348,783,229,244,473,497,850,546,307,234,"2,907",2021
------,Straftaten insgesamt,5916000,Herne,M,"3,563",1,8,14,48,75,146,154,171,325,325,796,199,176,375,453,799,581,361,198,"2,767",2021
------,Straftaten insgesamt,5916000,Herne,W,"1,165",0,2,4,22,53,81,61,43,104,88,273,56,40,96,141,248,170,140,97,892,2021
------,Straftaten insgesamt,5916000,Herne,X,"4,728",1,10,18,70,128,227,215,214,429,413,"1,069",255,216,471,594,"1,047",751,501,295,"3,659",2021
------,Straftaten insgesamt,3254021,Hildesheim,M,"2,562",0,1,5,24,52,82,90,116,206,215,503,181,142,323,316,589,399,263,169,"2,059",2021
------,Straftaten insgesamt,3254021,Hildesheim,W,904,0,0,1,9,40,50,61,47,108,69,227,43,61,104,105,174,127,90,77,677,2021
------,Straftaten insgesamt,3254021,Hildesheim,X,"3,466",0,1,6,33,92,132,151,163,314,284,730,224,203,427,421,763,526,353,246,"2,736",2021
------,Straftaten insgesamt,9161000,Ingolstadt,M,"3,170",1,2,9,11,56,79,93,145,238,261,578,205,235,440,415,750,504,283,200,"2,592",2021
------,Straftaten insgesamt,9161000,Ingolstadt,W,"1,044",0,1,3,10,38,52,51,49,100,79,231,61,50,111,108,221,141,133,99,813,2021
------,Straftaten insgesamt,9161000,Ingolstadt,X,"4,214",1,3,12,21,94,131,144,194,338,340,809,266,285,551,523,971,645,416,299,"3,405",2021
------,Straftaten insgesamt,16053000,Jena,M,"1,930",1,1,8,15,41,66,97,120,217,211,494,133,107,240,208,470,219,154,145,"1,436",2021
------,Straftaten insgesamt,16053000,Jena,W,587,0,1,1,7,28,37,46,26,72,60,169,36,23,59,55,117,75,46,66,418,2021
------,Straftaten insgesamt,16053000,Jena,X,"2,517",1,2,9,22,69,103,143,146,289,271,663,169,130,299,263,587,294,200,211,"1,854",2021
------,Straftaten insgesamt,7312000,Kaiserslautern,M,"3,258",2,10,4,23,71,110,92,162,254,282,646,209,192,401,469,683,466,344,249,"2,612",2021
------,Straftaten insgesamt,7312000,Kaiserslautern,W,"1,182",0,0,5,11,46,62,78,63,141,90,293,55,60,115,141,223,164,134,112,889,2021
------,Straftaten insgesamt,7312000,Kaiserslautern,X,"4,440",2,10,9,34,117,172,170,225,395,372,939,264,252,516,610,906,630,478,361,"3,501",2021
------,Straftaten insgesamt,8212000,Karlsruhe,M,"8,191",1,5,9,29,75,119,228,467,695,776,"1,590",620,585,"1,205","1,272","1,863","1,097",720,444,"6,601",2021
------,Straftaten insgesamt,8212000,Karlsruhe,W,"2,524",2,3,5,18,67,95,123,133,256,208,559,152,133,285,301,500,384,286,209,"1,965",2021
------,Straftaten insgesamt,8212000,Karlsruhe,X,"10,715",3,8,14,47,142,214,351,600,951,984,"2,149",772,718,"1,490","1,573","2,363","1,481","1,006",653,"8,566",2021
------,Straftaten insgesamt,6611000,Kassel,M,"5,275",0,4,17,26,73,120,138,225,363,411,894,374,346,720,732,"1,289",800,500,340,"4,381",2021
------,Straftaten insgesamt,6611000,Kassel,W,"1,471",0,2,3,9,34,48,59,66,125,94,267,89,76,165,174,292,255,185,133,"1,204",2021
------,Straftaten insgesamt,6611000,Kassel,X,"6,746",0,6,20,35,107,168,197,291,488,505,"1,161",463,422,885,906,"1,581","1,055",685,473,"5,585",2021
------,Straftaten insgesamt,1002000,Kiel,M,"5,269",3,9,21,33,75,141,175,262,437,461,"1,039",339,307,646,761,"1,137",783,589,314,"4,230",2021
------,Straftaten insgesamt,1002000,Kiel,W,"1,582",2,5,13,20,62,102,100,70,170,113,385,69,80,149,183,331,229,183,122,"1,197",2021
------,Straftaten insgesamt,1002000,Kiel,X,"6,851",5,14,34,53,137,243,275,332,607,574,"1,424",408,387,795,944,"1,468","1,012",772,436,"5,427",2021
------,Straftaten insgesamt,7111000,Koblenz,M,"3,191",1,0,9,16,54,80,103,153,256,293,629,190,234,424,456,724,435,289,234,"2,562",2021
------,Straftaten insgesamt,7111000,Koblenz,W,"1,027",0,0,0,13,26,39,51,56,107,84,230,54,45,99,131,195,149,126,97,797,2021
------,Straftaten insgesamt,7111000,Koblenz,X,"4,218",1,0,9,29,80,119,154,209,363,377,859,244,279,523,587,919,584,415,331,"3,359",2021
------,Straftaten insgesamt,5315000,Köln,M,"29,095",8,16,75,139,324,562,786,"1,293","2,079","2,364","5,005","1,782","1,700","3,482","3,997","6,967","4,736","3,184","1,724","24,090",2021
------,Straftaten insgesamt,5315000,Köln,W,"9,572",6,9,22,60,248,345,463,469,932,766,"2,043",534,467,"1,001","1,118","2,112","1,479","1,017",802,"7,529",2021
------,Straftaten insgesamt,5315000,Köln,X,"38,667",14,25,97,199,572,907,"1,249","1,762","3,011","3,130","7,048","2,316","2,167","4,483","5,115","9,079","6,215","4,201","2,526","31,619",2021
------,Straftaten insgesamt,5114000,Krefeld,M,"5,641",2,8,18,53,118,199,173,250,423,448,"1,070",305,301,606,723,"1,349",937,592,364,"4,571",2021
------,Straftaten insgesamt,5114000,Krefeld,W,"2,055",1,4,6,21,71,103,103,88,191,157,451,118,91,209,267,482,291,209,146,"1,604",2021
------,Straftaten insgesamt,5114000,Krefeld,X,"7,696",3,12,24,74,189,302,276,338,614,605,"1,521",423,392,815,990,"1,831","1,228",801,510,"6,175",2021
------,Straftaten insgesamt,14713000,Leipzig,M,"14,070",109,43,54,74,168,448,328,537,865,"1,173","2,486",860,793,"1,653","1,911","4,004","2,157","1,168",691,"11,584",2021
------,Straftaten insgesamt,14713000,Leipzig,W,"4,820",101,36,30,53,92,312,167,212,379,360,"1,051",273,268,541,645,"1,196",658,387,342,"3,769",2021
------,Straftaten insgesamt,14713000,Leipzig,X,"18,890",210,79,84,127,260,760,495,749,"1,244","1,533","3,537","1,133","1,061","2,194","2,556","5,200","2,815","1,555","1,033","15,353",2021
------,Straftaten insgesamt,5316000,Leverkusen,M,"2,796",0,4,11,28,62,105,100,121,221,234,560,157,131,288,320,620,467,343,198,"2,236",2021
------,Straftaten insgesamt,5316000,Leverkusen,W,976,1,0,2,17,35,55,66,33,99,65,219,50,36,86,115,226,152,98,80,757,2021
------,Straftaten insgesamt,5316000,Leverkusen,X,"3,772",1,4,13,45,97,160,166,154,320,299,779,207,167,374,435,846,619,441,278,"2,993",2021
------,Straftaten insgesamt,1003000,Lübeck,M,"5,668",18,7,29,39,77,170,182,277,459,572,"1,201",385,321,706,680,"1,252",841,596,392,"4,467",2021
------,Straftaten insgesamt,1003000,Lübeck,W,"1,856",10,4,8,24,63,109,91,109,200,145,454,82,80,162,204,376,278,213,169,"1,402",2021
------,Straftaten insgesamt,1003000,Lübeck,X,"7,524",28,11,37,63,140,279,273,386,659,717,"1,655",467,401,868,884,"1,628","1,119",809,561,"5,869",2021
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,M,"4,841",1,8,24,52,99,184,179,202,381,353,918,270,274,544,662,"1,127",736,543,311,"3,923",2021
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,W,"1,679",2,1,8,20,44,75,75,71,146,133,354,91,80,171,197,396,267,168,126,"1,325",2021
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,X,"6,520",3,9,32,72,143,259,254,273,527,486,"1,272",361,354,715,859,"1,523","1,003",711,437,"5,248",2021
------,Straftaten insgesamt,15003000,Magdeburg,M,"6,698",121,43,38,62,139,403,224,292,516,554,"1,473",418,383,801,859,"1,734",919,546,366,"5,225",2021
------,Straftaten insgesamt,15003000,Magdeburg,W,"2,298",93,34,23,36,83,269,116,88,204,178,651,116,113,229,236,502,264,231,185,"1,647",2021
------,Straftaten insgesamt,15003000,Magdeburg,X,"8,996",214,77,61,98,222,672,340,380,720,732,"2,124",534,496,"1,030","1,095","2,236","1,183",777,551,"6,872",2021
------,Straftaten insgesamt,7315000,Mainz,M,"4,723",0,1,5,35,67,108,153,226,379,455,942,358,308,666,695,"1,044",627,455,294,"3,781",2021
------,Straftaten insgesamt,7315000,Mainz,W,"1,462",0,0,1,7,25,33,88,76,164,146,343,81,85,166,165,293,211,155,129,"1,119",2021
------,Straftaten insgesamt,7315000,Mainz,X,"6,185",0,1,6,42,92,141,241,302,543,601,"1,285",439,393,832,860,"1,337",838,610,423,"4,900",2021
------,Straftaten insgesamt,8222000,Mannheim,M,"8,423",0,3,23,46,117,189,230,360,590,763,"1,542",569,601,"1,170","1,291","1,981","1,223",778,438,"6,881",2021
------,Straftaten insgesamt,8222000,Mannheim,W,"2,509",0,0,4,19,56,79,122,131,253,234,566,140,138,278,306,529,401,243,186,"1,943",2021
------,Straftaten insgesamt,8222000,Mannheim,X,"10,932",0,3,27,65,173,268,352,491,843,997,"2,108",709,739,"1,448","1,597","2,510","1,624","1,021",624,"8,824",2021
------,Straftaten insgesamt,5170024,Moers,M,"1,657",0,0,7,12,54,73,56,72,128,117,318,88,75,163,195,370,295,183,133,"1,339",2021
------,Straftaten insgesamt,5170024,Moers,W,516,0,0,5,6,22,33,30,21,51,38,122,18,22,40,55,105,95,53,46,394,2021
------,Straftaten insgesamt,5170024,Moers,X,"2,173",0,0,12,18,76,106,86,93,179,155,440,106,97,203,250,475,390,236,179,"1,733",2021
------,Straftaten insgesamt,5116000,Mönchengladbach,M,"6,452",6,5,10,31,101,153,204,287,491,556,"1,200",376,400,776,879,"1,557",991,633,416,"5,252",2021
------,Straftaten insgesamt,5116000,Mönchengladbach,W,"2,149",2,1,7,15,51,76,89,80,169,179,424,132,105,237,262,478,339,257,152,"1,725",2021
------,Straftaten insgesamt,5116000,Mönchengladbach,X,"8,601",8,6,17,46,152,229,293,367,660,735,"1,624",508,505,"1,013","1,141","2,035","1,330",890,568,"6,977",2021
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,M,"2,976",1,3,6,33,43,86,94,139,233,249,568,159,140,299,333,680,489,350,257,"2,408",2021
