Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,5334002,Aachen,M,"7,797",16,6,16,16,50,104,227,413,640,750,"1,494",555,545,"1,100","1,241","1,737","1,098",684,443,"6,303",2021
------,Straftaten insgesamt,5334002,Aachen,W,"2,275",20,2,7,16,51,96,134,166,300,248,644,104,98,202,253,432,336,235,173,"1,631",2021
------,Straftaten insgesamt,5334002,Aachen,X,"10,072",36,8,23,32,101,200,361,579,940,998,"2,138",659,643,"1,302","1,494","2,169","1,434",919,616,"7,934",2021
------,Straftaten insgesamt,9761000,Augsburg,M,"6,978",5,10,16,46,140,217,266,343,609,711,"1,537",509,476,985,907,"1,500",972,641,436,"5,441",2021
------,Straftaten insgesamt,9761000,Augsburg,W,"2,278",2,2,8,22,83,117,105,115,220,171,508,112,109,221,233,484,350,248,234,"1,770",2021
------,Straftaten insgesamt,9761000,Augsburg,X,"9,256",7,12,24,68,223,334,371,458,829,882,"2,045",621,585,"1,206","1,140","1,984","1,322",889,670,"7,211",2021
------,Straftaten insgesamt,5378004,Bergisch Gladbach,M,"1,811",2,3,2,12,23,42,77,78,155,138,335,79,90,169,190,374,319,252,172,"1,476",2021
------,Straftaten insgesamt,5378004,Bergisch Gladbach,W,630,0,1,2,4,21,28,33,32,65,36,129,28,30,58,48,142,85,88,80,501,2021
------,Straftaten insgesamt,5378004,Bergisch Gladbach,X,"2,441",2,4,4,16,44,70,110,110,220,174,464,107,120,227,238,516,404,340,252,"1,977",2021
------,Straftaten insgesamt,11000000,Berlin,M,"94,562",27,114,304,716,"1,429","2,590","2,589","3,414","6,003","6,439","15,032","5,052","5,023","10,075","12,800","24,201","15,781","10,438","6,235","79,530",2021
------,Straftaten insgesamt,11000000,Berlin,W,"31,806",13,22,89,218,804,"1,146","1,272","1,093","2,365","2,098","5,609","1,531","1,507","3,038","3,755","7,712","5,140","3,702","2,850","26,197",2021
------,Straftaten insgesamt,11000000,Berlin,X,"126,368",40,136,393,934,"2,233","3,736","3,861","4,507","8,368","8,537","20,641","6,583","6,530","13,113","16,555","31,913","20,921","14,140","9,085","105,727",2021
------,Straftaten insgesamt,5711000,Bielefeld,M,"6,619",12,5,14,48,137,216,209,322,531,538,"1,285",397,377,774,938,"1,516","1,063",672,371,"5,334",2021
------,Straftaten insgesamt,5711000,Bielefeld,W,"1,974",9,6,6,14,53,88,112,109,221,164,473,99,107,206,233,433,307,179,143,"1,501",2021
------,Straftaten insgesamt,5711000,Bielefeld,X,"8,593",21,11,20,62,190,304,321,431,752,702,"1,758",496,484,980,"1,171","1,949","1,370",851,514,"6,835",2021
------,Straftaten insgesamt,5911000,Bochum,M,"7,681",1,11,26,43,132,213,265,355,620,669,"1,502",444,420,864,"1,082","1,827","1,125",809,472,"6,179",2021
------,Straftaten insgesamt,5911000,Bochum,W,"2,413",4,4,7,19,49,83,126,129,255,186,524,113,139,252,282,513,333,289,220,"1,889",2021
------,Straftaten insgesamt,5911000,Bochum,X,"10,094",5,15,33,62,181,296,391,484,875,855,"2,026",557,559,"1,116","1,364","2,340","1,458","1,098",692,"8,068",2021
------,Straftaten insgesamt,5314000,Bonn,M,"7,278",5,12,14,26,105,162,258,401,659,600,"1,421",421,399,820,944,"1,658","1,155",785,495,"5,857",2021
------,Straftaten insgesamt,5314000,Bonn,W,"2,281",3,1,4,9,54,71,113,146,259,168,498,119,124,243,240,424,378,297,201,"1,783",2021
------,Straftaten insgesamt,5314000,Bonn,X,"9,559",8,13,18,35,159,233,371,547,918,768,"1,919",540,523,"1,063","1,184","2,082","1,533","1,082",696,"7,640",2021
------,Straftaten insgesamt,5512000,Bottrop,M,"2,073",1,1,11,23,64,100,82,82,164,159,423,108,105,213,226,501,338,229,143,"1,650",2021
------,Straftaten insgesamt,5512000,Bottrop,W,756,0,0,2,9,36,47,28,38,66,63,176,23,38,61,85,172,116,83,63,580,2021
------,Straftaten insgesamt,5512000,Bottrop,X,"2,829",1,1,13,32,100,147,110,120,230,222,599,131,143,274,311,673,454,312,206,"2,230",2021
------,Straftaten insgesamt,3101000,Braunschweig,M,"6,033",1,7,24,32,85,149,179,284,463,571,"1,183",443,376,819,807,"1,350",873,587,414,"4,850",2021
------,Straftaten insgesamt,3101000,Braunschweig,W,"1,896",0,0,3,20,63,86,103,123,226,159,471,112,121,233,209,337,279,221,146,"1,425",2021
------,Straftaten insgesamt,3101000,Braunschweig,X,"7,929",1,7,27,52,148,235,282,407,689,730,"1,654",555,497,"1,052","1,016","1,687","1,152",808,560,"6,275",2021
------,Straftaten insgesamt,4011000,Bremen,M,"14,587",14,18,42,92,148,314,459,859,"1,318","1,239","2,871","1,022",899,"1,921","1,959","3,525","2,195","1,401",715,"11,716",2021
------,Straftaten insgesamt,4011000,Bremen,W,"4,168",7,6,17,40,126,196,189,192,381,343,920,212,221,433,486,964,642,398,325,"3,248",2021
------,Straftaten insgesamt,4011000,Bremen,X,"18,755",21,24,59,132,274,510,648,"1,051","1,699","1,582","3,791","1,234","1,120","2,354","2,445","4,489","2,837","1,799","1,040","14,964",2021
------,Straftaten insgesamt,4012000,Bremerhaven,M,"3,012",5,8,16,36,50,115,102,146,248,244,607,150,149,299,366,730,509,329,172,"2,405",2021
------,Straftaten insgesamt,4012000,Bremerhaven,W,912,1,0,5,16,31,53,44,42,86,83,222,44,36,80,109,218,127,96,60,690,2021
------,Straftaten insgesamt,4012000,Bremerhaven,X,"3,924",6,8,21,52,81,168,146,188,334,327,829,194,185,379,475,948,636,425,232,"3,095",2021
------,Straftaten insgesamt,14511000,Chemnitz,M,"6,020",68,28,38,60,73,267,150,195,345,517,"1,129",413,371,784,805,"1,567",884,502,349,"4,891",2021
------,Straftaten insgesamt,14511000,Chemnitz,W,"2,060",85,25,21,40,53,224,72,87,159,143,526,94,85,179,225,487,269,189,185,"1,534",2021
------,Straftaten insgesamt,14511000,Chemnitz,X,"8,080",153,53,59,100,126,491,222,282,504,660,"1,655",507,456,963,"1,030","2,054","1,153",691,534,"6,425",2021
