Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,14713000,Leipzig,X,"21,825",233,79,116,184,329,941,648,806,"1,454","1,682","4,077","1,226","1,352","2,578","3,732","5,689","2,822","1,715","1,212","17,748",2017
------,Straftaten insgesamt,5316000,Leverkusen,M,"3,690",1,6,17,32,87,143,163,177,340,343,826,208,226,434,493,774,560,365,238,"2,864",2017
------,Straftaten insgesamt,5316000,Leverkusen,W,"1,179",2,5,7,6,35,55,70,64,134,100,289,57,72,129,154,247,152,124,84,890,2017
------,Straftaten insgesamt,5316000,Leverkusen,X,"4,869",3,11,24,38,122,198,233,241,474,443,"1,115",265,298,563,647,"1,021",712,489,322,"3,754",2017
------,Straftaten insgesamt,1003000,Lübeck,M,"6,336",3,2,23,35,91,154,231,332,563,587,"1,304",412,371,783,892,"1,311",926,702,418,"5,032",2017
------,Straftaten insgesamt,1003000,Lübeck,W,"2,069",1,1,0,16,43,61,111,116,227,154,442,103,104,207,262,407,299,233,219,"1,627",2017
------,Straftaten insgesamt,1003000,Lübeck,X,"8,405",4,3,23,51,134,215,342,448,790,741,"1,746",515,475,990,"1,154","1,718","1,225",935,637,"6,659",2017
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,M,"5,574",1,16,36,62,129,244,177,258,435,480,"1,159",359,323,682,778,"1,208",837,586,324,"4,415",2017
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,W,"2,037",0,2,7,10,51,70,106,82,188,161,419,131,121,252,275,430,306,215,140,"1,618",2017
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,X,"7,611",1,18,43,72,180,314,283,340,623,641,"1,578",490,444,934,"1,053","1,638","1,143",801,464,"6,033",2017
------,Straftaten insgesamt,15003000,Magdeburg,M,"6,392",1,4,31,63,116,215,220,311,531,592,"1,338",368,343,711,968,"1,553",898,566,358,"5,054",2017
------,Straftaten insgesamt,15003000,Magdeburg,W,"2,098",0,4,5,15,75,99,125,99,224,163,486,109,114,223,281,412,281,222,193,"1,612",2017
------,Straftaten insgesamt,15003000,Magdeburg,X,"8,490",1,8,36,78,191,314,345,410,755,755,"1,824",477,457,934,"1,249","1,965","1,179",788,551,"6,666",2017
------,Straftaten insgesamt,7315000,Mainz,M,"6,097",0,10,11,22,62,105,160,351,511,825,"1,441",427,428,855,917,"1,275",826,469,314,"4,656",2017
------,Straftaten insgesamt,7315000,Mainz,W,"1,829",0,0,2,6,30,38,115,115,230,221,489,113,116,229,233,303,246,187,142,"1,340",2017
------,Straftaten insgesamt,7315000,Mainz,X,"7,926",0,10,13,28,92,143,275,466,741,"1,046","1,930",540,544,"1,084","1,150","1,578","1,072",656,456,"5,996",2017
------,Straftaten insgesamt,8222000,Mannheim,M,"11,151",7,5,20,69,140,241,364,589,953,"1,331","2,525",896,799,"1,695","1,843","2,246","1,480",826,536,"8,626",2017
------,Straftaten insgesamt,8222000,Mannheim,W,"3,237",2,3,10,31,55,101,182,202,384,288,773,205,199,404,483,621,481,274,201,"2,464",2017
------,Straftaten insgesamt,8222000,Mannheim,X,"14,388",9,8,30,100,195,342,546,791,"1,337","1,619","3,298","1,101",998,"2,099","2,326","2,867","1,961","1,100",737,"11,090",2017
------,Straftaten insgesamt,5170024,Moers,M,"2,026",1,1,7,9,46,64,95,132,227,183,474,122,124,246,265,437,306,184,114,"1,552",2017
------,Straftaten insgesamt,5170024,Moers,W,636,0,1,7,8,12,28,39,39,78,40,146,35,27,62,80,142,93,77,36,490,2017
------,Straftaten insgesamt,5170024,Moers,X,"2,662",1,2,14,17,58,92,134,171,305,223,620,157,151,308,345,579,399,261,150,"2,042",2017
------,Straftaten insgesamt,5116000,Mönchengladbach,M,"6,160",1,3,11,38,91,144,227,320,547,609,"1,300",404,381,785,988,"1,384",859,568,276,"4,860",2017
------,Straftaten insgesamt,5116000,Mönchengladbach,W,"2,172",1,4,4,14,56,79,154,173,327,213,619,129,95,224,267,422,318,186,136,"1,553",2017
------,Straftaten insgesamt,5116000,Mönchengladbach,X,"8,332",2,7,15,52,147,223,381,493,874,822,"1,919",533,476,"1,009","1,255","1,806","1,177",754,412,"6,413",2017
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,M,"3,705",2,4,10,30,57,103,133,188,321,344,768,256,246,502,507,757,577,362,232,"2,937",2017
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,W,"1,240",0,0,0,14,22,36,51,51,102,110,248,66,83,149,146,250,197,148,102,992,2017
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,X,"4,945",2,4,10,44,79,139,184,239,423,454,"1,016",322,329,651,653,"1,007",774,510,334,"3,929",2017
------,Straftaten insgesamt,9162000,München,M,"37,119",6,17,52,131,323,529,937,"1,947","2,884","4,597","8,010","2,935","2,603","5,538","5,863","7,883","4,876","3,031","1,918","29,109",2017
