Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,5334002,Aachen,M,"9,336",20,7,8,29,94,158,298,653,951,"1,177","2,286",686,661,"1,347","1,444","1,955","1,183",719,402,"7,050",2017
------,Straftaten insgesamt,5334002,Aachen,W,"2,438",21,5,2,12,26,66,153,185,338,242,646,139,123,262,350,439,340,244,157,"1,792",2017
------,Straftaten insgesamt,5334002,Aachen,X,"11,774",41,12,10,41,120,224,451,838,"1,289","1,419","2,932",825,784,"1,609","1,794","2,394","1,523",963,559,"8,842",2017
------,Straftaten insgesamt,9761000,Augsburg,M,"7,789",0,13,42,65,121,241,222,416,638,858,"1,737",590,532,"1,122","1,120","1,550","1,104",669,487,"6,052",2017
------,Straftaten insgesamt,9761000,Augsburg,W,"2,445",2,2,12,15,46,77,124,146,270,216,563,135,129,264,331,497,367,234,189,"1,882",2017
------,Straftaten insgesamt,9761000,Augsburg,X,"10,234",2,15,54,80,167,318,346,562,908,"1,074","2,300",725,661,"1,386","1,451","2,047","1,471",903,676,"7,934",2017
------,Straftaten insgesamt,5378004,Bergisch Gladbach,M,"1,972",0,0,3,12,41,56,91,125,216,178,450,120,97,217,249,408,300,207,141,"1,522",2017
------,Straftaten insgesamt,5378004,Bergisch Gladbach,W,630,0,1,2,3,21,27,26,28,54,47,128,24,15,39,78,136,103,89,57,502,2017
------,Straftaten insgesamt,5378004,Bergisch Gladbach,X,"2,602",0,1,5,15,62,83,117,153,270,225,578,144,112,256,327,544,403,296,198,"2,024",2017
------,Straftaten insgesamt,11000000,Berlin,M,"102,357",145,180,456,849,"1,520","3,150","3,045","4,207","7,252","7,882","18,284","5,643","5,704","11,347","15,110","24,843","16,244","10,603","5,926","84,073",2017
------,Straftaten insgesamt,11000000,Berlin,W,"35,679",105,58,142,289,821,"1,415","1,571","1,651","3,222","2,477","7,114","1,798","1,830","3,628","5,072","8,017","5,270","3,829","2,749","28,565",2017
------,Straftaten insgesamt,11000000,Berlin,X,"138,036",250,238,598,"1,138","2,341","4,565","4,616","5,858","10,474","10,359","25,398","7,441","7,534","14,975","20,182","32,860","21,514","14,432","8,675","112,638",2017
------,Straftaten insgesamt,5711000,Bielefeld,M,"8,227",5,3,15,42,105,170,232,442,674,835,"1,679",554,578,"1,132","1,341","1,905","1,148",650,372,"6,548",2017
------,Straftaten insgesamt,5711000,Bielefeld,W,"2,444",2,0,4,21,46,73,127,143,270,229,572,130,144,274,340,513,357,221,167,"1,872",2017
------,Straftaten insgesamt,5711000,Bielefeld,X,"10,671",7,3,19,63,151,243,359,585,944,"1,064","2,251",684,722,"1,406","1,681","2,418","1,505",871,539,"8,420",2017
------,Straftaten insgesamt,5911000,Bochum,M,"9,326",0,9,27,66,150,252,281,497,778,980,"2,010",664,630,"1,294","1,439","1,912","1,306",855,510,"7,316",2017
------,Straftaten insgesamt,5911000,Bochum,W,"2,978",1,4,6,27,56,94,128,155,283,288,665,187,171,358,400,569,421,321,244,"2,313",2017
------,Straftaten insgesamt,5911000,Bochum,X,"12,304",1,13,33,93,206,346,409,652,"1,061","1,268","2,675",851,801,"1,652","1,839","2,481","1,727","1,176",754,"9,629",2017
------,Straftaten insgesamt,5314000,Bonn,M,"8,299",3,1,15,52,132,203,292,476,768,897,"1,868",514,555,"1,069","1,181","1,751","1,211",762,457,"6,431",2017
------,Straftaten insgesamt,5314000,Bonn,W,"2,408",0,0,7,12,37,56,113,155,268,215,539,114,121,235,321,462,393,253,205,"1,869",2017
------,Straftaten insgesamt,5314000,Bonn,X,"10,707",3,1,22,64,169,259,405,631,"1,036","1,112","2,407",628,676,"1,304","1,502","2,213","1,604","1,015",662,"8,300",2017
------,Straftaten insgesamt,5512000,Bottrop,M,"2,368",0,3,9,16,33,61,90,144,234,230,525,135,152,287,350,493,369,242,102,"1,843",2017
------,Straftaten insgesamt,5512000,Bottrop,W,736,0,0,2,7,26,35,42,23,65,63,163,38,42,80,96,135,97,104,61,573,2017
------,Straftaten insgesamt,5512000,Bottrop,X,"3,104",0,3,11,23,59,96,132,167,299,293,688,173,194,367,446,628,466,346,163,"2,416",2017
------,Straftaten insgesamt,3101000,Braunschweig,M,"7,120",2,10,19,37,85,153,227,319,546,815,"1,514",510,486,996,"1,231","1,503",906,602,368,"5,606",2017
------,Straftaten insgesamt,3101000,Braunschweig,W,"2,134",3,4,8,23,62,100,116,121,237,182,519,128,135,263,245,389,307,232,179,"1,615",2017
------,Straftaten insgesamt,3101000,Braunschweig,X,"9,254",5,14,27,60,147,253,343,440,783,997,"2,033",638,621,"1,259","1,476","1,892","1,213",834,547,"7,221",2017
------,Straftaten insgesamt,4011000,Bremen,M,"16,299",11,16,27,95,190,339,527,"1,149","1,676","1,791","3,806","1,103",989,"2,092","2,430","3,484","2,322","1,347",818,"12,493",2017
------,Straftaten insgesamt,4011000,Bremen,W,"4,632",10,3,9,28,92,142,216,278,494,402,"1,038",258,239,497,630,"1,005",707,427,328,"3,594",2017
------,Straftaten insgesamt,4011000,Bremen,X,"20,931",21,19,36,123,282,481,743,"1,427","2,170","2,193","4,844","1,361","1,228","2,589","3,060","4,489","3,029","1,774","1,146","16,087",2017
------,Straftaten insgesamt,4012000,Bremerhaven,M,"3,675",3,6,24,38,76,147,108,165,273,347,767,264,232,496,531,869,516,327,169,"2,908",2017
------,Straftaten insgesamt,4012000,Bremerhaven,W,"1,214",0,2,4,12,26,44,85,53,138,98,280,76,56,132,174,248,181,128,71,934,2017
------,Straftaten insgesamt,4012000,Bremerhaven,X,"4,889",3,8,28,50,102,191,193,218,411,445,"1,047",340,288,628,705,"1,117",697,455,240,"3,842",2017
------,Straftaten insgesamt,14511000,Chemnitz,M,"6,912",117,52,51,72,106,398,196,317,513,653,"1,564",449,402,851,"1,119","1,627",877,539,335,"5,348",2017
------,Straftaten insgesamt,14511000,Chemnitz,W,"2,541",120,38,32,37,60,287,125,104,229,177,693,98,101,199,328,593,307,225,196,"1,848",2017
------,Straftaten insgesamt,14511000,Chemnitz,X,"9,453",237,90,83,109,166,685,321,421,742,830,"2,257",547,503,"1,050","1,447","2,220","1,184",764,531,"7,196",2017
------,Straftaten insgesamt,12052000,Cottbus,M,"2,340",1,2,11,18,43,75,70,125,195,220,490,127,139,266,334,623,262,224,141,"1,850",2017
------,Straftaten insgesamt,12052000,Cottbus,W,659,0,1,2,5,10,18,36,34,70,57,145,22,19,41,90,155,89,71,68,514,2017
------,Straftaten insgesamt,12052000,Cottbus,X,"2,999",1,3,13,23,53,93,106,159,265,277,635,149,158,307,424,778,351,295,209,"2,364",2017
------,Straftaten insgesamt,6411000,Darmstadt,M,"4,122",0,1,5,15,60,81,121,229,350,446,877,295,261,556,647,893,572,363,214,"3,245",2017
------,Straftaten insgesamt,6411000,Darmstadt,W,"1,316",0,0,5,3,24,32,68,77,145,121,298,104,73,177,161,282,184,125,89,"1,018",2017
------,Straftaten insgesamt,6411000,Darmstadt,X,"5,438",0,1,10,18,84,113,189,306,495,567,"1,175",399,334,733,808,"1,175",756,488,303,"4,263",2017
------,Straftaten insgesamt,5913000,Dortmund,M,"20,222",7,15,69,138,313,542,663,"1,126","1,789","2,159","4,490","1,483","1,451","2,934","3,109","4,371","2,850","1,582",886,"15,732",2017
------,Straftaten insgesamt,5913000,Dortmund,W,"5,771",6,5,23,58,148,240,318,359,677,540,"1,457",342,336,678,814,"1,181",817,506,318,"4,314",2017
------,Straftaten insgesamt,5913000,Dortmund,X,"25,993",13,20,92,196,461,782,981,"1,485","2,466","2,699","5,947","1,825","1,787","3,612","3,923","5,552","3,667","2,088","1,204","20,046",2017
------,Straftaten insgesamt,14612000,Dresden,M,"13,530",51,22,42,74,169,358,314,539,853,"1,149","2,360",797,806,"1,603","2,233","3,621","1,843","1,122",748,"11,170",2017
------,Straftaten insgesamt,14612000,Dresden,W,"4,564",48,19,22,30,115,234,211,202,413,352,999,202,229,431,668,"1,068",571,404,423,"3,565",2017
------,Straftaten insgesamt,14612000,Dresden,X,"18,094",99,41,64,104,284,592,525,741,"1,266","1,501","3,359",999,"1,035","2,034","2,901","4,689","2,414","1,526","1,171","14,735",2017
------,Straftaten insgesamt,5112000,Duisburg,M,"13,666",7,20,66,125,281,499,498,621,"1,119","1,286","2,904",845,803,"1,648","2,123","3,013","2,118","1,200",660,"10,762",2017
------,Straftaten insgesamt,5112000,Duisburg,W,"4,634",5,10,20,61,147,243,273,253,526,399,"1,168",253,257,510,641,963,663,403,286,"3,466",2017
------,Straftaten insgesamt,5112000,Duisburg,X,"18,300",12,30,86,186,428,742,771,874,"1,645","1,685","4,072","1,098","1,060","2,158","2,764","3,976","2,781","1,603",946,"14,228",2017
------,Straftaten insgesamt,5111000,Düsseldorf,M,"19,885",114,47,74,115,232,582,519,971,"1,490","2,050","4,122","1,369","1,310","2,679","3,147","4,379","2,920","1,679",959,"15,763",2017
------,Straftaten insgesamt,5111000,Düsseldorf,W,"6,834",116,34,37,64,135,386,323,369,692,578,"1,656",365,370,735,854,"1,365",960,685,579,"5,178",2017
------,Straftaten insgesamt,5111000,Düsseldorf,X,"26,719",230,81,111,179,367,968,842,"1,340","2,182","2,628","5,778","1,734","1,680","3,414","4,001","5,744","3,880","2,364","1,538","20,941",2017
------,Straftaten insgesamt,16051000,Erfurt,M,"6,486",6,18,35,67,90,216,192,363,555,640,"1,411",391,351,742,"1,061","1,588",824,564,296,"5,075",2017
------,Straftaten insgesamt,16051000,Erfurt,W,"2,365",4,1,15,14,37,71,120,122,242,206,519,122,141,263,355,551,287,209,181,"1,846",2017
------,Straftaten insgesamt,16051000,Erfurt,X,"8,851",10,19,50,81,127,287,312,485,797,846,"1,930",513,492,"1,005","1,416","2,139","1,111",773,477,"6,921",2017
------,Straftaten insgesamt,9562000,Erlangen,M,"2,340",3,3,13,20,43,82,89,129,218,265,565,169,154,323,346,472,311,197,126,"1,775",2017
------,Straftaten insgesamt,9562000,Erlangen,W,741,1,1,0,5,22,29,45,52,97,69,195,38,45,83,103,131,92,77,60,546,2017
------,Straftaten insgesamt,9562000,Erlangen,X,"3,081",4,4,13,25,65,111,134,181,315,334,760,207,199,406,449,603,403,274,186,"2,321",2017
------,Straftaten insgesamt,5113000,Essen,M,"16,394",3,9,39,104,235,390,508,815,"1,323","1,730","3,443","1,108","1,097","2,205","2,626","3,595","2,338","1,388",799,"12,951",2017
------,Straftaten insgesamt,5113000,Essen,W,"5,524",0,3,11,52,126,192,343,323,666,566,"1,424",363,314,677,764,"1,077",709,512,361,"4,100",2017
------,Straftaten insgesamt,5113000,Essen,X,"21,918",3,12,50,156,361,582,851,"1,138","1,989","2,296","4,867","1,471","1,411","2,882","3,390","4,672","3,047","1,900","1,160","17,051",2017
------,Straftaten insgesamt,6412000,Frankfurt am Main,M,"34,236",180,56,80,125,263,704,824,"1,570","2,394","3,126","6,224","2,252","2,223","4,475","5,412","8,323","5,221","2,765","1,816","28,012",2017
------,Straftaten insgesamt,6412000,Frankfurt am Main,W,"12,860",150,52,44,79,153,478,367,526,893,933,"2,304",713,736,"1,449","1,764","2,747","1,905","1,394","1,297","10,556",2017
------,Straftaten insgesamt,6412000,Frankfurt am Main,X,"47,096",330,108,124,204,416,"1,182","1,191","2,096","3,287","4,059","8,528","2,965","2,959","5,924","7,176","11,070","7,126","4,159","3,113","38,568",2017
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,M,"9,039",11,11,26,48,124,220,320,729,"1,049","1,354","2,623",773,611,"1,384","1,348","1,727",992,621,344,"6,416",2017
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,W,"2,682",11,5,4,18,56,94,157,206,363,314,771,201,173,374,359,497,281,229,171,"1,911",2017
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,X,"11,721",22,16,30,66,180,314,477,935,"1,412","1,668","3,394",974,784,"1,758","1,707","2,224","1,273",850,515,"8,327",2017
------,Straftaten insgesamt,9563000,Fürth,M,"2,477",1,3,11,20,42,77,70,116,186,261,524,159,157,316,350,535,379,238,135,"1,953",2017
------,Straftaten insgesamt,9563000,Fürth,W,783,0,1,1,6,18,26,31,35,66,58,150,45,44,89,117,167,126,79,55,633,2017
------,Straftaten insgesamt,9563000,Fürth,X,"3,260",1,4,12,26,60,103,101,151,252,319,674,204,201,405,467,702,505,317,190,"2,586",2017
------,Straftaten insgesamt,5513000,Gelsenkirchen,M,"7,059",5,11,45,75,184,320,262,311,573,602,"1,495",414,403,817,"1,036","1,551","1,167",635,358,"5,564",2017
------,Straftaten insgesamt,5513000,Gelsenkirchen,W,"2,443",1,3,9,27,80,120,155,156,311,177,608,112,126,238,276,563,364,229,165,"1,835",2017
------,Straftaten insgesamt,5513000,Gelsenkirchen,X,"9,502",6,14,54,102,264,440,417,467,884,779,"2,103",526,529,"1,055","1,312","2,114","1,531",864,523,"7,399",2017
------,Straftaten insgesamt,3159016,Göttingen,M,"3,768",1,4,8,23,69,105,134,221,355,454,914,268,266,534,592,726,478,338,186,"2,854",2017
------,Straftaten insgesamt,3159016,Göttingen,W,"1,253",4,3,10,10,38,65,66,87,153,115,333,72,72,144,147,249,157,126,97,920,2017
------,Straftaten insgesamt,3159016,Göttingen,X,"5,021",5,7,18,33,107,170,200,308,508,569,"1,247",340,338,678,739,975,635,464,283,"3,774",2017
------,Straftaten insgesamt,5914000,Hagen,M,"5,108",1,10,38,61,100,210,213,283,496,513,"1,219",345,308,653,717,"1,053",725,454,287,"3,889",2017
------,Straftaten insgesamt,5914000,Hagen,W,"1,552",2,2,15,22,67,108,102,103,205,140,453,77,76,153,214,260,203,159,110,"1,099",2017
------,Straftaten insgesamt,5914000,Hagen,X,"6,660",3,12,53,83,167,318,315,386,701,653,"1,672",422,384,806,931,"1,313",928,613,397,"4,988",2017
------,Straftaten insgesamt,15002000,Halle (Saale),M,"6,717",2,17,30,75,119,243,208,297,505,480,"1,228",350,325,675,"1,022","1,814",982,579,417,"5,489",2017
------,Straftaten insgesamt,15002000,Halle (Saale),W,"2,144",1,9,15,32,66,123,66,80,146,157,426,80,122,202,318,515,300,194,189,"1,718",2017
------,Straftaten insgesamt,15002000,Halle (Saale),X,"8,861",3,26,45,107,185,366,274,377,651,637,"1,654",430,447,877,"1,340","2,329","1,282",773,606,"7,207",2017
------,Straftaten insgesamt,2000000,Hamburg,M,"53,356",146,109,218,425,855,"1,753","1,582","2,472","4,054","5,173","10,980","3,384","3,153","6,537","7,818","12,307","8,039","4,825","2,850","42,376",2017
------,Straftaten insgesamt,2000000,Hamburg,W,"16,304",126,60,69,142,373,770,841,861,"1,702","1,266","3,738",809,866,"1,675","2,065","3,453","2,482","1,612","1,279","12,566",2017
------,Straftaten insgesamt,2000000,Hamburg,X,"69,660",272,169,287,567,"1,228","2,523","2,423","3,333","5,756","6,439","14,718","4,193","4,019","8,212","9,883","15,760","10,521","6,437","4,129","54,942",2017
------,Straftaten insgesamt,5915000,Hamm,M,"4,756",1,1,14,41,88,145,185,279,464,448,"1,057",311,329,640,714,"1,063",700,369,213,"3,699",2017
------,Straftaten insgesamt,5915000,Hamm,W,"1,406",0,1,5,12,38,56,78,87,165,112,333,89,75,164,190,292,205,128,94,"1,073",2017
------,Straftaten insgesamt,5915000,Hamm,X,"6,162",1,2,19,53,126,201,263,366,629,560,"1,390",400,404,804,904,"1,355",905,497,307,"4,772",2017
------,Straftaten insgesamt,3241001,Hannover,M,"22,851",133,62,81,152,247,675,589,997,"1,586","2,324","4,585","1,699","1,619","3,318","3,590","5,266","3,187","1,863","1,042","18,266",2017
------,Straftaten insgesamt,3241001,Hannover,W,"7,378",124,30,50,73,157,434,314,393,707,678,"1,819",433,447,880,"1,009","1,518","1,025",642,485,"5,559",2017
------,Straftaten insgesamt,3241001,Hannover,X,"30,229",257,92,131,225,404,"1,109",903,"1,390","2,293","3,002","6,404","2,132","2,066","4,198","4,599","6,784","4,212","2,505","1,527","23,825",2017
------,Straftaten insgesamt,8221000,Heidelberg,M,"5,499",2,0,9,24,61,96,151,305,456,791,"1,343",486,406,892,981,"1,152",572,347,212,"4,156",2017
------,Straftaten insgesamt,8221000,Heidelberg,W,"1,589",2,4,6,8,32,52,90,98,188,152,392,126,121,247,223,314,182,139,92,"1,197",2017
------,Straftaten insgesamt,8221000,Heidelberg,X,"7,088",4,4,15,32,93,148,241,403,644,943,"1,735",612,527,"1,139","1,204","1,466",754,486,304,"5,353",2017
------,Straftaten insgesamt,8121000,Heilbronn,M,"3,163",0,2,4,13,37,56,74,175,249,362,667,239,225,464,506,695,412,262,157,"2,496",2017
------,Straftaten insgesamt,8121000,Heilbronn,W,964,0,3,5,1,25,34,62,68,130,88,252,56,43,99,117,198,132,103,63,712,2017
------,Straftaten insgesamt,8121000,Heilbronn,X,"4,127",0,5,9,14,62,90,136,243,379,450,919,295,268,563,623,893,544,365,220,"3,208",2017
------,Straftaten insgesamt,5916000,Herne,M,"3,872",2,4,16,41,78,141,142,243,385,381,907,227,214,441,509,851,569,387,208,"2,965",2017
------,Straftaten insgesamt,5916000,Herne,W,"1,217",0,0,8,10,55,73,76,68,144,101,318,61,56,117,151,249,184,108,90,899,2017
------,Straftaten insgesamt,5916000,Herne,X,"5,089",2,4,24,51,133,214,218,311,529,482,"1,225",288,270,558,660,"1,100",753,495,298,"3,864",2017
------,Straftaten insgesamt,3254021,Hildesheim,M,"2,799",1,4,8,23,58,94,111,148,259,271,624,191,189,380,396,567,416,265,151,"2,175",2017
------,Straftaten insgesamt,3254021,Hildesheim,W,"1,046",2,1,7,8,33,51,66,58,124,92,267,46,54,100,126,223,131,114,85,779,2017
------,Straftaten insgesamt,3254021,Hildesheim,X,"3,845",3,5,15,31,91,145,177,206,383,363,891,237,243,480,522,790,547,379,236,"2,954",2017
------,Straftaten insgesamt,9161000,Ingolstadt,M,"3,501",2,4,13,23,42,84,75,168,243,413,740,237,211,448,555,771,474,314,199,"2,761",2017
------,Straftaten insgesamt,9161000,Ingolstadt,W,"1,088",1,0,2,3,42,48,63,46,109,99,256,57,60,117,122,218,150,134,91,832,2017
------,Straftaten insgesamt,9161000,Ingolstadt,X,"4,589",3,4,15,26,84,132,138,214,352,512,996,294,271,565,677,989,624,448,290,"3,593",2017
------,Straftaten insgesamt,16053000,Jena,M,"2,491",1,3,9,21,56,90,80,143,223,238,551,146,146,292,401,598,299,194,156,"1,940",2017
------,Straftaten insgesamt,16053000,Jena,W,669,1,0,0,3,21,25,27,34,61,61,147,25,38,63,98,156,79,63,63,522,2017
------,Straftaten insgesamt,16053000,Jena,X,"3,160",2,3,9,24,77,115,107,177,284,299,698,171,184,355,499,754,378,257,219,"2,462",2017
------,Straftaten insgesamt,8212000,Karlsruhe,M,"9,853",16,8,17,28,102,171,349,627,976,"1,336","2,483",835,760,"1,595","1,572","1,960","1,166",700,377,"7,370",2017
------,Straftaten insgesamt,8212000,Karlsruhe,W,"2,843",9,4,5,23,84,125,165,210,375,316,816,195,176,371,350,554,346,240,166,"2,027",2017
------,Straftaten insgesamt,8212000,Karlsruhe,X,"12,696",25,12,22,51,186,296,514,837,"1,351","1,652","3,299","1,030",936,"1,966","1,922","2,514","1,512",940,543,"9,397",2017
------,Straftaten insgesamt,6611000,Kassel,M,"5,890",1,5,8,31,47,92,144,310,454,608,"1,154",397,427,824,945,"1,314",840,524,289,"4,736",2017
------,Straftaten insgesamt,6611000,Kassel,W,"1,825",1,0,8,18,48,75,77,98,175,128,378,114,114,228,242,370,281,207,119,"1,447",2017
------,Straftaten insgesamt,6611000,Kassel,X,"7,715",2,5,16,49,95,167,221,408,629,736,"1,532",511,541,"1,052","1,187","1,684","1,121",731,408,"6,183",2017
------,Straftaten insgesamt,1002000,Kiel,M,"6,099",5,9,13,36,101,164,212,276,488,582,"1,234",413,424,837,922,"1,288",918,587,313,"4,865",2017
------,Straftaten insgesamt,1002000,Kiel,W,"1,850",6,4,9,14,31,64,107,91,198,170,432,100,112,212,269,362,249,207,119,"1,418",2017
------,Straftaten insgesamt,1002000,Kiel,X,"7,949",11,13,22,50,132,228,319,367,686,752,"1,666",513,536,"1,049","1,191","1,650","1,167",794,432,"6,283",2017
------,Straftaten insgesamt,7111000,Koblenz,M,"3,634",1,3,6,17,54,81,106,207,313,418,812,279,281,560,567,768,447,300,180,"2,822",2017
------,Straftaten insgesamt,7111000,Koblenz,W,"1,172",0,2,4,5,31,42,72,71,143,114,299,58,61,119,167,239,152,120,76,873,2017
------,Straftaten insgesamt,7111000,Koblenz,X,"4,806",1,5,10,22,85,123,178,278,456,532,"1,111",337,342,679,734,"1,007",599,420,256,"3,695",2017
------,Straftaten insgesamt,5315000,Köln,M,"36,832",215,83,113,231,526,"1,168","1,016","1,805","2,821","3,546","7,535","2,422","2,415","4,837","5,596","8,057","5,530","3,474","1,803","29,297",2017
------,Straftaten insgesamt,5315000,Köln,W,"12,649",172,72,79,135,311,769,620,709,"1,329","1,082","3,180",649,683,"1,332","1,730","2,640","1,739","1,197",831,"9,469",2017
------,Straftaten insgesamt,5315000,Köln,X,"49,481",387,155,192,366,837,"1,937","1,636","2,514","4,150","4,628","10,715","3,071","3,098","6,169","7,326","10,697","7,269","4,671","2,634","38,766",2017
------,Straftaten insgesamt,5114000,Krefeld,M,"7,078",0,10,22,57,115,204,194,306,500,668,"1,372",514,478,992,"1,092","1,579","1,043",632,368,"5,706",2017
------,Straftaten insgesamt,5114000,Krefeld,W,"2,501",0,3,8,26,62,99,151,160,311,234,644,132,155,287,340,460,357,258,155,"1,857",2017
------,Straftaten insgesamt,5114000,Krefeld,X,"9,579",0,13,30,83,177,303,345,466,811,902,"2,016",646,633,"1,279","1,432","2,039","1,400",890,523,"7,563",2017
------,Straftaten insgesamt,14713000,Leipzig,M,"16,276",114,55,78,122,204,573,416,619,"1,035","1,268","2,876",933,"1,027","1,960","2,845","4,375","2,173","1,261",786,"13,400",2017
------,Straftaten insgesamt,14713000,Leipzig,W,"5,549",119,24,38,62,125,368,232,187,419,414,"1,201",293,325,618,887,"1,314",649,454,426,"4,348",2017
