Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;11000000;Berlin;voll.;833;77;756;1;0;1;9;1;8;10;1;9;149;7;142;101;4;97;553;60;493;20;5;15;573;65;508
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;11000000;Berlin;vers.;90;2;88;0;0;0;3;0;3;3;0;3;19;0;19;10;0;10;53;2;51;5;0;5;58;2;56
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;11000000;Berlin;insg.;923;79;844;1;0;1;12;1;11;13;1;12;168;7;161;111;4;107;606;62;544;25;5;20;631;67;564
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5711000;Bielefeld;voll.;37;3;34;0;0;0;1;1;0;1;1;0;6;0;6;8;1;7;21;1;20;1;0;1;22;1;21
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5711000;Bielefeld;vers.;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5711000;Bielefeld;insg.;38;3;35;0;0;0;1;1;0;1;1;0;7;0;7;8;1;7;21;1;20;1;0;1;22;1;21
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5911000;Bochum;voll.;29;1;28;0;0;0;1;0;1;1;0;1;10;0;10;3;1;2;14;0;14;1;0;1;15;0;15
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5911000;Bochum;vers.;8;1;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;7;1;6;0;0;0;7;1;6
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5911000;Bochum;insg.;37;2;35;0;0;0;1;0;1;1;0;1;11;0;11;3;1;2;21;1;20;1;0;1;22;1;21
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5314000;Bonn;voll.;46;0;46;0;0;0;0;0;0;0;0;0;9;0;9;6;0;6;31;0;31;0;0;0;31;0;31
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5314000;Bonn;vers.;4;0;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;0;0;0;2;0;2
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5314000;Bonn;insg.;50;0;50;0;0;0;0;0;0;0;0;0;10;0;10;7;0;7;33;0;33;0;0;0;33;0;33
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5512000;Bottrop;voll.;12;0;12;0;0;0;0;0;0;0;0;0;3;0;3;2;0;2;7;0;7;0;0;0;7;0;7
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5512000;Bottrop;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;5512000;Bottrop;insg.;13;0;13;0;0;0;0;0;0;0;0;0;3;0;3;2;0;2;7;0;7;1;0;1;8;0;8
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;3101000;Braunschweig;voll.;25;0;25;0;0;0;1;0;1;1;0;1;6;0;6;4;0;4;14;0;14;0;0;0;14;0;14
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;3101000;Braunschweig;vers.;4;0;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;3;0;0;0;3;0;3
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;3101000;Braunschweig;insg.;29;0;29;0;0;0;1;0;1;1;0;1;7;0;7;4;0;4;17;0;17;0;0;0;17;0;17
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;4011000;Bremen;voll.;96;7;89;0;0;0;1;0;1;1;0;1;13;2;11;19;1;18;57;4;53;6;0;6;63;4;59
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;4011000;Bremen;vers.;7;0;7;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;2;0;2;0;0;0;2;0;2
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;4011000;Bremen;insg.;103;7;96;0;0;0;1;0;1;1;0;1;18;2;16;19;1;18;59;4;55;6;0;6;65;4;61
111000;Vergewaltigung, sexuelle N tigung und sexueller  bergriff im besonders schweren Fall einschl. mit Todesfolge    177, 178 StGB;4012000;Bremerhaven;voll.;17;0;17;0;0;0;0;0;0;0;0;0;5;0;5;3;0;3;9;0;9;0;0;0;9;0;9
