Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;4,520;2,808;1,712;48;21;27;41;14;27;56;34;22;78;42;36;148;60;88;371;171;200;151;93;58;200;131;69;351;224;127;327;204;123;1,049;599;450;235;147;88;259;156;103;494;303;191;683;441;242;1,006;644;362;595;392;203;450;293;157;243;136;107;3,471;2,209;1,262
------;Straftaten insgesamt;2000000;Hamburg;insg.;35,624;22,356;13,268;262;144;118;218;140;78;344;230;114;553;381;172;804;491;313;2,181;1,386;795;1,118;629;489;1,576;999;577;2,694;1,628;1,066;2,935;1,892;1,043;7,810;4,906;2,904;1,981;1,231;750;1,935;1,198;737;3,916;2,429;1,487;5,093;3,183;1,910;8,261;5,180;3,081;5,291;3,375;1,916;3,369;2,164;1,205;1,884;1,119;765;27,814;17,450;10,364
------;Straftaten insgesamt;5915000;Hamm;insg.;2,510;1,458;1,052;11;7;4;12;9;3;26;17;9;26;11;15;58;32;26;133;76;57;88;39;49;115;59;56;203;98;105;208;134;74;544;308;236;161;81;80;156;96;60;317;177;140;340;175;165;497;300;197;417;247;170;264;174;90;131;77;54;1,966;1,150;816
------;Straftaten insgesamt;3241001;Hannover;insg.;12,991;8,431;4,560;102;48;54;49;19;30;84;53;31;143;72;71;261;128;133;639;320;319;352;181;171;443;242;201;795;423;372;1,190;765;425;2,624;1,508;1,116;882;602;280;861;603;258;1,743;1,205;538;2,152;1,439;713;2,946;1,975;971;1,948;1,312;636;1,046;675;371;532;317;215;10,367;6,923;3,444
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2,247;1,527;720;16;11;5;10;4;6;9;6;3;25;14;11;37;21;16;97;56;41;37;20;17;93;60;33;130;80;50;233;177;56;460;313;147;197;145;52;176;114;62;373;259;114;409;287;122;414;301;113;243;156;87;218;134;84;130;77;53;1,787;1,214;573
------;Straftaten insgesamt;8121000;Heilbronn;insg.;1,468;884;584;10;7;3;6;2;4;3;0;3;18;9;9;22;10;12;59;28;31;47;26;21;82;49;33;129;75;54;160;101;59;348;204;144;85;60;25;103;66;37;188;126;62;218;137;81;316;178;138;199;114;85;136;89;47;63;36;27;1,120;680;440
------;Straftaten insgesamt;5916000;Herne;insg.;2,626;1,411;1,215;18;11;7;12;8;4;26;13;13;46;34;12;58;30;28;160;96;64;104;50;54;130;66;64;234;116;118;212;116;96;606;328;278;132;73;59;142;80;62;274;153;121;351;176;175;542;275;267;412;223;189;286;180;106;155;76;79;2,020;1,083;937
------;Straftaten insgesamt;3254021;Hildesheim;insg.;2,203;1,263;940;19;10;9;14;7;7;23;10;13;21;10;11;50;23;27;127;60;67;59;24;35;117;65;52;176;89;87;211;109;102;514;258;256;172;102;70;157;99;58;329;201;128;350;225;125;398;227;171;296;160;136;220;141;79;96;51;45;1,689;1,005;684
------;Straftaten insgesamt;9161000;Ingolstadt;insg.;2,288;1,552;736;14;6;8;7;3;4;17;12;5;28;19;9;45;21;24;111;61;50;84;51;33;132;83;49;216;134;82;253;185;68;580;380;200;152;113;39;181;146;35;333;259;74;328;216;112;473;322;151;270;186;84;196;131;65;108;58;50;1,708;1,172;536
------;Straftaten insgesamt;16053000;Jena;insg.;1,447;948;499;23;13;10;7;2;5;9;6;3;20;15;5;39;22;17;98;58;40;51;26;25;44;28;16;95;54;41;104;71;33;297;183;114;92;54;38;87;54;33;179;108;71;254;179;75;299;212;87;214;135;79;126;86;40;78;45;33;1,150;765;385
------;Straftaten insgesamt;8212000;Karlsruhe;insg.;3,828;2,496;1,332;28;12;16;22;8;14;21;13;8;34;21;13;64;33;31;169;87;82;102;49;53;150;104;46;252;153;99;348;231;117;769;471;298;241;173;68;258;170;88;499;343;156;567;390;177;845;544;301;558;361;197;364;250;114;226;137;89;3,059;2,025;1,034
------;Straftaten insgesamt;6611000;Kassel;insg.;2,916;1,706;1,210;19;9;10;24;13;11;19;11;8;45;29;16;47;24;23;154;86;68;68;29;39;104;59;45;172;88;84;278;156;122;604;330;274;174;91;83;200;110;90;374;201;173;397;231;166;669;396;273;483;309;174;254;175;79;135;64;71;2,312;1,376;936
------;Straftaten insgesamt;1002000;Kiel;insg.;4,553;2,912;1,641;30;16;14;24;12;12;36;20;16;47;35;12;76;37;39;213;120;93;124;67;57;207;135;72;331;202;129;431;279;152;975;601;374;321;201;120;326;212;114;647;413;234;717;479;238;961;594;367;665;453;212;382;235;147;206;137;69;3,578;2,311;1,267
------;Straftaten insgesamt;7111000;Koblenz;insg.;2,246;1,456;790;12;7;5;8;3;5;14;7;7;17;10;7;39;20;19;90;47;43;55;29;26;112;85;27;167;114;53;223;140;83;480;301;179;159;101;58;142;87;55;301;188;113;356;231;125;486;349;137;316;188;128;198;130;68;109;69;40;1,766;1,155;611
------;Straftaten insgesamt;5315000;Koeln;insg.;25,605;15,503;10,102;155;85;70;99;48;51;157;95;62;309;196;113;470;285;185;1,190;709;481;603;330;273;937;513;424;1,540;843;697;2,116;1,196;920;4,846;2,748;2,098;1,467;856;611;1,767;1,029;738;3,234;1,885;1,349;4,201;2,531;1,670;5,641;3,465;2,176;4,065;2,573;1,492;2,413;1,606;807;1,205;695;510;20,759;12,755;8,004
------;Straftaten insgesamt;5114000;Krefeld;insg.;3,697;2,014;1,683;30;17;13;24;12;12;30;19;11;66;33;33;74;38;36;224;119;105;107;48;59;154;87;67;261;135;126;314;182;132;799;436;363;209;124;85;235;114;121;444;238;206;558;300;258;726;387;339;547;283;264;380;239;141;243;131;112;2,898;1,578;1,320
------;Straftaten insgesamt;14713000;Leipzig;insg.;9,373;5,951;3,422;107;60;47;50;33;17;82;47;35;139;73;66;188;78;110;566;291;275;270;117;153;347;202;145;617;319;298;620;388;232;1,803;998;805;449;287;162;534;343;191;983;630;353;1,648;1,093;555;2,381;1,604;777;1,232;820;412;834;533;301;492;273;219;7,570;4,953;2,617
------;Straftaten insgesamt;5316000;Leverkusen;insg.;2,913;1,654;1,259;14;7;7;8;2;6;26;18;8;29;14;15;85;49;36;162;90;72;103;60;43;134;69;65;237;129;108;234;123;111;633;342;291;173;117;56;188;111;77;361;228;133;433;230;203;601;335;266;414;232;182;311;195;116;160;92;68;2,280;1,312;968
------;Straftaten insgesamt;1003000;Luebeck;insg.;5,102;3,253;1,849;27;14;13;17;11;6;49;29;20;70;40;30;115;65;50;278;159;119;174;97;77;215;118;97;389;215;174;388;253;135;1,055;627;428;258;154;104;328;206;122;586;360;226;799;523;276;1,083;736;347;830;505;325;486;350;136;263;152;111;4,047;2,626;1,421
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;insg.;3,853;2,218;1,635;48;22;26;49;24;25;75;40;35;87;53;34;104;64;40;363;203;160;140;75;65;176;100;76;316;175;141;329;197;132;1,008;575;433;214;107;107;214;125;89;428;232;196;547;312;235;734;429;305;576;331;245;352;219;133;208;120;88;2,845;1,643;1,202
------;Straftaten insgesamt;15003000;Magdeburg;insg.;3,907;2,290;1,617;50;25;25;14;9;5;23;8;15;62;37;25;107;51;56;256;130;126;123;60;63;150;95;55;273;155;118;289;157;132;818;442;376;214;125;89;218;124;94;432;249;183;616;336;280;893;564;329;511;297;214;414;264;150;223;138;85;3,089;1,848;1,241
------;Straftaten insgesamt;7315000;Mainz;insg.;3,926;2,531;1,395;29;22;7;24;11;13;23;16;7;38;29;9;56;26;30;170;104;66;87;49;38;199;136;63;286;185;101;381;278;103;837;567;270;280;188;92;283;198;85;563;386;177;746;476;270;819;509;310;482;283;199;315;205;110;164;105;59;3,089;1,964;1,125
------;Straftaten insgesamt;8222000;Mannheim;insg.;4,935;3,068;1,867;54;36;18;21;15;6;40;25;15;53;39;14;92;43;49;260;158;102;111;57;54;148;103;45;259;160;99;399;248;151;918;566;352;311;200;111;322;212;110;633;412;221;808;496;312;1,078;682;396;771;489;282;443;274;169;284;149;135;4,017;2,502;1,515
------;Straftaten insgesamt;5170024;Moers;insg.;1,546;897;649;4;2;2;8;7;1;23;12;11;43;22;21;56;35;21;134;78;56;82;42;40;81;52;29;163;94;69;148;93;55;445;265;180;90;60;30;102;57;45;192;117;75;207;107;100;258;157;101;197;119;78;151;80;71;96;52;44;1,101;632;469
------;Straftaten insgesamt;5116000;Moenchengladbach;insg.;3,717;2,041;1,676;25;14;11;12;6;6;33;18;15;43;28;15;88;44;44;201;110;91;152;85;67;184;105;79;336;190;146;366;196;170;903;496;407;256;143;113;274;165;109;530;308;222;482;242;240;663;340;323;562;310;252;375;235;140;202;110;92;2,814;1,545;1,269
------;Straftaten insgesamt;5117000;Muelheim an der Ruhr;insg.;1,838;958;880;13;5;8;10;5;5;19;14;5;40;30;10;58;34;24;140;88;52;70;35;35;73;38;35;143;73;70;129;74;55;412;235;177;82;41;41;99;58;41;181;99;82;263;127;136;367;168;199;288;146;142;192;112;80;135;71;64;1,426;723;703
------;Straftaten insgesamt;9162000;Muenchen;insg.;18,493;12,306;6,187;193;95;98;80;44;36;118;78;40;173;103;70;238;118;120;802;438;364;376;215;161;644;428;216;1,020;643;377;1,495;1,022;473;3,317;2,103;1,214;1,211;800;411;1,322;943;379;2,533;1,743;790;3,197;2,289;908;4,329;2,887;1,442;2,572;1,673;899;1,566;1,037;529;979;574;405;15,176;10,203;4,973
------;Straftaten insgesamt;5515000;Muenster;insg.;4,468;2,629;1,839;29;14;15;20;10;10;26;12;14;52;37;15;111;66;45;238;139;99;115;60;55;189;113;76;304;173;131;393;230;163;935;542;393;281;174;107;313;169;144;594;343;251;660;402;258;957;543;414;663;413;250;441;269;172;218;117;101;3,533;2,087;1,446
------;Straftaten insgesamt;5162024;Neuss;insg.;2,153;1,219;934;11;5;6;9;6;3;14;10;4;22;11;11;46;27;19;102;59;43;65;36;29;98;57;41;163;93;70;223;141;82;488;293;195;131;77;54;133;71;62;264;148;116;281;153;128;496;262;234;282;162;120;218;136;82;124;65;59;1,665;926;739
------;Straftaten insgesamt;9564000;Nuernberg;insg.;8,593;5,552;3,041;71;44;27;31;16;15;58;40;18;88;53;35;126;73;53;374;226;148;216;99;117;389;276;113;605;375;230;874;567;307;1,853;1,168;685;634;402;232;667;442;225;1,301;844;457;1,504;1,043;461;1,836;1,166;670;1,091;698;393;635;422;213;373;211;162;6,740;4,384;2,356
------;Straftaten insgesamt;5119000;Oberhausen;insg.;2,815;1,558;1,257;27;14;13;7;3;4;18;10;8;61;44;17;90;43;47;203;114;89;109;59;50;140;79;61;249;138;111;242;155;87;694;407;287;166;90;76;197;102;95;363;192;171;397;228;169;554;261;293;389;220;169;244;159;85;174;91;83;2,121;1,151;970
------;Straftaten insgesamt;6413000;Offenbach am Main;insg.;1,373;717;656;18;7;11;6;2;4;5;4;1;18;14;4;38;21;17;85;48;37;43;26;17;55;30;25;98;56;42;102;41;61;285;145;140;61;31;30;65;34;31;126;65;61;237;117;120;307;165;142;226;112;114;129;76;53;63;37;26;1,088;572;516
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);insg.;2,215;1,337;878;17;12;5;11;7;4;19;13;6;33;19;14;46;18;28;126;69;57;70;33;37;128;85;43;198;118;80;247;143;104;571;330;241;132;84;48;136;85;51;268;169;99;348;194;154;422;259;163;269;184;85;221;131;90;116;70;46;1,644;1,007;637
------;Straftaten insgesamt;3404000;Osnabrueck;insg.;3,108;1,937;1,171;33;17;16;18;6;12;11;6;5;17;8;9;53;21;32;132;58;74;75;42;33;130;73;57;205;115;90;303;193;110;640;366;274;211;139;72;240;141;99;451;280;171;561;365;196;646;413;233;393;251;142;270;174;96;147;88;59;2,468;1,571;897
------;Straftaten insgesamt;5774032;Paderborn;insg.;2,101;1,229;872;5;5;0;8;4;4;14;8;6;18;9;9;45;22;23;90;48;42;45;27;18;79;50;29;124;77;47;220;124;96;434;249;185;143;82;61;147;83;64;290;165;125;290;159;131;479;283;196;305;187;118;202;128;74;101;58;43;1,667;980;687
------;Straftaten insgesamt;8231000;Pforzheim;insg.;1,811;1,114;697;16;13;3;13;7;6;19;10;9;36;27;9;46;28;18;130;85;45;66;47;19;75;42;33;141;89;52;139;80;59;410;254;156;117;77;40;106;70;36;223;147;76;231;134;97;380;244;136;286;172;114;156;103;53;125;60;65;1,401;860;541
------;Straftaten insgesamt;12054000;Potsdam;insg.;1,997;1,222;775;20;11;9;21;12;9;24;18;6;42;23;19;49;35;14;156;99;57;80;55;25;88;64;24;168;119;49;138;87;51;462;305;157;82;51;31;74;42;32;156;93;63;331;174;157;484;295;189;239;154;85;194;127;67;131;74;57;1,535;917;618
------;Straftaten insgesamt;5562032;Recklinghausen;insg.;2,450;1,396;1,054;25;14;11;15;9;6;23;15;8;24;18;6;35;17;18;122;73;49;117;72;45;149;91;58;266;163;103;206;122;84;594;358;236;135;74;61;131;67;64;266;141;125;407;245;162;499;261;238;350;187;163;201;122;79;133;82;51;1,856;1,038;818
------;Straftaten insgesamt;9362000;Regensburg;insg.;2,460;1,668;792;14;4;10;4;2;2;13;7;6;16;10;6;46;22;24;93;45;48;69;38;31;105;79;26;174;117;57;285;208;77;552;370;182;215;133;82;179;130;49;394;263;131;436;296;140;488;345;143;303;195;108;195;146;49;92;53;39;1,908;1,298;610
------;Straftaten insgesamt;5120000;Remscheid;insg.;1,638;861;777;16;10;6;8;4;4;19;10;9;20;11;9;52;22;30;115;57;58;68;25;43;91;40;51;159;65;94;155;79;76;429;201;228;68;43;25;73;38;35;141;81;60;223;107;116;328;167;161;259;143;116;171;111;60;87;51;36;1,209;660;549
------;Straftaten insgesamt;8415061;Reutlingen;insg.;1,446;883;563;10;6;4;6;2;4;6;3;3;12;8;4;31;19;12;65;38;27;52;28;24;95;56;39;147;84;63;152;109;43;364;231;133;91;54;37;85;54;31;176;108;68;209;141;68;314;171;143;197;118;79;123;77;46;63;37;26;1,082;652;430
------;Straftaten insgesamt;13003000;Rostock;insg.;2,755;1,712;1,043;47;24;23;24;15;9;37;16;21;64;41;23;79;37;42;251;133;118;100;50;50;129;86;43;229;136;93;172;100;72;652;369;283;138;95;43;121;74;47;259;169;90;432;284;148;665;444;221;336;199;137;254;162;92;157;85;72;2,103;1,343;760
------;Straftaten insgesamt;10041100;Saarbruecken;insg.;4,639;2,743;1,896;32;18;14;21;10;11;23;15;8;61;43;18;103;53;50;240;139;101;143;70;73;182;105;77;325;175;150;476;288;188;1,041;602;439;307;190;117;386;228;158;693;418;275;734;476;258;883;494;389;568;312;256;482;309;173;238;132;106;3,598;2,141;1,457
------;Straftaten insgesamt;3102000;Salzgitter;insg.;1,443;795;648;27;12;15;19;13;6;17;12;5;34;20;14;32;14;18;129;71;58;65;36;29;66;37;29;131;73;58;121;68;53;381;212;169;76;45;31;76;34;42;152;79;73;221;131;90;247;128;119;226;115;111;133;86;47;83;44;39;1,062;583;479
------;Straftaten insgesamt;13004000;Schwerin;insg.;1,520;941;579;15;6;9;16;9;7;25;18;7;49;30;19;69;40;29;174;103;71;62;38;24;85;60;25;147;98;49;97;63;34;418;264;154;64;32;32;72;34;38;136;66;70;228;137;91;320;216;104;167;107;60;158;103;55;93;48;45;1,102;677;425
------;Straftaten insgesamt;5970040;Siegen;insg.;1,918;1,146;772;15;14;1;6;2;4;9;8;1;22;18;4;57;34;23;109;76;33;60;36;24;88;57;31;148;93;55;197;118;79;454;287;167;127;62;65;137;79;58;264;141;123;300;192;108;377;214;163;247;135;112;173;120;53;103;57;46;1,464;859;605
------;Straftaten insgesamt;5122000;Solingen;insg.;1,933;1,092;841;15;6;9;10;7;3;16;9;7;23;11;12;59;38;21;123;71;52;80;46;34;83;48;35;163;94;69;187;115;72;473;280;193;82;50;32;118;64;54;200;114;86;270;154;116;398;215;183;280;147;133;212;125;87;100;57;43;1,460;812;648
------;Straftaten insgesamt;8111000;Stuttgart;insg.;12,300;8,157;4,143;105;63;42;57;31;26;75;42;33;155;85;70;211;112;99;603;333;270;282;141;141;455;274;181;737;415;322;1,062;723;339;2,402;1,471;931;820;566;254;941;669;272;1,761;1,235;526;2,329;1,629;700;2,677;1,810;867;1,678;1,101;577;928;617;311;525;294;231;9,898;6,686;3,212
------;Straftaten insgesamt;7211000;Trier;insg.;2,131;1,398;733;17;12;5;7;2;5;11;7;4;29;14;15;49;25;24;113;60;53;72;42;30;151;105;46;223;147;76;246;169;77;582;376;206;149;99;50;138;94;44;287;193;94;300;187;113;461;313;148;237;157;80;162;104;58;102;68;34;1,549;1,022;527
------;Straftaten insgesamt;8421000;Ulm;insg.;1,821;1,175;646;8;5;3;5;1;4;13;9;4;16;6;10;49;21;28;91;42;49;48;21;27;101;62;39;149;83;66;189;122;67;429;247;182;139;95;44;123;82;41;262;177;85;274;180;94;337;226;111;264;178;86;173;115;58;82;52;30;1,392;928;464
------;Straftaten insgesamt;6414000;Wiesbaden;insg.;4,114;2,354;1,760;41;20;21;16;8;8;22;12;10;46;25;21;90;48;42;215;113;102;153;86;67;215;136;79;368;222;146;409;236;173;992;571;421;251;154;97;249;150;99;500;304;196;622;349;273;836;468;368;582;342;240;350;197;153;232;123;109;3,122;1,783;1,339
------;Straftaten insgesamt;3103000;Wolfsburg;insg.;1,498;907;591;25;17;8;8;6;2;13;10;3;18;8;10;33;18;15;97;59;38;45;27;18;77;57;20;122;84;38;147;98;49;366;241;125;98;60;38;109;66;43;207;126;81;233;137;96;328;192;136;171;102;69;122;73;49;71;36;35;1,132;666;466
------;Straftaten insgesamt;5124000;Wuppertal;insg.;6,871;3,955;2,916;36;21;15;28;15;13;56;36;20;120;84;36;159;79;80;399;235;164;252;128;124;312;185;127;564;313;251;599;327;272;1,562;875;687;394;243;151;474;265;209;868;508;360;994;571;423;1,355;756;599;976;584;392;774;474;300;342;187;155;5,309;3,080;2,229
------;Straftaten insgesamt;9663000;Wuerzburg;insg.;1,927;1,299;628;18;12;6;2;2;0;7;3;4;17;9;8;19;12;7;63;38;25;41;16;25;135;95;40;176;111;65;234;143;91;473;292;181;159;114;45;144;109;35;303;223;80;335;247;88;347;238;109;203;138;65;174;105;69;92;56;36;1,454;1,007;447
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5334002;Aachen;voll.;29;2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;3;0;3;8;0;8;2;0;2;10;0;10;1;1;0;3;1;2;4;2;2;3;0;3;6;0;6;3;0;3;2;0;2;1;0;1;19;2;17
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;9761000;Augsburg;voll.;21;1;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;1;0;1;3;0;3;3;0;3;7;0;7;2;0;2;1;0;1;3;0;3;5;1;4;2;0;2;2;0;2;1;0;1;1;0;1;14;1;13
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5378004;Bergisch Gladbach;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;11000000;Berlin;voll.;495;51;444;0;0;0;0;0;0;2;2;0;0;0;0;8;0;8;10;2;8;32;0;32;51;4;47;83;4;79;73;2;71;166;8;158;41;4;37;30;5;25;71;9;62;65;12;53;113;17;96;58;5;53;16;0;16;6;0;6;329;43;286
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5711000;Bielefeld;voll.;25;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;3;1;2;6;1;5;6;0;6;12;1;11;3;0;3;0;0;0;3;0;3;3;0;3;2;0;2;3;0;3;2;0;2;0;0;0;13;0;13
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5911000;Bochum;voll.;39;2;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;1;1;6;1;5;6;1;5;12;2;10;6;0;6;3;0;3;9;0;9;6;0;6;5;0;5;5;0;5;2;0;2;0;0;0;27;0;27
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5314000;Bonn;voll.;53;1;52;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;2;1;1;3;0;3;5;0;5;8;0;8;9;0;9;19;1;18;7;0;7;2;0;2;9;0;9;8;0;8;6;0;6;6;0;6;5;0;5;0;0;0;34;0;34
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5512000;Bottrop;voll.;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;3;0;3;2;0;2;5;0;5;1;0;1;0;0;0;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;1;0;1;5;0;5
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;3101000;Braunschweig;voll.;42;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;6;8;0;8;6;0;6;14;0;14;2;0;2;1;0;1;3;0;3;5;0;5;10;0;10;9;0;9;1;0;1;0;0;0;28;0;28
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;4011000;Bremen;voll.;99;5;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;5;1;4;12;1;11;16;0;16;28;1;27;8;1;7;6;0;6;14;1;13;19;2;17;22;0;22;9;1;8;5;0;5;2;0;2;71;4;67
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;4012000;Bremerhaven;voll.;26;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;3;0;3;10;0;10;6;0;6;16;0;16;1;0;1;4;0;4;5;0;5;3;0;3;1;0;1;1;0;1;0;0;0;0;0;0;10;0;10
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;14511000;Chemnitz;voll.;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;3;0;3;0;0;0;3;0;3;2;0;2;2;0;2;4;0;4;1;0;1;2;0;2;0;0;0;1;0;1;0;0;0;8;0;8
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;6411000;Darmstadt;voll.;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;2;0;2;3;0;3;6;0;6;1;0;1;3;0;3;4;0;4;3;0;3;4;0;4;1;0;1;0;0;0;0;0;0;12;0;12
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5913000;Dortmund;voll.;87;4;83;1;1;0;0;0;0;0;0;0;0;0;0;2;0;2;3;1;2;11;1;10;9;1;8;20;2;18;13;0;13;36;3;33;9;1;8;8;0;8;17;1;16;9;0;9;16;0;16;6;0;6;3;0;3;0;0;0;51;1;50
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;14612000;Dresden;voll.;12;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1;2;0;2;4;1;3;0;0;0;3;0;3;3;0;3;2;0;2;2;0;2;0;0;0;1;0;1;0;0;0;8;0;8
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5112000;Duisburg;voll.;52;2;50;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;8;0;8;8;0;8;16;0;16;8;2;6;25;2;23;4;0;4;4;0;4;8;0;8;5;0;5;8;0;8;5;0;5;1;0;1;0;0;0;27;0;27
111000;Vergewaltigung und sexuelle Noetigung    177 Abs. 2, 3 und 4, 178 StGB;5111000;Duesseldorf;voll.;71;2;69;1;1;0;0;0;0;0;0;0;1;0;1;3;0;3;5;1;4;6;0;6;6;0;6;12;0;12;19;0;19;36;1;35;8;1;7;4;0;4;12;1;11;5;0;5;11;0;11;4;0;4;2;0;2;1;0;1;35;1;34
