Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,361;1,387;974;20;12;8;12;7;5;21;10;11;34;20;14;55;27;28;142;76;66;77;34;43;125;67;58;202;101;101;183;106;77;527;283;244;130;63;67;155;89;66;285;152;133;385;227;158;495;299;196;328;203;125;213;142;71;128;81;47;1,834;1,104;730
------;Straftaten insgesamt;14511000;Chemnitz;voll.;2,878;1,764;1,114;47;34;13;25;9;16;32;13;19;44;24;20;85;39;46;233;119;114;126;69;57;148;101;47;274;170;104;257;148;109;764;437;327;140;93;47;164;102;62;304;195;109;446;292;154;647;414;233;317;202;115;243;153;90;157;71;86;2,114;1,327;787
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1,511;909;602;22;13;9;9;7;2;10;3;7;14;9;5;29;11;18;84;43;41;38;18;20;91;53;38;129;71;58;133;69;64;346;183;163;93;51;42;107;66;41;200;117;83;248;153;95;307;184;123;220;145;75;111;76;35;79;51;28;1,165;726;439
------;Straftaten insgesamt;5913000;Dortmund;voll.;11,545;7,084;4,461;69;39;30;45;28;17;71;42;29;163;102;61;214;131;83;562;342;220;357;187;170;485;297;188;842;484;358;1,001;594;407;2,405;1,420;985;765;462;303;767;453;314;1,532;915;617;1,875;1,205;670;2,512;1,553;959;1,655;1,030;625;1,033;654;379;533;307;226;9,140;5,664;3,476
------;Straftaten insgesamt;14612000;Dresden;voll.;6,240;4,095;2,145;82;37;45;42;12;30;69;38;31;98;48;50;138;73;65;429;208;221;165;75;90;201;133;68;366;208;158;508;336;172;1,303;752;551;332;239;93;384;271;113;716;510;206;1,097;779;318;1,523;1,042;481;771;510;261;491;304;187;339;198;141;4,937;3,343;1,594
------;Straftaten insgesamt;5112000;Duisburg;voll.;8,156;4,461;3,695;58;31;27;42;27;15;91;59;32;131;84;47;231;136;95;553;337;216;281;148;133;385;221;164;666;369;297;622;333;289;1,841;1,039;802;417;255;162;492;255;237;909;510;399;1,289;657;632;1,646;864;782;1,245;697;548;780;462;318;446;232;214;6,315;3,422;2,893
------;Straftaten insgesamt;5111000;Duesseldorf;voll.;9,578;6,023;3,555;32;16;16;38;20;18;55;38;17;108;68;40;181;80;101;414;222;192;255;121;134;356;207;149;611;328;283;838;524;314;1,863;1,074;789;633;401;232;700;471;229;1,333;872;461;1,612;1,066;546;2,038;1,335;703;1,381;856;525;824;541;283;527;279;248;7,715;4,949;2,766
------;Straftaten insgesamt;16051000;Erfurt;voll.;3,978;2,471;1,507;55;24;31;33;19;14;41;26;15;55;32;23;128;69;59;312;170;142;163;79;84;147;108;39;310;187;123;353;250;103;975;607;368;171;120;51;207;127;80;378;247;131;706;456;250;905;554;351;458;289;169;365;222;143;191;96;95;3,003;1,864;1,139
------;Straftaten insgesamt;9562000;Erlangen;voll.;1,049;707;342;10;3;7;12;10;2;7;4;3;12;6;6;19;11;8;60;34;26;49;32;17;48;34;14;97;66;31;137;99;38;294;199;95;78;54;24;73;52;21;151;106;45;154;115;39;205;132;73;121;82;39;86;52;34;38;21;17;755;508;247
------;Straftaten insgesamt;5113000;Essen;voll.;7,121;3,917;3,204;55;33;22;45;32;13;67;43;24;115;75;40;176;74;102;458;257;201;273;136;137;307;161;146;580;297;283;601;318;283;1,639;872;767;414;193;221;469;244;225;883;437;446;1,061;572;489;1,408;771;637;1,018;629;389;717;421;296;395;215;180;5,482;3,045;2,437
