Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4011000;Bremen;voll.;43;16;27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;29;9;20;13;6;7;42;15;27
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4011000;Bremen;vers.;19;6;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;15;3;12;3;2;1;18;5;13
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4011000;Bremen;insg.;62;22;40;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;44;12;32;16;8;8;60;20;40
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4012000;Bremerhaven;voll.;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;1;3;0;0;0;4;1;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4012000;Bremerhaven;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;4012000;Bremerhaven;insg.;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;1;3;0;0;0;4;1;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14511000;Chemnitz;voll.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14511000;Chemnitz;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14511000;Chemnitz;insg.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6411000;Darmstadt;voll.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6411000;Darmstadt;vers.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6411000;Darmstadt;insg.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;0;4;3;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5913000;Dortmund;voll.;11;7;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;6;4;0;0;0;10;6;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5913000;Dortmund;vers.;8;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;3;0;3;8;3;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5913000;Dortmund;insg.;19;10;9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;15;9;6;3;0;3;18;9;9
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14612000;Dresden;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14612000;Dresden;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14612000;Dresden;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5112000;Duisburg;voll.;29;7;22;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;21;6;15;6;1;5;27;7;20
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5112000;Duisburg;vers.;16;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;7;4;2;2;16;7;9
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5112000;Duisburg;insg.;45;14;31;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;33;11;22;10;3;7;43;14;29
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5111000;D sseldorf;voll.;16;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;8;0;0;0;16;8;8
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5111000;D sseldorf;vers.;8;4;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;6;2;4;1;1;0;7;3;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5111000;D sseldorf;insg.;24;12;12;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;22;10;12;1;1;0;23;11;12
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16051000;Erfurt;voll.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16051000;Erfurt;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16051000;Erfurt;insg.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9562000;Erlangen;voll.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9562000;Erlangen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9562000;Erlangen;insg.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5113000;Essen;voll.;24;11;13;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;17;8;9;4;2;2;21;10;11
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5113000;Essen;vers.;10;3;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;1;6;2;2;0;9;3;6
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5113000;Essen;insg.;34;14;20;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;24;9;15;6;4;2;30;13;17
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6412000;Frankfurt am Main;voll.;27;14;13;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;24;11;13;1;1;0;25;12;13
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6412000;Frankfurt am Main;vers.;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;1;1;0;5;4;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6412000;Frankfurt am Main;insg.;32;18;14;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;28;14;14;2;2;0;30;16;14
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8311000;Freiburg im Breisgau;voll.;14;7;7;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;11;7;4;1;0;1;12;7;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8311000;Freiburg im Breisgau;vers.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8311000;Freiburg im Breisgau;insg.;16;9;7;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;12;8;4;2;1;1;14;9;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9563000;F rth;voll.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;5;3;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9563000;F rth;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9563000;F rth;insg.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;5;3;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5513000;Gelsenkirchen;voll.;10;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;7;2;0;2;10;1;9
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5513000;Gelsenkirchen;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5513000;Gelsenkirchen;insg.;12;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;7;4;1;3;12;2;10
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3159016;G ttingen;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3159016;G ttingen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3159016;G ttingen;insg.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5754008;G tersloh;voll.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;3;1;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5754008;G tersloh;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5754008;G tersloh;insg.;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;1;0;1;4;1;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5914000;Hagen;voll.;7;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;3;3;0;0;0;6;3;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5914000;Hagen;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5914000;Hagen;insg.;9;4;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;4;4;0;0;0;8;4;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15002000;Halle (Saale);voll.;8;3;5;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;5;1;4;1;0;1;6;1;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15002000;Halle (Saale);vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15002000;Halle (Saale);insg.;9;3;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;1;5;1;0;1;7;1;6
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;2000000;Hamburg;voll.;26;19;7;0;0;0;2;2;0;2;2;0;0;0;0;2;1;1;21;16;5;1;0;1;22;16;6
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;2000000;Hamburg;vers.;17;14;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;13;11;2;3;2;1;16;13;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;2000000;Hamburg;insg.;43;33;10;0;0;0;2;2;0;2;2;0;0;0;0;3;2;1;34;27;7;4;2;2;38;29;9
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5915000;Hamm;voll.;14;6;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;4;6;3;1;2;13;5;8
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5915000;Hamm;vers.;5;3;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;2;2;0;0;0;4;2;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5915000;Hamm;insg.;19;9;10;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;14;6;8;3;1;2;17;7;10
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3241001;Hannover;voll.;27;6;21;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;21;6;15;4;0;4;25;6;19
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3241001;Hannover;vers.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;1;3;1;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3241001;Hannover;insg.;30;7;23;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;23;7;16;5;0;5;28;7;21
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8221000;Heidelberg;voll.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8221000;Heidelberg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8221000;Heidelberg;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8121000;Heilbronn;voll.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8121000;Heilbronn;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8121000;Heilbronn;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5916000;Herne;voll.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;0;0;0;3;1;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5916000;Herne;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5916000;Herne;insg.;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;2;1;1;5;2;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3254021;Hildesheim;voll.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3254021;Hildesheim;vers.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;3254021;Hildesheim;insg.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;1;3;0;0;0;4;1;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9161000;Ingolstadt;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9161000;Ingolstadt;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;9161000;Ingolstadt;insg.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16053000;Jena;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16053000;Jena;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;16053000;Jena;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7312000;Kaiserslautern;voll.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7312000;Kaiserslautern;vers.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7312000;Kaiserslautern;insg.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;3;0;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8212000;Karlsruhe;voll.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8212000;Karlsruhe;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;8212000;Karlsruhe;insg.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;1;1;0;4;2;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6611000;Kassel;voll.;12;5;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;10;5;5;1;0;1;11;5;6
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6611000;Kassel;vers.;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;0;0;0;8;4;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;6611000;Kassel;insg.;20;9;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;18;9;9;1;0;1;19;9;10
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1002000;Kiel;voll.;12;7;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;5;3;3;2;1;11;7;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1002000;Kiel;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1002000;Kiel;insg.;14;8;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9;6;3;4;2;2;13;8;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7111000;Koblenz;voll.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;3;2;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7111000;Koblenz;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7111000;Koblenz;insg.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;3;2;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5315000;K ln;voll.;42;22;20;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;36;18;18;4;3;1;40;21;19
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5315000;K ln;vers.;17;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;8;5;4;2;2;17;10;7
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5315000;K ln;insg.;59;32;27;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;49;26;23;8;5;3;57;31;26
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5114000;Krefeld;voll.;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;2;2;1;1;0;5;3;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5114000;Krefeld;vers.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;0;0;0;3;1;2
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5114000;Krefeld;insg.;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;7;3;4;1;1;0;8;4;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14713000;Leipzig;voll.;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;1;3;1;0;1;5;1;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14713000;Leipzig;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;14713000;Leipzig;insg.;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;1;3;1;0;1;5;1;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5316000;Leverkusen;voll.;15;9;6;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;11;7;4;0;0;0;11;7;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5316000;Leverkusen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;5316000;Leverkusen;insg.;15;9;6;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;11;7;4;0;0;0;11;7;4
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1003000;L beck;voll.;8;2;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;2;5;0;0;0;7;2;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1003000;L beck;vers.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;1003000;L beck;insg.;9;3;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;3;5;0;0;0;8;3;5
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7314000;Ludwigshafen am Rhein;voll.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7314000;Ludwigshafen am Rhein;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7314000;Ludwigshafen am Rhein;insg.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;3;2;1
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15003000;Magdeburg;voll.;22;7;15;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;18;4;14;1;1;0;19;5;14
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15003000;Magdeburg;vers.;8;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;1;1;0;8;5;3
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;15003000;Magdeburg;insg.;30;12;18;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;25;8;17;2;2;0;27;10;17
212000;Raub, r uberische Erpressung auf/gegen sonstige Kassenr ume und Gesch fte;7315000;Mainz;voll.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;2;2;0;0;0;4;2;2
