Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;3101000;Braunschweig;insg.;3,728;2,245;1,483;30;11;19;227;131;96;257;142;115;291;151;140;310;188;122;2,651;1,641;1,010;219;123;96;2,870;1,764;1,106
------;Straftaten insgesamt;4011000;Bremen;voll.;10,123;6,014;4,109;77;41;36;419;217;202;496;258;238;696;380;316;744;457;287;7,539;4,571;2,968;648;348;300;8,187;4,919;3,268
------;Straftaten insgesamt;4011000;Bremen;vers.;710;481;229;3;2;1;33;20;13;36;22;14;30;19;11;53;42;11;519;361;158;72;37;35;591;398;193
------;Straftaten insgesamt;4011000;Bremen;insg.;10,833;6,495;4,338;80;43;37;452;237;215;532;280;252;726;399;327;797;499;298;8,058;4,932;3,126;720;385;335;8,778;5,317;3,461
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,470;1,473;997;35;20;15;113;59;54;148;79;69;199;104;95;203;99;104;1,788;1,115;673;132;76;56;1,920;1,191;729
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;111;79;32;3;2;1;3;1;2;6;3;3;7;5;2;13;7;6;77;58;19;8;6;2;85;64;21
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;2,581;1,552;1,029;38;22;16;116;60;56;154;82;72;206;109;97;216;106;110;1,865;1,173;692;140;82;58;2,005;1,255;750
------;Straftaten insgesamt;14511000;Chemnitz;voll.;3,048;1,866;1,182;59;35;24;187;88;99;246;123;123;256;145;111;267;147;120;2,084;1,335;749;195;116;79;2,279;1,451;828
------;Straftaten insgesamt;14511000;Chemnitz;vers.;185;124;61;1;1;0;13;6;7;14;7;7;14;8;6;29;22;7;109;75;34;19;12;7;128;87;41
------;Straftaten insgesamt;14511000;Chemnitz;insg.;3,233;1,990;1,243;60;36;24;200;94;106;260;130;130;270;153;117;296;169;127;2,193;1,410;783;214;128;86;2,407;1,538;869
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1,565;888;677;11;7;4;67;34;33;78;41;37;121;59;62;128;73;55;1,149;671;478;89;44;45;1,238;715;523
------;Straftaten insgesamt;6411000;Darmstadt;vers.;97;69;28;0;0;0;4;0;4;4;0;4;7;4;3;5;3;2;73;54;19;8;8;0;81;62;19
------;Straftaten insgesamt;6411000;Darmstadt;insg.;1,662;957;705;11;7;4;71;34;37;82;41;41;128;63;65;133;76;57;1,222;725;497;97;52;45;1,319;777;542
------;Straftaten insgesamt;5913000;Dortmund;voll.;10,431;6,264;4,167;74;33;41;499;283;216;573;316;257;759;448;311;816;468;348;7,709;4,686;3,023;574;346;228;8,283;5,032;3,251
------;Straftaten insgesamt;5913000;Dortmund;vers.;743;500;243;2;1;1;32;19;13;34;20;14;67;42;25;67;50;17;527;361;166;48;27;21;575;388;187
------;Straftaten insgesamt;5913000;Dortmund;insg.;11,174;6,764;4,410;76;34;42;531;302;229;607;336;271;826;490;336;883;518;365;8,236;5,047;3,189;622;373;249;8,858;5,420;3,438
------;Straftaten insgesamt;14612000;Dresden;voll.;6,971;4,271;2,700;102;60;42;511;257;254;613;317;296;595;353;242;580;334;246;4,788;3,064;1,724;395;203;192;5,183;3,267;1,916
------;Straftaten insgesamt;14612000;Dresden;vers.;422;311;111;7;2;5;24;20;4;31;22;9;28;21;7;40;29;11;298;224;74;25;15;10;323;239;84
------;Straftaten insgesamt;14612000;Dresden;insg.;7,393;4,582;2,811;109;62;47;535;277;258;644;339;305;623;374;249;620;363;257;5,086;3,288;1,798;420;218;202;5,506;3,506;2,000
------;Straftaten insgesamt;5112000;Duisburg;voll.;7,503;3,961;3,542;81;40;41;529;276;253;610;316;294;590;308;282;512;258;254;5,305;2,811;2,494;486;268;218;5,791;3,079;2,712
------;Straftaten insgesamt;5112000;Duisburg;vers.;540;316;224;9;2;7;29;14;15;38;16;22;39;26;13;38;24;14;377;222;155;48;28;20;425;250;175
------;Straftaten insgesamt;5112000;Duisburg;insg.;8,043;4,277;3,766;90;42;48;558;290;268;648;332;316;629;334;295;550;282;268;5,682;3,033;2,649;534;296;238;6,216;3,329;2,887
------;Straftaten insgesamt;5111000;D sseldorf;voll.;10,427;6,426;4,001;82;41;41;360;199;161;442;240;202;775;453;322;975;630;345;7,575;4,727;2,848;660;376;284;8,235;5,103;3,132
------;Straftaten insgesamt;5111000;D sseldorf;vers.;649;451;198;5;3;2;28;18;10;33;21;12;53;42;11;49;36;13;473;326;147;41;26;15;514;352;162
------;Straftaten insgesamt;5111000;D sseldorf;insg.;11,076;6,877;4,199;87;44;43;388;217;171;475;261;214;828;495;333;1,024;666;358;8,048;5,053;2,995;701;402;299;8,749;5,455;3,294
------;Straftaten insgesamt;16051000;Erfurt;voll.;3,880;2,427;1,453;44;18;26;196;114;82;240;132;108;282;160;122;372;223;149;2,800;1,813;987;186;99;87;2,986;1,912;1,074
------;Straftaten insgesamt;16051000;Erfurt;vers.;398;272;126;1;1;0;22;10;12;23;11;12;20;19;1;33;23;10;292;197;95;30;22;8;322;219;103
------;Straftaten insgesamt;16051000;Erfurt;insg.;4,278;2,699;1,579;45;19;26;218;124;94;263;143;120;302;179;123;405;246;159;3,092;2,010;1,082;216;121;95;3,308;2,131;1,177
------;Straftaten insgesamt;9562000;Erlangen;voll.;987;598;389;9;8;1;32;17;15;41;25;16;76;42;34;75;36;39;733;461;272;62;34;28;795;495;300
------;Straftaten insgesamt;9562000;Erlangen;vers.;84;56;28;1;0;1;2;1;1;3;1;2;11;9;2;10;7;3;54;35;19;6;4;2;60;39;21
------;Straftaten insgesamt;9562000;Erlangen;insg.;1,071;654;417;10;8;2;34;18;16;44;26;18;87;51;36;85;43;42;787;496;291;68;38;30;855;534;321
------;Straftaten insgesamt;5113000;Essen;voll.;7,747;4,213;3,534;93;42;51;456;243;213;549;285;264;611;318;293;492;245;247;5,652;3,119;2,533;443;246;197;6,095;3,365;2,730
------;Straftaten insgesamt;5113000;Essen;vers.;486;295;191;3;3;0;23;11;12;26;14;12;32;18;14;38;23;15;354;215;139;36;25;11;390;240;150
------;Straftaten insgesamt;5113000;Essen;insg.;8,233;4,508;3,725;96;45;51;479;254;225;575;299;276;643;336;307;530;268;262;6,006;3,334;2,672;479;271;208;6,485;3,605;2,880
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;12,321;7,910;4,411;96;53;43;316;198;118;412;251;161;516;301;215;837;476;361;9,857;6,466;3,391;699;416;283;10,556;6,882;3,674
------;Straftaten insgesamt;6412000;Frankfurt am Main;vers.;998;720;278;8;4;4;32;19;13;40;23;17;44;26;18;58;40;18;785;586;199;71;45;26;856;631;225
------;Straftaten insgesamt;6412000;Frankfurt am Main;insg.;13,319;8,630;4,689;104;57;47;348;217;131;452;274;178;560;327;233;895;516;379;10,642;7,052;3,590;770;461;309;11,412;7,513;3,899
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;4,005;2,745;1,260;29;19;10;143;82;61;172;101;71;219;126;93;382;250;132;2,961;2,085;876;271;183;88;3,232;2,268;964
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;vers.;314;219;95;4;4;0;5;3;2;9;7;2;7;5;2;27;19;8;241;166;75;30;22;8;271;188;83
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;insg.;4,319;2,964;1,355;33;23;10;148;85;63;181;108;73;226;131;95;409;269;140;3,202;2,251;951;301;205;96;3,503;2,456;1,047
------;Straftaten insgesamt;9563000;F rth;voll.;933;538;395;9;6;3;60;33;27;69;39;30;73;43;30;77;33;44;654;386;268;60;37;23;714;423;291
------;Straftaten insgesamt;9563000;F rth;vers.;82;58;24;0;0;0;3;0;3;3;0;3;9;6;3;8;5;3;53;39;14;9;8;1;62;47;15
------;Straftaten insgesamt;9563000;F rth;insg.;1,015;596;419;9;6;3;63;33;30;72;39;33;82;49;33;85;38;47;707;425;282;69;45;24;776;470;306
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;4,402;2,435;1,967;43;15;28;274;161;113;317;176;141;360;182;178;344;196;148;3,106;1,730;1,376;275;151;124;3,381;1,881;1,500
------;Straftaten insgesamt;5513000;Gelsenkirchen;vers.;256;161;95;2;1;1;14;7;7;16;8;8;27;19;8;10;5;5;174;113;61;29;16;13;203;129;74
------;Straftaten insgesamt;5513000;Gelsenkirchen;insg.;4,658;2,596;2,062;45;16;29;288;168;120;333;184;149;387;201;186;354;201;153;3,280;1,843;1,437;304;167;137;3,584;2,010;1,574
------;Straftaten insgesamt;3159016;G ttingen;voll.;2,006;1,203;803;22;14;8;67;43;24;89;57;32;121;54;67;180;106;74;1,487;907;580;129;79;50;1,616;986;630
------;Straftaten insgesamt;3159016;G ttingen;vers.;198;139;59;2;1;1;2;1;1;4;2;2;10;8;2;17;11;6;150;105;45;17;13;4;167;118;49
------;Straftaten insgesamt;3159016;G ttingen;insg.;2,204;1,342;862;24;15;9;69;44;25;93;59;34;131;62;69;197;117;80;1,637;1,012;625;146;92;54;1,783;1,104;679
------;Straftaten insgesamt;5754008;G tersloh;voll.;1,300;745;555;6;4;2;53;21;32;59;25;34;81;42;39;98;70;28;974;559;415;88;49;39;1,062;608;454
------;Straftaten insgesamt;5754008;G tersloh;vers.;81;48;33;0;0;0;8;6;2;8;6;2;2;0;2;2;2;0;57;37;20;12;3;9;69;40;29
------;Straftaten insgesamt;5754008;G tersloh;insg.;1,381;793;588;6;4;2;61;27;34;67;31;36;83;42;41;100;72;28;1,031;596;435;100;52;48;1,131;648;483
------;Straftaten insgesamt;5914000;Hagen;voll.;2,871;1,676;1,195;32;16;16;186;116;70;218;132;86;225;128;97;209;110;99;2,061;1,197;864;158;109;49;2,219;1,306;913
------;Straftaten insgesamt;5914000;Hagen;vers.;183;106;77;0;0;0;14;5;9;14;5;9;7;6;1;10;3;7;144;88;56;8;4;4;152;92;60
------;Straftaten insgesamt;5914000;Hagen;insg.;3,054;1,782;1,272;32;16;16;200;121;79;232;137;95;232;134;98;219;113;106;2,205;1,285;920;166;113;53;2,371;1,398;973
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;5,118;3,090;2,028;58;33;25;408;229;179;466;262;204;391;229;162;441;258;183;3,556;2,194;1,362;264;147;117;3,820;2,341;1,479
------;Straftaten insgesamt;15002000;Halle (Saale);vers.;403;270;133;3;2;1;11;6;5;14;8;6;28;22;6;28;20;8;303;203;100;30;17;13;333;220;113
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;5,521;3,360;2,161;61;35;26;419;235;184;480;270;210;419;251;168;469;278;191;3,859;2,397;1,462;294;164;130;4,153;2,561;1,592
------;Straftaten insgesamt;2000000;Hamburg;voll.;31,109;18,863;12,246;218;132;86;1,423;792;631;1,641;924;717;1,863;1,028;835;2,316;1,364;952;23,440;14,453;8,987;1,849;1,094;755;25,289;15,547;9,742
------;Straftaten insgesamt;2000000;Hamburg;vers.;1,887;1,294;593;11;7;4;66;41;25;77;48;29;127;86;41;111;82;29;1,447;1,001;446;125;77;48;1,572;1,078;494
------;Straftaten insgesamt;2000000;Hamburg;insg.;32,996;20,157;12,839;229;139;90;1,489;833;656;1,718;972;746;1,990;1,114;876;2,427;1,446;981;24,887;15,454;9,433;1,974;1,171;803;26,861;16,625;10,236
------;Straftaten insgesamt;5915000;Hamm;voll.;2,665;1,439;1,226;36;16;20;177;106;71;213;122;91;262;125;137;181;91;90;1,872;1,022;850;137;79;58;2,009;1,101;908
------;Straftaten insgesamt;5915000;Hamm;vers.;207;127;80;2;1;1;14;9;5;16;10;6;24;15;9;13;6;7;142;90;52;12;6;6;154;96;58
------;Straftaten insgesamt;5915000;Hamm;insg.;2,872;1,566;1,306;38;17;21;191;115;76;229;132;97;286;140;146;194;97;97;2,014;1,112;902;149;85;64;2,163;1,197;966
------;Straftaten insgesamt;3241001;Hannover;voll.;11,426;7,247;4,179;119;64;55;498;311;187;617;375;242;730;393;337;890;590;300;8,590;5,522;3,068;599;367;232;9,189;5,889;3,300
------;Straftaten insgesamt;3241001;Hannover;vers.;917;651;266;9;4;5;28;20;8;37;24;13;62;42;20;60;43;17;704;511;193;54;31;23;758;542;216
------;Straftaten insgesamt;3241001;Hannover;insg.;12,343;7,898;4,445;128;68;60;526;331;195;654;399;255;792;435;357;950;633;317;9,294;6,033;3,261;653;398;255;9,947;6,431;3,516
------;Straftaten insgesamt;8221000;Heidelberg;voll.;1,976;1,251;725;20;13;7;61;36;25;81;49;32;83;54;29;159;91;68;1,516;977;539;137;80;57;1,653;1,057;596
------;Straftaten insgesamt;8221000;Heidelberg;vers.;140;90;50;4;2;2;0;0;0;4;2;2;12;11;1;11;7;4;97;61;36;16;9;7;113;70;43
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2,116;1,341;775;24;15;9;61;36;25;85;51;34;95;65;30;170;98;72;1,613;1,038;575;153;89;64;1,766;1,127;639
------;Straftaten insgesamt;8121000;Heilbronn;voll.;1,548;951;597;17;14;3;59;35;24;76;49;27;96;48;48;121;68;53;1,158;722;436;97;64;33;1,255;786;469
