Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,15002000,Halle (Saale),insg.,5014,3092,1922,44,29,15,401,224,177,445,253,192,447,291,156,422,256,166,3449,2151,1298,251,141,110,3700,2292,1408,2019
------,Straftaten insgesamt,2000000,Hamburg,voll.,31112,18950,12162,226,139,87,1703,1036,667,1929,1175,754,2095,1158,937,2550,1517,1033,22919,14157,8762,1619,943,676,24538,15100,9438,2019
------,Straftaten insgesamt,2000000,Hamburg,vers.,1789,1197,592,10,5,5,104,70,34,114,75,39,108,66,42,136,85,51,1312,899,413,119,72,47,1431,971,460,2019
------,Straftaten insgesamt,2000000,Hamburg,insg.,32901,20147,12754,236,144,92,1807,1106,701,2043,1250,793,2203,1224,979,2686,1602,1084,24231,15056,9175,1738,1015,723,25969,16071,9898,2019
------,Straftaten insgesamt,5915000,Hamm,voll.,2462,1331,1131,28,19,9,133,76,57,161,95,66,248,112,136,193,109,84,1736,950,786,124,65,59,1860,1015,845,2019
------,Straftaten insgesamt,5915000,Hamm,vers.,125,70,55,5,1,4,6,1,5,11,2,9,12,6,6,10,6,4,85,52,33,7,4,3,92,56,36,2019
------,Straftaten insgesamt,5915000,Hamm,insg.,2587,1401,1186,33,20,13,139,77,62,172,97,75,260,118,142,203,115,88,1821,1002,819,131,69,62,1952,1071,881,2019
------,Straftaten insgesamt,3241001,Hannover,voll.,11435,7270,4165,92,51,41,488,275,213,580,326,254,764,449,315,953,609,344,8601,5567,3034,537,319,218,9138,5886,3252,2019
------,Straftaten insgesamt,3241001,Hannover,vers.,834,606,228,6,4,2,11,7,4,17,11,6,48,32,16,66,41,25,649,491,158,54,31,23,703,522,181,2019
------,Straftaten insgesamt,3241001,Hannover,insg.,12269,7876,4393,98,55,43,499,282,217,597,337,260,812,481,331,1019,650,369,9250,6058,3192,591,350,241,9841,6408,3433,2019
------,Straftaten insgesamt,8221000,Heidelberg,voll.,1963,1274,689,21,13,8,89,34,55,110,47,63,91,58,33,168,110,58,1478,988,490,116,71,45,1594,1059,535,2019
------,Straftaten insgesamt,8221000,Heidelberg,vers.,117,80,37,1,1,0,6,5,1,7,6,1,3,1,2,4,4,0,90,64,26,13,5,8,103,69,34,2019
------,Straftaten insgesamt,8221000,Heidelberg,insg.,2080,1354,726,22,14,8,95,39,56,117,53,64,94,59,35,172,114,58,1568,1052,516,129,76,53,1697,1128,569,2019
------,Straftaten insgesamt,8121000,Heilbronn,voll.,1485,876,609,18,14,4,65,36,29,83,50,33,109,62,47,132,78,54,1092,641,451,69,45,24,1161,686,475,2019
------,Straftaten insgesamt,8121000,Heilbronn,vers.,84,59,25,1,0,1,3,1,2,4,1,3,3,3,0,7,3,4,60,44,16,10,8,2,70,52,18,2019
------,Straftaten insgesamt,8121000,Heilbronn,insg.,1569,935,634,19,14,5,68,37,31,87,51,36,112,65,47,139,81,58,1152,685,467,79,53,26,1231,738,493,2019
------,Straftaten insgesamt,5916000,Herne,voll.,2406,1289,1117,19,10,9,158,94,64,177,104,73,249,150,99,189,83,106,1655,885,770,136,67,69,1791,952,839,2019
------,Straftaten insgesamt,5916000,Herne,vers.,163,99,64,0,0,0,6,4,2,6,4,2,15,9,6,19,10,9,111,70,41,12,6,6,123,76,47,2019
------,Straftaten insgesamt,5916000,Herne,insg.,2569,1388,1181,19,10,9,164,98,66,183,108,75,264,159,105,208,93,115,1766,955,811,148,73,75,1914,1028,886,2019
------,Straftaten insgesamt,3254021,Hildesheim,voll.,1773,975,798,15,7,8,98,61,37,113,68,45,178,80,98,153,81,72,1233,692,541,96,54,42,1329,746,583,2019
------,Straftaten insgesamt,3254021,Hildesheim,vers.,93,58,35,0,0,0,6,3,3,6,3,3,8,4,4,8,4,4,65,44,21,6,3,3,71,47,24,2019
------,Straftaten insgesamt,3254021,Hildesheim,insg.,1866,1033,833,15,7,8,104,64,40,119,71,48,186,84,102,161,85,76,1298,736,562,102,57,45,1400,793,607,2019
------,Straftaten insgesamt,9161000,Ingolstadt,voll.,1954,1251,703,25,15,10,101,53,48,126,68,58,143,80,63,177,127,50,1414,922,492,94,54,40,1508,976,532,2019
------,Straftaten insgesamt,9161000,Ingolstadt,vers.,181,123,58,6,1,5,5,2,3,11,3,8,11,5,6,17,15,2,136,95,41,6,5,1,142,100,42,2019
------,Straftaten insgesamt,9161000,Ingolstadt,insg.,2135,1374,761,31,16,15,106,55,51,137,71,66,154,85,69,194,142,52,1550,1017,533,100,59,41,1650,1076,574,2019
------,Straftaten insgesamt,16053000,Jena,voll.,1263,718,545,25,9,16,217,39,178,242,48,194,69,35,34,100,71,29,801,542,259,51,22,29,852,564,288,2019
------,Straftaten insgesamt,16053000,Jena,vers.,98,67,31,3,1,2,6,3,3,9,4,5,5,3,2,9,7,2,67,48,19,8,5,3,75,53,22,2019
------,Straftaten insgesamt,16053000,Jena,insg.,1361,785,576,28,10,18,223,42,181,251,52,199,74,38,36,109,78,31,868,590,278,59,27,32,927,617,310,2019
------,Straftaten insgesamt,8212000,Karlsruhe,voll.,3466,2200,1266,30,22,8,165,81,84,195,103,92,254,138,116,319,211,108,2502,1642,860,196,106,90,2698,1748,950,2019
------,Straftaten insgesamt,8212000,Karlsruhe,vers.,252,194,58,8,7,1,5,4,1,13,11,2,11,8,3,31,24,7,182,141,41,15,10,5,197,151,46,2019
