1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
------;Straftaten insgesamt;5334002;Aachen;M;9663;18;4;8;25;47;102;358;832;1190;1198;2490;695;703;1398;1551;1963;1131;742;388;7173
------;Straftaten insgesamt;5334002;Aachen;W;2649;12;2;6;17;49;86;166;175;341;300;727;176;164;340;377;459;361;228;157;1922
------;Straftaten insgesamt;5334002;Aachen;X;12312;30;6;14;42;96;188;524;1007;1531;1498;3217;871;867;1738;1928;2422;1492;970;545;9095
------;Straftaten insgesamt;9761000;Augsburg;M;10498;4;6;20;49;93;172;394;742;1136;1373;2681;823;734;1557;1588;2085;1375;769;443;7817
------;Straftaten insgesamt;9761000;Augsburg;W;3201;2;2;2;11;42;59;167;205;372;317;748;212;194;406;448;671;443;260;225;2453
------;Straftaten insgesamt;9761000;Augsburg;X;13699;6;8;22;60;135;231;561;947;1508;1690;3429;1035;928;1963;2036;2756;1818;1029;668;10270
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1959;0;5;3;8;24;40;84;120;204;189;433;106;100;206;250;395;344;190;141;1526
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;645;1;0;0;4;14;19;30;31;61;58;138;30;35;65;75;130;95;82;60;507
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2604;1;5;3;12;38;59;114;151;265;247;571;136;135;271;325;525;439;272;201;2033
------;Straftaten insgesamt;11000000;Berlin;M;110643;70;153;391;772;1321;2707;2704;4363;7067;8897;18671;6707;6974;13681;17509;26519;17535;10505;6223;91972
------;Straftaten insgesamt;11000000;Berlin;W;39791;43;40;122;263;636;1104;1513;1673;3186;3157;7447;2393;2480;4873;5973;8621;5930;3922;3025;32344
------;Straftaten insgesamt;11000000;Berlin;X;150434;113;193;513;1035;1957;3811;4217;6036;10253;12054;26118;9100;9454;18554;23482;35140;23465;14427;9248;124316
------;Straftaten insgesamt;5711000;Bielefeld;M;8742;3;2;13;39;77;134;260;580;840;858;1832;619;609;1228;1413;1927;1272;643;427;6910
------;Straftaten insgesamt;5711000;Bielefeld;W;2552;4;3;9;16;56;88;103;140;243;205;536;152;159;311;346;540;398;230;191;2016
------;Straftaten insgesamt;5711000;Bielefeld;X;11294;7;5;22;55;133;222;363;720;1083;1063;2368;771;768;1539;1759;2467;1670;873;618;8926
------;Straftaten insgesamt;5911000;Bochum;M;9599;1;10;26;49;101;187;253;437;690;1017;1894;699;688;1387;1436;2102;1412;863;505;7705
------;Straftaten insgesamt;5911000;Bochum;W;2962;1;0;1;21;55;78;132;168;300;267;645;175;168;343;416;584;414;317;243;2317
------;Straftaten insgesamt;5911000;Bochum;X;12561;2;10;27;70;156;265;385;605;990;1284;2539;874;856;1730;1852;2686;1826;1180;748;10022
------;Straftaten insgesamt;5314000;Bonn;M;8828;2;8;14;44;103;171;305;464;769;938;1878;644;600;1244;1235;1898;1330;773;470;6950
------;Straftaten insgesamt;5314000;Bonn;W;2988;0;2;2;11;45;60;155;174;329;270;659;191;182;373;363;610;464;304;215;2329
------;Straftaten insgesamt;5314000;Bonn;X;11816;2;10;16;55;148;231;460;638;1098;1208;2537;835;782;1617;1598;2508;1794;1077;685;9279
------;Straftaten insgesamt;5512000;Bottrop;M;2449;0;0;3;16;40;59;75;96;171;249;479;165;170;335;367;512;379;251;126;1970
------;Straftaten insgesamt;5512000;Bottrop;W;802;0;0;2;7;20;29;45;26;71;79;179;47;59;106;91;146;145;80;55;623
------;Straftaten insgesamt;5512000;Bottrop;X;3251;0;0;5;23;60;88;120;122;242;328;658;212;229;441;458;658;524;331;181;2593
------;Straftaten insgesamt;3101000;Braunschweig;M;8854;6;14;23;30;88;161;230;425;655;1034;1850;763;750;1513;1579;1816;1069;620;407;7004
------;Straftaten insgesamt;3101000;Braunschweig;W;2366;2;2;5;10;36;55;126;157;283;232;570;139;139;278;290;460;343;228;197;1796
------;Straftaten insgesamt;3101000;Braunschweig;X;11220;8;16;28;40;124;216;356;582;938;1266;2420;902;889;1791;1869;2276;1412;848;604;8800
------;Straftaten insgesamt;4011000;Bremen;M;18028;16;14;56;73;167;326;662;1908;2570;1883;4779;1200;1187;2387;2580;3699;2416;1366;801;13249
------;Straftaten insgesamt;4011000;Bremen;W;5211;6;4;15;36;88;149;250;342;592;469;1210;331;326;657;729;1036;711;523;345;4001
------;Straftaten insgesamt;4011000;Bremen;X;23239;22;18;71;109;255;475;912;2250;3162;2352;5989;1531;1513;3044;3309;4735;3127;1889;1146;17250
------;Straftaten insgesamt;4012000;Bremerhaven;M;3572;2;7;21;33;60;123;76;145;221;307;651;264;229;493;558;792;567;326;185;2921
------;Straftaten insgesamt;4012000;Bremerhaven;W;1115;0;3;2;16;34;55;53;36;89;117;261;64;76;140;152;218;178;100;66;854
------;Straftaten insgesamt;4012000;Bremerhaven;X;4687;2;10;23;49;94;178;129;181;310;424;912;328;305;633;710;1010;745;426;251;3775
------;Straftaten insgesamt;14511000;Chemnitz;M;9126;80;29;33;59;92;293;250;427;677;928;1898;654;640;1294;1687;2148;1082;628;389;7228
------;Straftaten insgesamt;14511000;Chemnitz;W;3375;64;14;16;26;71;191;162;169;331;247;769;179;194;373;579;760;410;256;228;2606
------;Straftaten insgesamt;14511000;Chemnitz;X;12501;144;43;49;85;163;484;412;596;1008;1175;2667;833;834;1667;2266;2908;1492;884;617;9834
------;Straftaten insgesamt;6411000;Darmstadt;M;4234;3;3;4;4;34;48;109;239;348;468;864;310;295;605;636;924;613;405;187;3370
------;Straftaten insgesamt;6411000;Darmstadt;W;1385;3;2;1;7;18;31;85;87;172;150;353;94;83;177;193;278;183;121;80;1032
------;Straftaten insgesamt;6411000;Darmstadt;X;5619;6;5;5;11;52;79;194;326;520;618;1217;404;378;782;829;1202;796;526;267;4402
------;Straftaten insgesamt;5913000;Dortmund;M;22075;15;24;43;96;220;398;764;1641;2405;2604;5407;1691;1641;3332;3642;4452;2883;1530;829;16668
------;Straftaten insgesamt;5913000;Dortmund;W;6118;6;10;24;47;124;211;368;436;804;615;1630;407;400;807;867;1132;831;489;362;4488
------;Straftaten insgesamt;5913000;Dortmund;X;28193;21;34;67;143;344;609;1132;2077;3209;3219;7037;2098;2041;4139;4509;5584;3714;2019;1191;21156
------;Straftaten insgesamt;14612000;Dresden;M;12939;22;16;34;91;152;315;278;422;700;1044;2059;757;868;1625;2394;3332;1750;1031;748;10880
------;Straftaten insgesamt;14612000;Dresden;W;4593;10;11;11;28;49;109;172;180;352;272;733;237;284;521;790;992;611;460;486;3860
------;Straftaten insgesamt;14612000;Dresden;X;17532;32;27;45;119;201;424;450;602;1052;1316;2792;994;1152;2146;3184;4324;2361;1491;1234;14740
------;Straftaten insgesamt;5112000;Duisburg;M;14628;3;19;64;132;252;470;470;641;1111;1361;2942;980;999;1979;2269;3352;2260;1160;666;11686
------;Straftaten insgesamt;5112000;Duisburg;W;4833;3;5;27;62;119;216;233;231;464;461;1141;337;315;652;671;969;701;424;275;3692
------;Straftaten insgesamt;5112000;Duisburg;X;19461;6;24;91;194;371;686;703;872;1575;1822;4083;1317;1314;2631;2940;4321;2961;1584;941;15378
------;Straftaten insgesamt;5111000;Düsseldorf;M;21860;62;31;43;86;181;403;440;1027;1467;2423;4293;1593;1632;3225;3550;4919;3105;1719;1049;17567
------;Straftaten insgesamt;5111000;Düsseldorf;W;7148;58;11;25;51;119;264;297;412;709;654;1627;449;434;883;938;1374;1031;697;598;5521
------;Straftaten insgesamt;5111000;Düsseldorf;X;29008;120;42;68;137;300;667;737;1439;2176;3077;5920;2042;2066;4108;4488;6293;4136;2416;1647;23088
------;Straftaten insgesamt;16051000;Erfurt;M;6305;4;9;29;49;79;170;197;297;494;532;1196;390;408;798;1157;1479;780;514;381;5109
------;Straftaten insgesamt;16051000;Erfurt;W;2539;6;9;12;23;54;104;145;111;256;225;585;147;174;321;432;536;276;194;195;1954
------;Straftaten insgesamt;16051000;Erfurt;X;8844;10;18;41;72;133;274;342;408;750;757;1781;537;582;1119;1589;2015;1056;708;576;7063
------;Straftaten insgesamt;9562000;Erlangen;M;2339;0;1;6;11;31;49;64;135;199;305;553;198;161;359;370;470;297;183;107;1786
------;Straftaten insgesamt;9562000;Erlangen;W;726;0;0;1;3;18;22;40;50;90;68;180;47;47;94;106;114;94;60;78;546
