1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
------;Straftaten insgesamt;5334002;Aachen;M;8,780;15;9;16;23;79;142;292;548;840;1,098;2,080;634;596;1,230;1,312;1,864;1,095;762;437;6,700
------;Straftaten insgesamt;5334002;Aachen;W;2,294;17;4;5;12;47;85;148;181;329;221;635;123;111;234;305;443;326;205;146;1,659
------;Straftaten insgesamt;5334002;Aachen;X;11,074;32;13;21;35;126;227;440;729;1,169;1,319;2,715;757;707;1,464;1,617;2,307;1,421;967;583;8,359
------;Straftaten insgesamt;9761000;Augsburg;M;7,903;0;9;30;52;112;203;238;399;637;941;1,781;588;518;1,106;1,119;1,576;1,093;743;485;6,122
------;Straftaten insgesamt;9761000;Augsburg;W;2,415;0;2;4;27;56;89;118;144;262;245;596;136;119;255;291;470;329;235;239;1,819
------;Straftaten insgesamt;9761000;Augsburg;X;10,318;0;11;34;79;168;292;356;543;899;1,186;2,377;724;637;1,361;1,410;2,046;1,422;978;724;7,941
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1,921;0;1;3;4;34;42;107;126;233;181;456;103;93;196;232;383;284;220;150;1,465
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;632;0;2;1;4;25;32;42;40;82;45;159;22;21;43;73;121;109;75;52;473
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2,553;0;3;4;8;59;74;149;166;315;226;615;125;114;239;305;504;393;295;202;1,938
------;Straftaten insgesamt;11000000;Berlin;M;101,377;111;168;441;831;1,561;3,112;2,881;3,977;6,858;7,941;17,911;5,605;5,537;11,142;14,718;25,136;15,934;10,432;6,104;83,466
------;Straftaten insgesamt;11000000;Berlin;W;35,695;95;52;125;319;883;1,474;1,671;1,600;3,271;2,543;7,288;1,818;1,815;3,633;4,903;8,214;5,203;3,693;2,761;28,407
------;Straftaten insgesamt;11000000;Berlin;X;137,072;206;220;566;1,150;2,444;4,586;4,552;5,577;10,129;10,484;25,199;7,423;7,352;14,775;19,621;33,350;21,137;14,125;8,865;111,873
------;Straftaten insgesamt;5711000;Bielefeld;M;7,843;11;12;15;34;109;181;243;387;630;767;1,578;539;522;1,061;1,223;1,786;1,134;689;372;6,265
------;Straftaten insgesamt;5711000;Bielefeld;W;2,397;12;2;9;11;54;88;153;170;323;200;611;129;126;255;291;504;358;213;165;1,786
------;Straftaten insgesamt;5711000;Bielefeld;X;10,240;23;14;24;45;163;269;396;557;953;967;2,189;668;648;1,316;1,514;2,290;1,492;902;537;8,051
------;Straftaten insgesamt;5911000;Bochum;M;9,100;5;12;29;76;155;277;259;514;773;928;1,978;608;607;1,215;1,326;1,923;1,280;858;520;7,122
------;Straftaten insgesamt;5911000;Bochum;W;2,872;4;6;10;25;66;111;143;145;288;240;639;150;159;309;375;586;415;320;228;2,233
------;Straftaten insgesamt;5911000;Bochum;X;11,972;9;18;39;101;221;388;402;659;1,061;1,168;2,617;758;766;1,524;1,701;2,509;1,695;1,178;748;9,355
------;Straftaten insgesamt;5314000;Bonn;M;7,802;1;7;15;35;92;150;293;441;734;836;1,720;497;493;990;1,131;1,687;1,126;747;401;6,082
------;Straftaten insgesamt;5314000;Bonn;W;2,417;3;2;6;36;69;116;132;138;270;190;576;111;104;215;294;480;344;301;207;1,841
------;Straftaten insgesamt;5314000;Bonn;X;10,219;4;9;21;71;161;266;425;579;1,004;1,026;2,296;608;597;1,205;1,425;2,167;1,470;1,048;608;7,923
------;Straftaten insgesamt;5512000;Bottrop;M;2,104;2;3;2;13;47;67;59;109;168;178;413;114;99;213;304;487;340;224;123;1,691
------;Straftaten insgesamt;5512000;Bottrop;W;730;0;1;1;10;22;34;31;35;66;55;155;22;29;51;103;159;117;74;71;575
------;Straftaten insgesamt;5512000;Bottrop;X;2,834;2;4;3;23;69;101;90;144;234;233;568;136;128;264;407;646;457;298;194;2,266
------;Straftaten insgesamt;3101000;Braunschweig;M;6,855;6;3;39;43;76;167;179;340;519;768;1,454;493;499;992;1,051;1,460;947;582;369;5,401
------;Straftaten insgesamt;3101000;Braunschweig;W;2,190;1;4;9;26;63;103;86;134;220;213;536;122;128;250;269;433;315;218;169;1,654
------;Straftaten insgesamt;3101000;Braunschweig;X;9,045;7;7;48;69;139;270;265;474;739;981;1,990;615;627;1,242;1,320;1,893;1,262;800;538;7,055
------;Straftaten insgesamt;4011000;Bremen;M;15,347;7;7;32;66;164;276;545;978;1,523;1,625;3,424;1,021;955;1,976;2,240;3,491;2,149;1,359;708;11,923
------;Straftaten insgesamt;4011000;Bremen;W;4,655;5;1;8;33;94;141;220;241;461;409;1,011;275;211;486;614;1,086;644;479;335;3,644
------;Straftaten insgesamt;4011000;Bremen;X;20,002;12;8;40;99;258;417;765;1,219;1,984;2,034;4,435;1,296;1,166;2,462;2,854;4,577;2,793;1,838;1,043;15,567
------;Straftaten insgesamt;4012000;Bremerhaven;M;3,219;4;7;13;29;62;115;96;143;239;306;660;197;160;357;476;817;456;296;157;2,559
------;Straftaten insgesamt;4012000;Bremerhaven;W;913;1;2;7;12;29;51;49;52;101;73;225;46;57;103;98;194;157;85;51;688
------;Straftaten insgesamt;4012000;Bremerhaven;X;4,132;5;9;20;41;91;166;145;195;340;379;885;243;217;460;574;1,011;613;381;208;3,247
------;Straftaten insgesamt;14511000;Chemnitz;M;6,558;83;31;41;65;100;320;209;308;517;614;1,451;395;422;817;1,016;1,626;796;466;386;5,107
------;Straftaten insgesamt;14511000;Chemnitz;W;2,425;81;23;33;38;77;252;113;125;238;166;656;112;110;222;298;577;294;201;177;1,769
