Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8111000;Stuttgart;X;3,375;0;8;13;25;72;118;100;92;192;215;525;188;172;360;487;892;581;329;201;2,850
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7211000;Trier;M;566;0;0;3;2;13;18;26;35;61;52;131;32;35;67;86;136;78;41;27;435
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7211000;Trier;W;151;0;0;1;1;8;10;18;7;25;13;48;6;9;15;21;32;21;6;8;103
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7211000;Trier;X;717;0;0;4;3;21;28;44;42;86;65;179;38;44;82;107;168;99;47;35;538
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8421000;Ulm;M;510;0;1;3;4;12;20;12;13;25;44;89;23;25;48;77;135;87;47;27;421
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8421000;Ulm;W;143;0;0;0;0;5;5;3;9;12;6;23;5;11;16;20;30;30;16;8;120
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8421000;Ulm;X;653;0;1;3;4;17;25;15;22;37;50;112;28;36;64;97;165;117;63;35;541
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6414000;Wiesbaden;M;1,106;0;2;1;19;20;42;39;33;72;70;184;43;54;97;132;277;226;118;72;922
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6414000;Wiesbaden;W;320;0;0;2;3;11;16;17;10;27;21;64;11;13;24;36;74;60;37;25;256
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6414000;Wiesbaden;X;1,426;0;2;3;22;31;58;56;43;99;91;248;54;67;121;168;351;286;155;97;1,178
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3103000;Wolfsburg;M;461;0;0;1;6;11;18;18;12;30;24;72;20;19;39;61;116;94;45;34;389
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3103000;Wolfsburg;W;139;0;0;0;0;2;2;6;0;6;10;18;5;4;9;18;42;30;16;6;121
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3103000;Wolfsburg;X;600;0;0;1;6;13;20;24;12;36;34;90;25;23;48;79;158;124;61;40;510
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5124000;Wuppertal;M;1,704;2;1;13;23;60;99;81;80;161;105;365;64;81;145;190;378;317;185;124;1,339
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5124000;Wuppertal;W;528;0;0;4;7;19;30;31;22;53;39;122;22;21;43;60;127;84;65;27;406
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5124000;Wuppertal;X;2,232;2;1;17;30;79;129;112;102;214;144;487;86;102;188;250;505;401;250;151;1,745
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9663000;Würzburg;M;477;0;1;0;3;9;13;15;24;39;62;114;41;27;68;73;106;53;43;20;363
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9663000;Würzburg;W;119;0;0;0;1;3;4;7;6;13;9;26;6;6;12;16;27;17;13;8;93
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9663000;Würzburg;X;596;0;1;0;4;12;17;22;30;52;71;140;47;33;80;89;133;70;56;28;456
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5334002;Aachen;M;1,396;0;1;4;14;42;61;97;88;185;101;347;72;74;146;159;301;239;139;65;1,049
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5334002;Aachen;W;738;0;0;1;10;64;75;111;79;190;55;320;27;20;47;54;109;92;63;53;418
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5334002;Aachen;X;2,134;0;1;5;24;106;136;208;167;375;156;667;99;94;193;213;410;331;202;118;1,467
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9761000;Augsburg;M;1,084;0;1;9;40;73;123;87;87;174;93;390;53;66;119;104;164;141;89;77;694
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9761000;Augsburg;W;794;0;0;3;18;79;100;130;77;207;53;360;40;31;71;46;112;82;49;74;434
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9761000;Augsburg;X;1,878;0;1;12;58;152;223;217;164;381;146;750;93;97;190;150;276;223;138;151;1,128
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5378004;Bergisch Gladbach;M;289;0;1;3;6;12;22;25;31;56;16;94;17;11;28;30;40;45;28;24;195
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5378004;Bergisch Gladbach;W;151;0;0;1;8;17;26;24;12;36;13;75;1;3;4;4;16;15;12;25;76
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5378004;Bergisch Gladbach;X;440;0;1;4;14;29;48;49;43;92;29;169;18;14;32;34;56;60;40;49;271
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;11000000;Berlin;M;16,718;10;22;105;182;581;900;967;942;1,909;1,161;3,970;799;853;1,652;2,159;4,222;2,653;1,215;847;12,748
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;11000000;Berlin;W;8,823;6;15;46;183;707;957;1,025;669;1,694;652;3,303;430;385;815;904;1,522;937;586;756;5,520
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;11000000;Berlin;X;25,541;16;37;151;365;1,288;1,857;1,992;1,611;3,603;1,813;7,273;1,229;1,238;2,467;3,063;5,744;3,590;1,801;1,603;18,268
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5711000;Bielefeld;M;1,549;0;1;1;15;53;70;116;105;221;134;425;85;94;179;206;353;219;94;73;1,124
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5711000;Bielefeld;W;904;0;1;0;10;65;76;164;122;286;90;452;35;35;70;67;118;86;61;50;452
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5711000;Bielefeld;X;2,453;0;2;1;25;118;146;280;227;507;224;877;120;129;249;273;471;305;155;123;1,576
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5911000;Bochum;M;1,463;1;5;13;32;61;112;106;117;223;102;437;66;63;129;174;288;219;129;87;1,026
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5911000;Bochum;W;906;0;3;3;35;91;132;82;83;165;67;364;38;26;64;66;137;93;79;103;542
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5911000;Bochum;X;2,369;1;8;16;67;152;244;188;200;388;169;801;104;89;193;240;425;312;208;190;1,568
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5314000;Bonn;M;1,439;0;0;2;20;38;60;84;113;197;117;374;69;107;176;209;301;223;98;58;1,065
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5314000;Bonn;W;687;0;2;4;16;48;70;102;77;179;39;288;29;33;62;48;85;84;53;67;399
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5314000;Bonn;X;2,126;0;2;6;36;86;130;186;190;376;156;662;98;140;238;257;386;307;151;125;1,464
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5512000;Bottrop;M;322;0;1;0;11;27;39;31;23;54;16;109;11;8;19;25;68;51;37;13;213
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5512000;Bottrop;W;189;0;0;1;7;19;27;24;11;35;7;69;12;2;14;17;31;19;23;16;120
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5512000;Bottrop;X;511;0;1;1;18;46;66;55;34;89;23;178;23;10;33;42;99;70;60;29;333
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3101000;Braunschweig;M;1,294;2;2;4;26;58;92;87;90;177;111;380;73;72;145;133;283;164;104;85;914
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3101000;Braunschweig;W;660;1;4;4;22;65;96;84;62;146;60;302;30;28;58;44;90;49;48;69;358
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3101000;Braunschweig;X;1,954;3;6;8;48;123;188;171;152;323;171;682;103;100;203;177;373;213;152;154;1,272
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4011000;Bremen;M;3,251;2;3;11;41;65;122;129;222;351;279;752;174;179;353;400;747;577;275;147;2,499
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4011000;Bremen;W;1,448;0;0;6;34;78;118;141;91;232;130;480;73;64;137;158;253;191;114;115;968
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4011000;Bremen;X;4,699;2;3;17;75;143;240;270;313;583;409;1,232;247;243;490;558;1,000;768;389;262;3,467
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4012000;Bremerhaven;M;666;1;1;10;17;30;59;41;34;75;42;176;19;35;54;70;157;131;51;27;490
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4012000;Bremerhaven;W;390;0;5;2;16;42;65;54;32;86;23;174;8;14;22;34;70;38;24;28;216
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;4012000;Bremerhaven;X;1,056;1;6;12;33;72;124;95;66;161;65;350;27;49;76;104;227;169;75;55;706
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14511000;Chemnitz;M;1,105;1;6;17;21;48;93;76;67;143;90;326;47;70;117;131;250;151;64;66;779
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14511000;Chemnitz;W;587;0;1;6;14;62;83;78;68;146;41;270;16;18;34;47;101;42;40;53;317
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14511000;Chemnitz;X;1,692;1;7;23;35;110;176;154;135;289;131;596;63;88;151;178;351;193;104;119;1,096
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6411000;Darmstadt;M;1,003;0;0;4;10;50;64;66;74;140;75;279;63;65;128;135;202;146;70;43;724
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6411000;Darmstadt;W;613;0;0;1;9;66;76;139;83;222;47;345;13;22;35;31;71;59;41;31;268
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6411000;Darmstadt;X;1,616;0;0;5;19;116;140;205;157;362;122;624;76;87;163;166;273;205;111;74;992
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5913000;Dortmund;M;3,404;0;9;26;52;144;231;248;302;550;288;1,069;172;179;351;464;703;457;220;140;2,335
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5913000;Dortmund;W;1,575;0;1;5;39;183;228;232;205;437;144;809;64;48;112;125;202;144;89;94;766
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5913000;Dortmund;X;4,979;0;10;31;91;327;459;480;507;987;432;1,878;236;227;463;589;905;601;309;234;3,101
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14612000;Dresden;M;2,507;3;4;18;64;119;208;156;147;303;179;690;134;126;260;294;572;389;154;148;1,817
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14612000;Dresden;W;1,282;0;1;10;35;148;194;201;127;328;90;612;27;41;68;93;196;124;57;132;670
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;14612000;Dresden;X;3,789;3;5;28;99;267;402;357;274;631;269;1,302;161;167;328;387;768;513;211;280;2,487
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5112000;Duisburg;M;2,057;0;4;15;49;96;164;161;117;278;129;571;89;98;187;228;440;339;191;101;1,486
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5112000;Duisburg;W;1,279;0;3;7;47;134;191;133;108;241;114;546;66;48;114;117;207;116;85;94;733
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5112000;Duisburg;X;3,336;0;7;22;96;230;355;294;225;519;243;1,117;155;146;301;345;647;455;276;195;2,219
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5111000;Düsseldorf;M;3,284;0;3;13;27;103;146;197;227;424;251;821;188;183;371;450;714;486;236;206;2,463
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5111000;Düsseldorf;W;1,746;0;3;5;33;124;165;269;189;458;140;763;74;64;138;125;262;172;120;166;983
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5111000;Düsseldorf;X;5,030;0;6;18;60;227;311;466;416;882;391;1,584;262;247;509;575;976;658;356;372;3,446
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16051000;Erfurt;M;1,397;0;3;13;28;50;94;98;66;164;132;390;96;69;165;154;334;186;84;84;1,007
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16051000;Erfurt;W;779;0;1;3;20;87;111;87;59;146;53;310;40;30;70;62;119;71;59;88;469
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16051000;Erfurt;X;2,176;0;4;16;48;137;205;185;125;310;185;700;136;99;235;216;453;257;143;172;1,476
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9562000;Erlangen;M;621;0;1;3;11;31;46;40;45;85;53;184;48;48;96;66;128;64;46;37;437
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9562000;Erlangen;W;342;0;0;2;5;34;41;44;40;84;42;167;11;10;21;22;39;43;29;21;175
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9562000;Erlangen;X;963;0;1;5;16;65;87;84;85;169;95;351;59;58;117;88;167;107;75;58;612
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5113000;Essen;M;2,913;1;5;11;32;89;138;166;171;337;201;676;145;158;303;374;651;460;262;187;2,237
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5113000;Essen;W;1,618;0;5;9;33;130;177;197;137;334;120;631;82;70;152;133;244;170;133;155;987
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5113000;Essen;X;4,531;1;10;20;65;219;315;363;308;671;321;1,307;227;228;455;507;895;630;395;342;3,224
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6412000;Frankfurt am Main;M;4,541;1;3;8;13;70;95;160;269;429;358;882;268;310;578;681;1,142;693;361;204;3,659
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6412000;Frankfurt am Main;W;1,644;3;1;2;18;79;103;163;110;273;151;527;78;68;146;139;290;243;160;139;1,117
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6412000;Frankfurt am Main;X;6,185;4;4;10;31;149;198;323;379;702;509;1,409;346;378;724;820;1,432;936;521;343;4,776
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8311000;Freiburg im Breisgau;M;1,608;0;4;10;21;52;87;102;128;230;157;474;97;122;219;266;303;155;87;104;1,134
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8311000;Freiburg im Breisgau;W;954;0;1;1;23;83;108;155;116;271;90;469;54;45;99;71;106;89;53;67;485
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8311000;Freiburg im Breisgau;X;2,562;0;5;11;44;135;195;257;244;501;247;943;151;167;318;337;409;244;140;171;1,619
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9563000;Fürth;M;494;0;2;6;11;22;41;40;34;74;34;149;24;20;44;52;102;67;37;43;345
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9563000;Fürth;W;323;1;3;1;5;35;45;38;21;59;27;131;20;10;30;18;42;45;23;34;192
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9563000;Fürth;X;817;1;5;7;16;57;86;78;55;133;61;280;44;30;74;70;144;112;60;77;537
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5513000;Gelsenkirchen;M;1,037;1;3;14;34;53;105;99;60;159;64;328;48;49;97;117;200;160;85;50;709
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5513000;Gelsenkirchen;W;800;1;0;5;29;79;114;79;70;149;44;307;45;37;82;93;129;79;60;50;493
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5513000;Gelsenkirchen;X;1,837;2;3;19;63;132;219;178;130;308;108;635;93;86;179;210;329;239;145;100;1,202
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3159016;Göttingen;M;670;0;2;8;6;19;35;39;50;89;46;170;42;37;79;91;141;91;57;41;500
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3159016;Göttingen;W;508;2;2;0;6;26;36;70;64;134;50;220;30;25;55;49;60;54;38;32;288
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3159016;Göttingen;X;1,178;2;4;8;12;45;71;109;114;223;96;390;72;62;134;140;201;145;95;73;788
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5754008;Gütersloh;M;520;1;0;0;8;15;24;23;22;45;45;114;25;31;56;61;142;71;45;31;406
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5754008;Gütersloh;W;225;0;0;1;10;17;28;19;9;28;12;68;8;8;16;23;44;34;22;18;157
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5754008;Gütersloh;X;745;1;0;1;18;32;52;42;31;73;57;182;33;39;72;84;186;105;67;49;563
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5914000;Hagen;M;992;0;8;24;42;64;138;68;73;141;64;343;37;39;76;94;186;151;91;51;649
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5914000;Hagen;W;686;1;3;6;38;100;148;91;57;148;61;357;25;22;47;48;89;60;38;47;329
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5914000;Hagen;X;1,678;1;11;30;80;164;286;159;130;289;125;700;62;61;123;142;275;211;129;98;978
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;15002000;Halle (Saale);M;1,323;1;6;12;31;49;99;103;70;173;81;353;58;75;133;132;357;177;93;78;970
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;15002000;Halle (Saale);W;682;2;6;7;29;84;128;80;55;135;30;293;19;30;49;61;117;52;33;77;389
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;15002000;Halle (Saale);X;2,005;3;12;19;60;133;227;183;125;308;111;646;77;105;182;193;474;229;126;155;1,359
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;2000000;Hamburg;M;11,122;3;10;53;147;275;488;497;543;1,040;759;2,287;569;596;1,165;1,472;2,802;1,812;957;627;8,835
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;2000000;Hamburg;W;5,363;1;2;24;104;409;540;615;456;1,071;438;2,049;216;215;431;470;884;646;423;460;3,314
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;2000000;Hamburg;X;16,485;4;12;77;251;684;1,028;1,112;999;2,111;1,197;4,336;785;811;1,596;1,942;3,686;2,458;1,380;1,087;12,149
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5915000;Hamm;M;1,162;1;1;7;13;36;58;48;53;101;106;265;71;65;136;150;270;201;97;43;897
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5915000;Hamm;W;537;0;0;2;12;58;72;72;47;119;54;245;22;23;45;37;87;61;33;29;292
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5915000;Hamm;X;1,699;1;1;9;25;94;130;120;100;220;160;510;93;88;181;187;357;262;130;72;1,189
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6435014;Hanau;M;557;0;2;6;6;28;42;37;35;72;55;169;35;29;64;79;102;68;43;32;388
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6435014;Hanau;W;311;0;0;1;7;35;43;56;31;87;26;156;10;13;23;21;32;32;17;30;155
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;6435014;Hanau;X;868;0;2;7;13;63;85;93;66;159;81;325;45;42;87;100;134;100;60;62;543
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3241001;Hannover;M;4,088;1;7;22;52;144;226;223;246;469;347;1,042;216;209;425;530;925;643;321;202;3,046
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3241001;Hannover;W;1,858;1;3;12;39;129;184;173;173;346;164;694;75;75;150;172;316;230;150;146;1,164
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3241001;Hannover;X;5,946;2;10;34;91;273;410;396;419;815;511;1,736;291;284;575;702;1,241;873;471;348;4,210
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8221000;Heidelberg;M;1,477;2;5;5;14;49;75;88;83;171;132;378;142;122;264;267;308;136;69;55;1,099
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8221000;Heidelberg;W;555;2;1;2;10;54;69;110;52;162;29;260;23;28;51;43;69;57;34;41;295
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8221000;Heidelberg;X;2,032;4;6;7;24;103;144;198;135;333;161;638;165;150;315;310;377;193;103;96;1,394
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8121000;Heilbronn;M;650;0;0;0;8;32;40;66;51;117;50;207;28;32;60;70;133;94;55;31;443
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8121000;Heilbronn;W;436;0;1;4;7;58;70;89;51;140;33;243;11;18;29;21;45;42;28;28;193
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;8121000;Heilbronn;X;1,086;0;1;4;15;90;110;155;102;257;83;450;39;50;89;91;178;136;83;59;636
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5916000;Herne;M;672;0;1;9;15;31;56;54;40;94;53;203;28;18;46;75;143;95;66;44;469
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5916000;Herne;W;422;0;0;3;17;55;75;51;25;76;26;177;10;11;21;38;61;52;26;47;245
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;5916000;Herne;X;1,094;0;1;12;32;86;131;105;65;170;79;380;38;29;67;113;204;147;92;91;714
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3254021;Hildesheim;M;542;0;0;3;8;28;39;63;46;109;46;194;25;25;50;59;101;68;40;30;348
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3254021;Hildesheim;W;335;0;0;3;8;35;46;60;42;102;22;170;13;9;22;25;40;30;23;25;165
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;3254021;Hildesheim;X;877;0;0;6;16;63;85;123;88;211;68;364;38;34;72;84;141;98;63;55;513
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9161000;Ingolstadt;M;548;1;1;6;11;25;44;43;39;82;51;177;28;26;54;58;104;75;41;39;371
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9161000;Ingolstadt;W;385;0;1;6;14;42;63;52;23;75;29;167;16;17;33;39;65;29;29;23;218
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;9161000;Ingolstadt;X;933;1;2;12;25;67;107;95;62;157;80;344;44;43;87;97;169;104;70;62;589
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16053000;Jena;M;357;0;0;4;9;18;31;30;28;58;31;120;15;14;29;27;79;54;20;28;237
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16053000;Jena;W;215;1;0;2;2;16;21;18;8;26;20;67;10;14;24;16;35;18;17;38;148
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;16053000;Jena;X;572;1;0;6;11;34;52;48;36;84;51;187;25;28;53;43;114;72;37;66;385
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;7312000;Kaiserslautern;M;682;0;0;1;12;30;43;53;42;95;62;200;38;33;71;72;126;107;64;42;482
