Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
------;Straftaten insgesamt;3404000;Osnabrück;W;1,682;1;0;5;11;61;78;137;123;260;120;458;85;75;160;166;328;252;190;128;1,224
------;Straftaten insgesamt;3404000;Osnabrück;X;7,511;3;5;15;48;175;246;342;398;740;584;1,570;485;440;925;1,056;1,645;1,154;714;447;5,941
------;Straftaten insgesamt;5774032;Paderborn;M;3,820;3;10;9;21;85;128;135;223;358;370;856;248;213;461;513;862;546;336;246;2,964
------;Straftaten insgesamt;5774032;Paderborn;W;1,299;0;3;0;16;59;78;100;94;194;124;396;65;59;124;118;259;159;132;111;903
------;Straftaten insgesamt;5774032;Paderborn;X;5,119;3;13;9;37;144;206;235;317;552;494;1,252;313;272;585;631;1,121;705;468;357;3,867
------;Straftaten insgesamt;8231000;Pforzheim;M;3,608;1;4;4;32;71;112;158;172;330;280;722;206;221;427;484;862;548;335;230;2,886
------;Straftaten insgesamt;8231000;Pforzheim;W;1,302;0;1;4;13;57;75;87;62;149;89;313;64;49;113;139;276;228;114;119;989
------;Straftaten insgesamt;8231000;Pforzheim;X;4,910;1;5;8;45;128;187;245;234;479;369;1,035;270;270;540;623;1,138;776;449;349;3,875
------;Straftaten insgesamt;12054000;Potsdam;M;3,533;0;5;20;48;90;163;161;203;364;297;824;175;176;351;375;772;557;366;288;2,709
------;Straftaten insgesamt;12054000;Potsdam;W;1,129;0;0;5;22;46;73;77;50;127;69;269;26;42;68;100;249;170;126;147;860
------;Straftaten insgesamt;12054000;Potsdam;X;4,662;0;5;25;70;136;236;238;253;491;366;1,093;201;218;419;475;1,021;727;492;435;3,569
------;Straftaten insgesamt;5562032;Recklinghausen;M;3,117;2;3;10;23;76;114;117;157;274;268;656;183;186;369;393;633;529;339;198;2,461
------;Straftaten insgesamt;5562032;Recklinghausen;W;1,099;1;1;0;15;46;63;78;60;138;93;294;48;39;87;102;247;181;109;79;805
------;Straftaten insgesamt;5562032;Recklinghausen;X;4,216;3;4;10;38;122;177;195;217;412;361;950;231;225;456;495;880;710;448;277;3,266
------;Straftaten insgesamt;9362000;Regensburg;M;6,491;1;3;7;24;67;102;180;251;431;717;1,250;515;591;1,106;1,123;1,515;804;409;284;5,241
------;Straftaten insgesamt;9362000;Regensburg;W;1,903;0;2;2;10;54;68;124;85;209;173;450;105;99;204;234;401;289;178;147;1,453
------;Straftaten insgesamt;9362000;Regensburg;X;8,394;1;5;9;34;121;170;304;336;640;890;1,700;620;690;1,310;1,357;1,916;1,093;587;431;6,694
------;Straftaten insgesamt;5120000;Remscheid;M;2,568;0;5;8;22;81;116;123;90;213;172;501;118;131;249;287;586;446;277;222;2,067
------;Straftaten insgesamt;5120000;Remscheid;W;980;3;2;1;6;39;51;50;58;108;70;229;36;41;77;103;215;163;117;76;751
------;Straftaten insgesamt;5120000;Remscheid;X;3,548;3;7;9;28;120;167;173;148;321;242;730;154;172;326;390;801;609;394;298;2,818
------;Straftaten insgesamt;8415061;Reutlingen;M;2,383;0;0;14;27;79;120;105;123;228;222;570;91;148;239;333;481;341;254;165;1,813
------;Straftaten insgesamt;8415061;Reutlingen;W;863;0;1;2;19;48;70;84;69;153;73;296;32;30;62;60;171;131;67;76;567
------;Straftaten insgesamt;8415061;Reutlingen;X;3,246;0;1;16;46;127;190;189;192;381;295;866;123;178;301;393;652;472;321;241;2,380
------;Straftaten insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;M;5,339;8;5;28;57;119;217;219;286;505;461;1,183;306;305;611;621;1,325;865;410;324;4,156
------;Straftaten insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;W;1,787;8;8;12;24;67;119;118;129;247;151;517;81;75;156;142;353;259;170;190;1,270
------;Straftaten insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;X;7,126;16;13;40;81;186;336;337;415;752;612;1,700;387;380;767;763;1,678;1,124;580;514;5,426
------;Straftaten insgesamt;10041100;Saarbrücken;M;7,247;6;8;29;68;151;262;283;365;648;586;1,496;400;439;839;1,045;1,693;1,037;626;511;5,751
------;Straftaten insgesamt;10041100;Saarbrücken;W;2,577;6;4;8;29;128;175;188;132;320;173;668;127;122;249;269;552;375;248;216;1,909
------;Straftaten insgesamt;10041100;Saarbrücken;X;9,824;12;12;37;97;279;437;471;497;968;759;2,164;527;561;1,088;1,314;2,245;1,412;874;727;7,660
------;Straftaten insgesamt;3102000;Salzgitter;M;2,510;1;10;21;39;94;165;129;103;232;193;590;126;134;260;299;577;378;247;159;1,920
------;Straftaten insgesamt;3102000;Salzgitter;W;884;1;5;5;19;57;87;42;45;87;43;217;39;31;70;91;204;142;90;70;667
------;Straftaten insgesamt;3102000;Salzgitter;X;3,394;2;15;26;58;151;252;171;148;319;236;807;165;165;330;390;781;520;337;229;2,587
