1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
****00;Diebstahl insgesamt und zwar:;15003000;Magdeburg;X;2,031;0;5;14;56;116;191;160;135;295;147;633;94;97;191;226;436;226;165;154;1,398
****00;Diebstahl insgesamt und zwar:;7315000;Mainz;M;864;0;0;0;9;41;50;74;60;134;89;273;49;52;101;118;166;101;65;40;591
****00;Diebstahl insgesamt und zwar:;7315000;Mainz;W;511;0;1;3;11;58;73;77;60;137;46;256;24;15;39;39;61;43;30;43;255
****00;Diebstahl insgesamt und zwar:;7315000;Mainz;X;1,375;0;1;3;20;99;123;151;120;271;135;529;73;67;140;157;227;144;95;83;846
****00;Diebstahl insgesamt und zwar:;8222000;Mannheim;M;1,954;0;1;9;25;55;90;111;152;263;175;528;138;128;266;279;423;253;122;83;1,426
****00;Diebstahl insgesamt und zwar:;8222000;Mannheim;W;936;0;0;6;21;96;123;159;89;248;75;446;50;43;93;65;121;86;65;60;490
****00;Diebstahl insgesamt und zwar:;8222000;Mannheim;X;2,890;0;1;15;46;151;213;270;241;511;250;974;188;171;359;344;544;339;187;143;1,916
****00;Diebstahl insgesamt und zwar:;5170024;Moers;M;318;0;0;2;8;16;26;37;15;52;22;100;7;11;18;27;67;68;27;11;218
****00;Diebstahl insgesamt und zwar:;5170024;Moers;W;138;0;0;0;1;8;9;21;14;35;8;52;4;0;4;8;22;17;19;16;86
****00;Diebstahl insgesamt und zwar:;5170024;Moers;X;456;0;0;2;9;24;35;58;29;87;30;152;11;11;22;35;89;85;46;27;304
****00;Diebstahl insgesamt und zwar:;5116000;Mönchengladbach;M;1,507;0;1;6;16;59;82;100;99;199;120;401;87;98;185;210;347;215;97;52;1,106
****00;Diebstahl insgesamt und zwar:;5116000;Mönchengladbach;W;758;0;0;4;9;76;89;128;84;212;56;357;39;25;64;64;124;78;34;37;401
****00;Diebstahl insgesamt und zwar:;5116000;Mönchengladbach;X;2,265;0;1;10;25;135;171;228;183;411;176;758;126;123;249;274;471;293;131;89;1,507
****00;Diebstahl insgesamt und zwar:;5117000;Mülheim an der Ruhr;M;498;0;1;2;15;40;58;39;42;81;28;167;27;25;52;50;97;71;41;20;331
****00;Diebstahl insgesamt und zwar:;5117000;Mülheim an der Ruhr;W;259;0;0;3;10;35;48;38;27;65;9;122;6;7;13;17;36;22;27;22;137
****00;Diebstahl insgesamt und zwar:;5117000;Mülheim an der Ruhr;X;757;0;1;5;25;75;106;77;69;146;37;289;33;32;65;67;133;93;68;42;468
****00;Diebstahl insgesamt und zwar:;9162000;München;M;5,045;0;4;10;72;238;324;419;436;855;459;1,638;273;250;523;584;941;678;383;298;3,407
****00;Diebstahl insgesamt und zwar:;9162000;München;W;2,593;0;0;8;41;198;247;340;206;546;198;991;107;73;180;236;368;306;243;269;1,602
****00;Diebstahl insgesamt und zwar:;9162000;München;X;7,638;0;4;18;113;436;571;759;642;1,401;657;2,629;380;323;703;820;1,309;984;626;567;5,009
****00;Diebstahl insgesamt und zwar:;5515000;Münster;M;1,783;0;1;7;19;67;94;146;163;309;175;578;100;104;204;250;361;213;102;75;1,205
****00;Diebstahl insgesamt und zwar:;5515000;Münster;W;832;0;0;3;23;69;95;145;127;272;75;442;35;17;52;67;91;80;45;55;390
****00;Diebstahl insgesamt und zwar:;5515000;Münster;X;2,615;0;1;10;42;136;189;291;290;581;250;1,020;135;121;256;317;452;293;147;130;1,595
****00;Diebstahl insgesamt und zwar:;5162024;Neuss;M;747;3;2;2;5;23;35;29;44;73;54;162;33;28;61;96;164;127;74;63;585
****00;Diebstahl insgesamt und zwar:;5162024;Neuss;W;351;0;1;1;3;27;32;33;27;60;19;111;18;10;28;28;63;35;38;48;240
****00;Diebstahl insgesamt und zwar:;5162024;Neuss;X;1,098;3;3;3;8;50;67;62;71;133;73;273;51;38;89;124;227;162;112;111;825
****00;Diebstahl insgesamt und zwar:;9564000;Nürnberg;M;3,104;1;6;19;53;122;201;237;173;410;274;885;165;152;317;389;671;470;212;160;2,219
****00;Diebstahl insgesamt und zwar:;9564000;Nürnberg;W;1,407;1;3;9;34;138;185;185;114;299;95;579;57;56;113;111;212;140;126;126;828
****00;Diebstahl insgesamt und zwar:;9564000;Nürnberg;X;4,511;2;9;28;87;260;386;422;287;709;369;1,464;222;208;430;500;883;610;338;286;3,047
****00;Diebstahl insgesamt und zwar:;5119000;Oberhausen;M;1,096;0;0;7;33;90;130;111;119;230;108;468;51;44;95;114;183;134;56;46;628
