1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
------;Straftaten insgesamt;5334002;Aachen;M;8,417;6;2;13;24;66;111;258;492;750;926;1,787;623;591;1,214;1,300;1,849;1,130;735;402;6,630
------;Straftaten insgesamt;5334002;Aachen;W;2,279;6;4;4;3;44;61;167;170;337;245;643;110;129;239;287;422;289;249;150;1,636
------;Straftaten insgesamt;5334002;Aachen;X;10,696;12;6;17;27;110;172;425;662;1,087;1,171;2,430;733;720;1,453;1,587;2,271;1,419;984;552;8,266
------;Straftaten insgesamt;9761000;Augsburg;M;7,568;4;5;15;52;113;189;235;365;600;816;1,605;561;495;1,056;1,024;1,573;1,057;739;514;5,963
------;Straftaten insgesamt;9761000;Augsburg;W;2,481;1;2;8;13;68;92;125;140;265;241;598;113;96;209;294;493;367;283;237;1,883
------;Straftaten insgesamt;9761000;Augsburg;X;10,049;5;7;23;65;181;281;360;505;865;1,057;2,203;674;591;1,265;1,318;2,066;1,424;1,022;751;7,846
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1,712;0;0;3;8;19;30;61;84;145;131;306;84;74;158;190;366;314;219;159;1,406
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;630;0;1;0;1;9;11;37;34;71;38;120;22;24;46;61;133;112;92;66;510
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2,342;0;1;3;9;28;41;98;118;216;169;426;106;98;204;251;499;426;311;225;1,916
------;Straftaten insgesamt;11000000;Berlin;M;101,355;60;132;409;793;1,512;2,906;2,824;3,577;6,401;7,563;16,870;5,654;5,571;11,225;14,325;25,526;16,445;10,791;6,173;84,485
------;Straftaten insgesamt;11000000;Berlin;W;34,698;36;35;94;262;724;1,151;1,355;1,344;2,699;2,565;6,415;1,802;1,759;3,561;4,687;8,272;5,206;3,821;2,736;28,283
------;Straftaten insgesamt;11000000;Berlin;X;136,053;96;167;503;1,055;2,236;4,057;4,179;4,921;9,100;10,128;23,285;7,456;7,330;14,786;19,012;33,798;21,651;14,612;8,909;112,768
------;Straftaten insgesamt;5711000;Bielefeld;M;7,249;13;8;16;40;115;192;269;300;569;653;1,414;439;451;890;1,050;1,682;1,106;722;385;5,835
------;Straftaten insgesamt;5711000;Bielefeld;W;2,267;23;7;7;17;41;95;156;154;310;186;591;139;107;246;272;473;301;230;154;1,676
------;Straftaten insgesamt;5711000;Bielefeld;X;9,516;36;15;23;57;156;287;425;454;879;839;2,005;578;558;1,136;1,322;2,155;1,407;952;539;7,511
------;Straftaten insgesamt;5911000;Bochum;M;8,020;13;13;22;58;139;245;241;386;627;782;1,654;486;482;968;1,145;1,751;1,136;826;540;6,366
------;Straftaten insgesamt;5911000;Bochum;W;2,607;15;3;11;29;78;136;130;123;253;216;605;138;118;256;321;540;351;302;232;2,002
------;Straftaten insgesamt;5911000;Bochum;X;10,627;28;16;33;87;217;381;371;509;880;998;2,259;624;600;1,224;1,466;2,291;1,487;1,128;772;8,368
------;Straftaten insgesamt;5314000;Bonn;M;7,246;4;4;16;39;109;172;233;365;598;670;1,440;428;382;810;998;1,636;1,119;780;463;5,806
------;Straftaten insgesamt;5314000;Bonn;W;2,360;1;1;3;16;58;79;129;136;265;176;520;138;98;236;230;470;379;298;227;1,840
------;Straftaten insgesamt;5314000;Bonn;X;9,606;5;5;19;55;167;251;362;501;863;846;1,960;566;480;1,046;1,228;2,106;1,498;1,078;690;7,646
------;Straftaten insgesamt;5512000;Bottrop;M;1,975;0;0;3;22;38;63;66;101;167;155;385;91;86;177;237;468;350;232;126;1,590
------;Straftaten insgesamt;5512000;Bottrop;W;702;1;0;2;6;16;25;32;41;73;55;153;18;24;42;101;149;107;86;64;549
------;Straftaten insgesamt;5512000;Bottrop;X;2,677;1;0;5;28;54;88;98;142;240;210;538;109;110;219;338;617;457;318;190;2,139
------;Straftaten insgesamt;3101000;Braunschweig;M;6,618;0;14;11;25;90;140;176;301;477;659;1,276;480;432;912;1,003;1,492;917;614;404;5,342
------;Straftaten insgesamt;3101000;Braunschweig;W;1,965;3;0;3;14;36;56;115;97;212;172;440;93;81;174;223;380;338;230;180;1,525
------;Straftaten insgesamt;3101000;Braunschweig;X;8,583;3;14;14;39;126;196;291;398;689;831;1,716;573;513;1,086;1,226;1,872;1,255;844;584;6,867
------;Straftaten insgesamt;4011000;Bremen;M;16,866;8;15;30;74;132;259;500;889;1,389;1,725;3,373;1,280;1,074;2,354;2,413;3,858;2,422;1,567;879;13,493
------;Straftaten insgesamt;4011000;Bremen;W;5,075;5;2;13;33;86;139;192;247;439;434;1,012;272;294;566;700;1,210;711;492;384;4,063
------;Straftaten insgesamt;4011000;Bremen;X;21,941;13;17;43;107;218;398;692;1,136;1,828;2,159;4,385;1,552;1,368;2,920;3,113;5,068;3,133;2,059;1,263;17,556
------;Straftaten insgesamt;4012000;Bremerhaven;M;3,530;2;3;12;33;50;100;109;179;288;322;710;224;200;424;470;868;551;325;182;2,820
------;Straftaten insgesamt;4012000;Bremerhaven;W;1,084;1;0;3;11;22;37;66;62;128;104;269;68;49;117;112;241;157;109;79;815
------;Straftaten insgesamt;4012000;Bremerhaven;X;4,614;3;3;15;44;72;137;175;241;416;426;979;292;249;541;582;1,109;708;434;261;3,635
------;Straftaten insgesamt;14511000;Chemnitz;M;6,285;66;26;30;38;70;230;144;241;385;576;1,191;386;353;739;878;1,642;930;541;364;5,094
------;Straftaten insgesamt;14511000;Chemnitz;W;2,195;48;16;18;37;64;183;106;88;194;171;548;87;94;181;226;552;300;202;186;1,647
------;Straftaten insgesamt;14511000;Chemnitz;X;8,480;114;42;48;75;134;413;250;329;579;747;1,739;473;447;920;1,104;2,194;1,230;743;550;6,741
------;Straftaten insgesamt;6411000;Darmstadt;M;3,500;1;3;8;15;65;92;127;181;308;312;712;250;212;462;493;766;530;332;205;2,788
------;Straftaten insgesamt;6411000;Darmstadt;W;1,009;1;2;0;12;25;40;53;68;121;72;233;53;64;117;115;200;155;99;90;776
------;Straftaten insgesamt;6411000;Darmstadt;X;4,509;2;5;8;27;90;132;180;249;429;384;945;303;276;579;608;966;685;431;295;3,564
------;Straftaten insgesamt;5913000;Dortmund;M;17,054;24;16;41;74;196;351;539;753;1,292;1,614;3,257;1,103;1,096;2,199;2,496;4,060;2,632;1,539;871;13,797
------;Straftaten insgesamt;5913000;Dortmund;W;5,536;12;8;22;32;132;206;304;303;607;471;1,284;291;264;555;710;1,166;757;616;448;4,252
------;Straftaten insgesamt;5913000;Dortmund;X;22,590;36;24;63;106;328;557;843;1,056;1,899;2,085;4,541;1,394;1,360;2,754;3,206;5,226;3,389;2,155;1,319;18,049
------;Straftaten insgesamt;14612000;Dresden;M;12,152;38;30;53;98;176;395;434;536;970;1,105;2,470;717;738;1,455;1,589;3,275;1,726;998;639;9,682
------;Straftaten insgesamt;14612000;Dresden;W;4,176;25;19;18;42;117;221;236;252;488;415;1,124;186;193;379;503;953;531;349;337;3,052
------;Straftaten insgesamt;14612000;Dresden;X;16,328;63;49;71;140;293;616;670;788;1,458;1,520;3,594;903;931;1,834;2,092;4,228;2,257;1,347;976;12,734
------;Straftaten insgesamt;5112000;Duisburg;M;13,123;6;18;55;129;241;449;463;576;1,039;1,101;2,589;768;755;1,523;1,740;3,100;2,063;1,403;705;10,534
------;Straftaten insgesamt;5112000;Duisburg;W;4,419;3;7;13;42;131;196;181;207;388;379;963;262;262;524;565;1,016;620;433;298;3,456
------;Straftaten insgesamt;5112000;Duisburg;X;17,542;9;25;68;171;372;645;644;783;1,427;1,480;3,552;1,030;1,017;2,047;2,305;4,116;2,683;1,836;1,003;13,990
