Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
216000;Handtaschenraub;7314000;Ludwigshafen am Rhein;4;2.3;1;25;0;0;2;50;3;3;0;0;0;822842
216000;Handtaschenraub;15003000;Magdeburg;6;2.5;1;16.7;0;0;1;16.7;1;1;0;1;100;822842
216000;Handtaschenraub;7315000;Mainz;1;0.5;0;0;0;0;1;100;1;0;1;0;0;822842
216000;Handtaschenraub;8222000;Mannheim;4;1.3;1;25;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;5170024;Moers;2;1.9;0;0;1;0;1;50;1;1;0;0;0;822842
216000;Handtaschenraub;5116000;Mönchengladbach;4;1.5;2;50;0;0;1;25;1;1;0;0;0;822842
216000;Handtaschenraub;5117000;Mülheim an der Ruhr;1;0.6;0;0;0;0;1;100;1;1;0;1;100;822842
216000;Handtaschenraub;9162000;München;40;2.6;15;37.5;0;0;27;67.5;34;29;5;23;67.6;822842
216000;Handtaschenraub;5515000;Münster;7;2.2;4;57.1;0;0;2;28.6;2;2;0;1;50;822842
216000;Handtaschenraub;5162024;Neuss;3;1.9;2;66.7;0;0;1;33.3;1;1;0;1;100;822842
216000;Handtaschenraub;9564000;Nürnberg;9;1.7;1;11.1;0;0;2;22.2;2;2;0;2;100;822842
216000;Handtaschenraub;5119000;Oberhausen;6;2.8;0;0;0;0;1;16.7;1;1;0;1;100;822842
216000;Handtaschenraub;6413000;Offenbach am Main;5;3.7;0;0;1;0;3;60;10;7;3;6;60;822842
216000;Handtaschenraub;3403000;Oldenburg (Oldenburg);3;1.7;1;33.3;0;0;1;33.3;1;1;0;0;0;822842
216000;Handtaschenraub;3404000;Osnabrück;9;5.4;3;33.3;0;0;3;33.3;4;4;0;2;50;822842
216000;Handtaschenraub;5774032;Paderborn;7;4.5;3;42.9;0;0;3;42.9;4;3;1;1;25;822842
216000;Handtaschenraub;8231000;Pforzheim;4;3.1;0;0;0;0;3;75;6;6;0;3;50;822842
216000;Handtaschenraub;12054000;Potsdam;4;2.2;1;25;0;0;4;100;6;5;1;2;33.3;822842
216000;Handtaschenraub;5562032;Recklinghausen;3;2.7;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;9362000;Regensburg;5;3.2;1;20;0;0;5;100;2;1;1;2;100;822842
216000;Handtaschenraub;5120000;Remscheid;0;0;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;8415061;Reutlingen;3;2.6;0;0;0;0;1;33.3;1;1;0;0;0;822842
216000;Handtaschenraub;13003000;Rostock, Hanse- und Universitätsstadt;4;1.9;0;0;0;0;2;50;4;4;0;1;25;822842
216000;Handtaschenraub;10041100;Saarbrücken;5;2.7;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;3102000;Salzgitter;2;1.9;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;13004000;Schwerin;5;5.2;2;40;0;0;2;40;2;2;0;1;50;822842
216000;Handtaschenraub;5970040;Siegen;0;0;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;5122000;Solingen;0;0;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;8111000;Stuttgart;18;2.8;3;16.7;0;0;8;44.4;8;8;0;5;62.5;822842
216000;Handtaschenraub;7211000;Trier;0;0;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;8421000;Ulm;3;2.3;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;6414000;Wiesbaden;1;0.4;0;0;0;0;0;0;0;0;0;0;0;822842
216000;Handtaschenraub;3103000;Wolfsburg;3;2.4;1;33.3;0;0;1;33.3;1;1;0;1;100;822842
216000;Handtaschenraub;5124000;Wuppertal;11;3.1;5;45.5;0;0;4;36.4;3;2;1;1;33.3;822842
216000;Handtaschenraub;9663000;Würzburg;0;0;0;0;0;0;0;0;0;0;0;0;0;822842
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5334002;Aachen;123;48.8;28;22.8;9;0;58;47.2;71;69;2;39;54.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9761000;Augsburg;39;13;10;25.6;2;1;26;66.7;40;39;1;18;45;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5378004;Bergisch Gladbach;25;22.2;3;12;2;1;10;40;16;16;0;10;62.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;11000000;Berlin;3,210;85.5;630;19.6;37;5;1,162;36.2;1,396;1,298;98;714;51.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5711000;Bielefeld;105;31;19;18.1;1;0;44;41.9;64;56;8;32;50;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5911000;Bochum;136;37.2;29;21.3;3;0;63;46.3;94;91;3;41;43.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5314000;Bonn;167;49.6;37;22.2;6;0;83;49.7;106;95;11;44;41.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5512000;Bottrop;36;30.5;8;22.2;0;0;17;47.2;29;26;3;10;34.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3101000;Braunschweig;78;31;10;12.8;3;2;42;53.8;80;75;5;27;33.8;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;4011000;Bremen;587;103.1;79;13.5;1;0;174;29.6;203;190;13;135;66.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;4012000;Bremerhaven;69;59.8;13;18.8;3;1;26;37.7;42;39;3;19;45.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14511000;Chemnitz;120;48.3;33;27.5;5;1;70;58.3;85;78;7;51;60;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6411000;Darmstadt;51;31.4;9;17.6;2;0;26;51;40;38;2;13;32.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5913000;Dortmund;400;67.4;70;17.5;4;1;150;37.5;214;199;15;116;54.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14612000;Dresden;263;46.7;53;20.2;6;0;161;61.2;189;179;10;98;51.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5112000;Duisburg;234;46.6;51;21.8;7;0;103;44;153;144;9;86;56.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5111000;Düsseldorf;378;60.1;81;21.4;6;1;157;41.5;236;216;20;117;49.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;16051000;Erfurt;92;42.8;26;28.3;0;0;57;62;56;50;6;30;53.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9562000;Erlangen;3;2.6;2;66.7;0;0;2;66.7;2;2;0;0;0;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5113000;Essen;264;45.2;52;19.7;6;3;108;40.9;154;142;12;65;42.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6412000;Frankfurt am Main;714;92.4;101;14.1;4;1;211;29.6;295;269;26;179;60.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8311000;Freiburg im Breisgau;89;37.7;17;19.1;0;0;43;48.3;61;54;7;36;59;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9563000;Fürth;2;1.5;0;0;0;0;1;50;1;1;0;1;100;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5513000;Gelsenkirchen;195;74.1;58;29.7;2;0;101;51.8;125;121;4;63;50.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3159016;Göttingen;30;25.2;12;40;2;0;16;53.3;26;22;4;6;23.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5754008;Gütersloh;31;30.3;5;16.1;0;0;12;38.7;18;17;1;5;27.8;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5914000;Hagen;66;34.8;20;30.3;3;0;39;59.1;48;47;1;28;58.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;15002000;Halle (Saale);159;65.7;42;26.4;3;0;81;50.9;118;106;12;48;40.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;2000000;Hamburg;1,137;60.1;229;20.1;11;2;400;35.2;522;496;26;317;60.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5915000;Hamm;76;42;18;23.7;0;0;43;56.6;49;48;1;25;51;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6435014;Hanau;21;20.7;5;23.8;0;0;10;47.6;12;12;0;7;58.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3241001;Hannover;503;92.3;79;15.7;6;0;221;43.9;301;284;17;189;62.8;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8221000;Heidelberg;30;18.5;5;16.7;0;0;20;66.7;28;27;1;10;35.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8121000;Heilbronn;19;14.8;3;15.8;0;0;13;68.4;22;19;3;10;45.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5916000;Herne;44;28;7;15.9;1;0;22;50;31;30;1;16;51.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3254021;Hildesheim;25;24.5;6;24;0;0;16;64;29;28;1;12;41.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9161000;Ingolstadt;6;4.3;1;16.7;0;0;4;66.7;9;9;0;6;66.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;16053000;Jena;10;9;2;20;0;0;8;80;10;10;0;3;30;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;7312000;Kaiserslautern;55;54.3;10;18.2;1;0;28;50.9;42;39;3;11;26.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8212000;Karlsruhe;116;37.6;28;24.1;1;0;74;63.8;112;101;11;48;42.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6611000;Kassel;76;37.2;13;17.1;0;0;33;43.4;43;41;2;22;51.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;1002000;Kiel;128;51.7;21;16.4;3;0;70;54.7;94;84;10;25;26.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;7111000;Koblenz;51;44.2;12;23.5;1;0;26;51;37;34;3;13;35.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5315000;Köln;731;67.4;166;22.7;13;0;297;40.6;445;406;39;233;52.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5114000;Krefeld;127;55.6;30;23.6;0;0;63;49.6;96;93;3;52;54.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14713000;Leipzig;241;39.1;59;24.5;3;1;122;50.6;159;153;6;87;54.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5316000;Leverkusen;44;26.5;11;25;0;0;19;43.2;32;28;4;10;31.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;1003000;Lübeck;76;34.8;17;22.4;1;0;39;51.3;59;55;4;22;37.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;7314000;Ludwigshafen am Rhein;78;44.8;20;25.6;1;0;36;46.2;51;51;0;28;54.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;15003000;Magdeburg;147;61.4;41;27.9;6;1;78;53.1;108;94;14;34;31.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;7315000;Mainz;57;25.8;16;28.1;0;0;29;50.9;47;37;10;22;46.8;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8222000;Mannheim;146;46.3;22;15.1;5;0;66;45.2;96;89;7;41;42.7;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5170024;Moers;19;18;6;31.6;0;0;14;73.7;22;20;2;4;18.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5116000;Mönchengladbach;141;52.5;34;24.1;4;1;68;48.2;108;106;2;46;42.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5117000;Mülheim an der Ruhr;35;20.3;10;28.6;0;0;19;54.3;31;31;0;19;61.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9162000;München;258;17.1;64;24.8;7;3;151;58.5;283;261;22;142;50.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5515000;Münster;136;42.4;16;11.8;2;0;67;49.3;98;92;6;54;55.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5162024;Neuss;34;22.1;6;17.6;2;0;18;52.9;36;34;2;9;25;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9564000;Nürnberg;66;12.6;14;21.2;1;1;36;54.5;52;49;3;25;48.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5119000;Oberhausen;102;48.4;27;26.5;2;0;64;62.7;78;74;4;33;42.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6413000;Offenbach am Main;48;35.8;9;18.8;3;0;24;50;35;34;1;18;51.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3403000;Oldenburg (Oldenburg);46;26.6;9;19.6;0;0;24;52.2;33;30;3;14;42.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3404000;Osnabrück;57;34.1;14;24.6;2;0;31;54.4;48;48;0;23;47.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5774032;Paderborn;57;36.8;10;17.5;1;1;24;42.1;39;34;5;17;43.6;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8231000;Pforzheim;36;28.2;6;16.7;0;0;20;55.6;36;36;0;17;47.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;12054000;Potsdam;54;29.1;10;18.5;1;0;30;55.6;51;46;5;20;39.2;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5562032;Recklinghausen;37;33.1;13;35.1;0;0;23;62.2;42;42;0;18;42.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9362000;Regensburg;7;4.4;0;0;0;0;6;85.7;8;7;1;5;62.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5120000;Remscheid;29;25.8;6;20.7;2;0;16;55.2;31;31;0;9;29;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8415061;Reutlingen;28;23.8;7;25;0;0;15;53.6;25;25;0;12;48;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;13003000;Rostock, Hanse- und Universitätsstadt;101;48.1;40;39.6;0;0;52;51.5;70;69;1;22;31.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;10041100;Saarbrücken;104;57.2;17;16.3;3;0;35;33.7;60;57;3;38;63.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3102000;Salzgitter;16;15.3;4;25;0;0;10;62.5;20;17;3;12;60;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;13004000;Schwerin;47;49.2;13;27.7;0;0;35;74.5;42;36;6;17;40.5;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5970040;Siegen;29;28.3;3;10.3;2;1;19;65.5;36;32;4;14;38.9;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5122000;Solingen;33;20.5;9;27.3;0;0;24;72.7;33;31;2;11;33.3;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8111000;Stuttgart;270;42.7;42;15.6;6;0;101;37.4;157;146;11;109;69.4;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;7211000;Trier;38;33.9;11;28.9;2;0;19;50;36;33;3;19;52.8;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8421000;Ulm;34;26.4;8;23.5;0;0;11;32.4;14;14;0;8;57.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;6414000;Wiesbaden;63;22.3;14;22.2;1;0;37;58.7;50;44;6;23;46;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;3103000;Wolfsburg;25;19.8;7;28;1;0;7;28;10;10;0;6;60;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;5124000;Wuppertal;128;35.7;34;26.6;2;0;66;51.6;96;89;7;51;53.1;824570
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;9663000;Würzburg;5;3.9;1;20;0;1;4;80;8;8;0;2;25;824570
219000;Raubüberfälle in Wohnungen;5334002;Aachen;16;6.3;4;25;1;0;17;106.3;25;24;1;9;36;828026
219000;Raubüberfälle in Wohnungen;9761000;Augsburg;5;1.7;1;20;0;0;6;120;8;7;1;5;62.5;828026
219000;Raubüberfälle in Wohnungen;5378004;Bergisch Gladbach;2;1.8;1;50;0;0;1;50;1;1;0;1;100;828026
219000;Raubüberfälle in Wohnungen;11000000;Berlin;260;6.9;56;21.5;8;0;174;66.9;231;202;29;121;52.4;828026
219000;Raubüberfälle in Wohnungen;5711000;Bielefeld;15;4.4;2;13.3;1;0;13;86.7;24;21;3;8;33.3;828026
219000;Raubüberfälle in Wohnungen;5911000;Bochum;15;4.1;0;0;1;0;9;60;20;20;0;12;60;828026
219000;Raubüberfälle in Wohnungen;5314000;Bonn;13;3.9;3;23.1;0;0;10;76.9;22;21;1;9;40.9;828026
219000;Raubüberfälle in Wohnungen;5512000;Bottrop;7;5.9;2;28.6;1;1;6;85.7;7;7;0;4;57.1;828026
219000;Raubüberfälle in Wohnungen;3101000;Braunschweig;16;6.4;1;6.3;3;2;10;62.5;17;16;1;6;35.3;828026
219000;Raubüberfälle in Wohnungen;4011000;Bremen;46;8.1;10;21.7;2;1;20;43.5;27;25;2;8;29.6;828026
219000;Raubüberfälle in Wohnungen;4012000;Bremerhaven;21;18.2;4;19;2;0;14;66.7;18;17;1;8;44.4;828026
219000;Raubüberfälle in Wohnungen;14511000;Chemnitz;11;4.4;3;27.3;0;0;10;90.9;11;10;1;3;27.3;828026
219000;Raubüberfälle in Wohnungen;6411000;Darmstadt;8;4.9;1;12.5;0;0;6;75;6;5;1;2;33.3;828026
219000;Raubüberfälle in Wohnungen;5913000;Dortmund;31;5.2;6;19.4;2;0;23;74.2;34;28;6;21;61.8;828026
219000;Raubüberfälle in Wohnungen;14612000;Dresden;13;2.3;3;23.1;0;0;11;84.6;16;15;1;2;12.5;828026
219000;Raubüberfälle in Wohnungen;5112000;Duisburg;43;8.6;5;11.6;3;1;31;72.1;51;45;6;27;52.9;828026
219000;Raubüberfälle in Wohnungen;5111000;Düsseldorf;34;5.4;8;23.5;1;0;23;67.6;40;30;10;21;52.5;828026
219000;Raubüberfälle in Wohnungen;16051000;Erfurt;26;12.1;4;15.4;0;0;25;96.2;12;10;2;5;41.7;828026
219000;Raubüberfälle in Wohnungen;9562000;Erlangen;0;0;0;0;0;0;0;0;0;0;0;0;0;828026
219000;Raubüberfälle in Wohnungen;5113000;Essen;30;5.1;5;16.7;3;0;23;76.7;35;31;4;19;54.3;828026
219000;Raubüberfälle in Wohnungen;6412000;Frankfurt am Main;28;3.6;6;21.4;2;0;18;64.3;19;16;3;14;73.7;828026
219000;Raubüberfälle in Wohnungen;8311000;Freiburg im Breisgau;8;3.4;2;25;1;0;6;75;5;4;1;4;80;828026
219000;Raubüberfälle in Wohnungen;9563000;Fürth;0;0;0;0;0;0;0;0;0;0;0;0;0;828026
219000;Raubüberfälle in Wohnungen;5513000;Gelsenkirchen;28;10.6;7;25;4;0;25;89.3;34;32;2;19;55.9;828026
219000;Raubüberfälle in Wohnungen;3159016;Göttingen;7;5.9;0;0;0;0;6;85.7;11;11;0;3;27.3;828026
219000;Raubüberfälle in Wohnungen;5754008;Gütersloh;7;6.8;2;28.6;1;0;5;71.4;9;6;3;7;77.8;828026
219000;Raubüberfälle in Wohnungen;5914000;Hagen;6;3.2;0;0;0;0;3;50;5;4;1;3;60;828026
219000;Raubüberfälle in Wohnungen;15002000;Halle (Saale);18;7.4;3;16.7;2;0;13;72.2;18;17;1;5;27.8;828026
219000;Raubüberfälle in Wohnungen;2000000;Hamburg;72;3.8;11;15.3;3;0;51;70.8;64;55;9;23;35.9;828026
219000;Raubüberfälle in Wohnungen;5915000;Hamm;13;7.2;2;15.4;2;0;11;84.6;21;17;4;12;57.1;828026
219000;Raubüberfälle in Wohnungen;6435014;Hanau;1;1;1;100;0;0;1;100;1;1;0;1;100;828026
219000;Raubüberfälle in Wohnungen;3241001;Hannover;43;7.9;10;23.3;0;0;27;62.8;29;29;0;13;44.8;828026
219000;Raubüberfälle in Wohnungen;8221000;Heidelberg;3;1.8;0;0;0;0;3;100;7;7;0;5;71.4;828026
219000;Raubüberfälle in Wohnungen;8121000;Heilbronn;4;3.1;1;25;2;0;4;100;4;4;0;2;50;828026
219000;Raubüberfälle in Wohnungen;5916000;Herne;5;3.2;1;20;0;0;5;100;7;6;1;4;57.1;828026
219000;Raubüberfälle in Wohnungen;3254021;Hildesheim;1;1;0;0;0;0;0;0;0;0;0;0;0;828026
219000;Raubüberfälle in Wohnungen;9161000;Ingolstadt;0;0;0;0;0;0;0;0;0;0;0;0;0;828026
219000;Raubüberfälle in Wohnungen;16053000;Jena;5;4.5;3;60;0;0;3;60;3;1;2;3;100;828026
219000;Raubüberfälle in Wohnungen;7312000;Kaiserslautern;4;4;1;25;0;0;4;100;6;5;1;4;66.7;828026
219000;Raubüberfälle in Wohnungen;8212000;Karlsruhe;8;2.6;0;0;0;0;7;87.5;8;6;2;2;25;828026
219000;Raubüberfälle in Wohnungen;6611000;Kassel;13;6.4;4;30.8;1;0;11;84.6;15;12;3;10;66.7;828026
219000;Raubüberfälle in Wohnungen;1002000;Kiel;18;7.3;5;27.8;0;0;16;88.9;22;19;3;8;36.4;828026
219000;Raubüberfälle in Wohnungen;7111000;Koblenz;7;6.1;2;28.6;1;0;3;42.9;5;5;0;3;60;828026
219000;Raubüberfälle in Wohnungen;5315000;Köln;72;6.6;9;12.5;9;0;52;72.2;79;71;8;42;53.2;828026
219000;Raubüberfälle in Wohnungen;5114000;Krefeld;15;6.6;4;26.7;0;0;10;66.7;13;11;2;3;23.1;828026
219000;Raubüberfälle in Wohnungen;14713000;Leipzig;19;3.1;4;21.1;1;0;16;84.2;21;18;3;13;61.9;828026
219000;Raubüberfälle in Wohnungen;5316000;Leverkusen;6;3.6;2;33.3;0;0;2;33.3;2;2;0;0;0;828026
219000;Raubüberfälle in Wohnungen;1003000;Lübeck;14;6.4;5;35.7;1;0;12;85.7;25;24;1;8;32;828026
219000;Raubüberfälle in Wohnungen;7314000;Ludwigshafen am Rhein;10;5.7;0;0;1;0;8;80;11;10;1;4;36.4;828026
219000;Raubüberfälle in Wohnungen;15003000;Magdeburg;27;11.3;3;11.1;1;0;21;77.8;25;21;4;7;28;828026
219000;Raubüberfälle in Wohnungen;7315000;Mainz;1;0.5;0;0;0;0;0;0;0;0;0;0;0;828026
219000;Raubüberfälle in Wohnungen;8222000;Mannheim;2;0.6;0;0;2;0;2;100;3;3;0;0;0;828026
219000;Raubüberfälle in Wohnungen;5170024;Moers;5;4.7;1;20;1;0;3;60;5;4;1;2;40;828026
219000;Raubüberfälle in Wohnungen;5116000;Mönchengladbach;18;6.7;2;11.1;1;0;13;72.2;21;19;2;8;38.1;828026
219000;Raubüberfälle in Wohnungen;5117000;Mülheim an der Ruhr;7;4.1;4;57.1;1;0;4;57.1;4;4;0;1;25;828026
219000;Raubüberfälle in Wohnungen;9162000;München;17;1.1;6;35.3;2;0;16;94.1;25;20;5;16;64;828026
219000;Raubüberfälle in Wohnungen;5515000;Münster;7;2.2;0;0;1;0;6;85.7;9;8;1;3;33.3;828026
219000;Raubüberfälle in Wohnungen;5162024;Neuss;6;3.9;0;0;0;0;3;50;3;2;1;1;33.3;828026
219000;Raubüberfälle in Wohnungen;9564000;Nürnberg;4;0.8;0;0;0;0;4;100;5;5;0;1;20;828026
219000;Raubüberfälle in Wohnungen;5119000;Oberhausen;10;4.7;4;40;0;0;4;40;5;5;0;0;0;828026
219000;Raubüberfälle in Wohnungen;6413000;Offenbach am Main;8;6;3;37.5;0;0;8;100;8;8;0;5;62.5;828026
219000;Raubüberfälle in Wohnungen;3403000;Oldenburg (Oldenburg);12;6.9;2;16.7;0;0;8;66.7;14;13;1;3;21.4;828026
219000;Raubüberfälle in Wohnungen;3404000;Osnabrück;10;6;1;10;0;0;9;90;14;13;1;9;64.3;828026
219000;Raubüberfälle in Wohnungen;5774032;Paderborn;10;6.5;0;0;0;0;10;100;16;14;2;2;12.5;828026
219000;Raubüberfälle in Wohnungen;8231000;Pforzheim;2;1.6;0;0;0;0;2;100;2;2;0;2;100;828026
219000;Raubüberfälle in Wohnungen;12054000;Potsdam;12;6.5;4;33.3;0;0;10;83.3;16;12;4;6;37.5;828026
219000;Raubüberfälle in Wohnungen;5562032;Recklinghausen;13;11.6;1;7.7;1;0;8;61.5;22;19;3;12;54.5;828026
219000;Raubüberfälle in Wohnungen;9362000;Regensburg;2;1.3;0;0;1;0;1;50;1;1;0;0;0;828026
219000;Raubüberfälle in Wohnungen;5120000;Remscheid;3;2.7;2;66.7;0;0;2;66.7;4;4;0;0;0;828026
219000;Raubüberfälle in Wohnungen;8415061;Reutlingen;3;2.6;0;0;0;0;3;100;3;3;0;1;33.3;828026
219000;Raubüberfälle in Wohnungen;13003000;Rostock, Hanse- und Universitätsstadt;8;3.8;2;25;0;0;7;87.5;10;8;2;3;30;828026
219000;Raubüberfälle in Wohnungen;10041100;Saarbrücken;12;6.6;1;8.3;1;0;8;66.7;12;12;0;5;41.7;828026
219000;Raubüberfälle in Wohnungen;3102000;Salzgitter;7;6.7;1;14.3;0;0;6;85.7;4;4;0;2;50;828026
219000;Raubüberfälle in Wohnungen;13004000;Schwerin;13;13.6;3;23.1;0;0;10;76.9;21;20;1;14;66.7;828026
219000;Raubüberfälle in Wohnungen;5970040;Siegen;6;5.9;1;16.7;1;0;4;66.7;5;4;1;2;40;828026
219000;Raubüberfälle in Wohnungen;5122000;Solingen;3;1.9;0;0;0;0;1;33.3;5;5;0;1;20;828026
219000;Raubüberfälle in Wohnungen;8111000;Stuttgart;29;4.6;5;17.2;1;0;19;65.5;24;23;1;14;58.3;828026
219000;Raubüberfälle in Wohnungen;7211000;Trier;2;1.8;0;0;0;0;2;100;2;2;0;1;50;828026
