Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;2000000;Hamburg;7,352;398;87;1.2;0;0;7,283;99.1;5,835;4,460;1,375;5,806;99.5
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5915000;Hamm;131;73;0;0;0;0;131;100;132;121;11;131;99.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;3241001;Hannover;1,312;244;2;0.2;0;0;1,306;99.5;928;784;144;920;99.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;8221000;Heidelberg;845;523;0;0;0;0;845;100;835;641;194;832;99.6
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;8121000;Heilbronn;54;43;0;0;0;0;54;100;57;47;10;54;94.7
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5916000;Herne;10;6;0;0;0;0;9;90;11;8;3;11;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;3254021;Hildesheim;61;60;1;1.6;0;0;57;93.4;59;52;7;54;91.5
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9161000;Ingolstadt;104;76;0;0;0;0;103;99;108;84;24;103;95.4
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;16053000;Jena;13;12;0;0;0;0;13;100;16;15;1;16;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;7312000;Kaiserslautern;81;81;0;0;0;0;70;86.4;68;56;12;66;97.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;8212000;Karlsruhe;948;304;2;0.2;0;0;944;99.6;911;781;130;908;99.7
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;6611000;Kassel;191;94;0;0;0;0;190;99.5;178;158;20;175;98.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;1002000;Kiel;215;87;1;0.5;0;0;211;98.1;206;177;29;203;98.5
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;7111000;Koblenz;88;77;0;0;0;0;87;98.9;88;77;11;86;97.7
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5315000;Köln;3,678;338;95;2.6;0;0;3,662;99.6;3,690;2,729;961;3,678;99.7
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5114000;Krefeld;132;58;0;0;0;0;130;98.5;121;109;12;119;98.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;14713000;Leipzig;1,670;282;1;0.1;0;0;1,660;99.4;1,617;1,175;442;1,610;99.6
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5316000;Leverkusen;61;37;0;0;0;0;61;100;62;47;15;57;91.9
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;1003000;Lübeck;104;48;0;0;0;0;103;99;107;82;25;102;95.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;7314000;Ludwigshafen am Rhein;102;59;0;0;0;0;101;99;101;89;12;97;96
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;15003000;Magdeburg;476;200;0;0;0;0;471;98.9;485;392;93;483;99.6
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;7315000;Mainz;195;89;1;0.5;0;0;193;99;189;161;28;186;98.4
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;8222000;Mannheim;464;149;1;0.2;0;0;464;100;447;403;44;439;98.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5170024;Moers;18;17;0;0;0;0;17;94.4;20;15;5;20;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5116000;Mönchengladbach;326;125;2;0.6;0;0;323;99.1;334;223;111;334;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5117000;Mülheim an der Ruhr;38;22;0;0;0;0;36;94.7;37;30;7;36;97.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9162000;München;3,288;222;2;0.1;0;0;3,278;99.7;3,222;2,482;740;3,197;99.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5515000;Münster;238;75;2;0.8;0;0;238;100;224;189;35;222;99.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;5162024;Neuss;44;29;0;0;0;0;44;100;46;39;7;45;97.8
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9564000;Nürnberg;709;137;14;2;0;0;708;99.9;626;478;148;610;97.4
