Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6412000;Frankfurt am Main;98;13;15;15.3;0;0;77;78.6;87;87;0;47;54
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8311000;Freiburg im Breisgau;29;13;3;10.3;0;0;24;82.8;24;24;0;15;62.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9563000;Fürth;8;6;2;25;0;0;7;87.5;7;7;0;4;57.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5513000;Gelsenkirchen;30;12;3;10;0;0;23;76.7;23;23;0;9;39.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3159016;Göttingen;24;20;2;8.3;0;0;20;83.3;25;24;1;8;32
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5754008;Gütersloh;9;9;0;0;0;0;9;100;12;12;0;6;50
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5914000;Hagen;37;20;2;5.4;0;0;25;67.6;26;26;0;9;34.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;15002000;Halle (Saale);41;17;8;19.5;0;0;37;90.2;38;37;1;9;23.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;2000000;Hamburg;291;16;34;11.7;0;0;236;81.1;239;238;1;109;45.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5915000;Hamm;35;19;3;8.6;0;0;26;74.3;28;28;0;9;32.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3241001;Hannover;131;24;13;9.9;0;0;111;84.7;119;117;2;61;51.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8221000;Heidelberg;22;14;0;0;0;0;18;81.8;19;18;1;10;52.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8121000;Heilbronn;13;10;1;7.7;0;0;12;92.3;13;13;0;8;61.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5916000;Herne;30;19;2;6.7;0;0;26;86.7;28;28;0;9;32.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3254021;Hildesheim;17;17;3;17.6;0;0;14;82.4;15;15;0;4;26.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9161000;Ingolstadt;13;9;0;0;0;0;12;92.3;12;12;0;4;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;16053000;Jena;7;6;0;0;0;0;5;71.4;5;5;0;0;0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7312000;Kaiserslautern;12;12;2;16.7;0;0;11;91.7;11;11;0;5;45.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8212000;Karlsruhe;43;14;4;9.3;0;0;38;88.4;38;38;0;20;52.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6611000;Kassel;59;29;7;11.9;0;0;52;88.1;54;53;1;22;40.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;1002000;Kiel;47;19;4;8.5;0;0;40;85.1;43;42;1;18;41.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7111000;Koblenz;9;8;0;0;0;0;8;88.9;8;8;0;4;50
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5315000;Köln;229;21;34;14.8;0;0;152;66.4;163;158;5;69;42.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5114000;Krefeld;39;17;3;7.7;0;0;33;84.6;35;35;0;12;34.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14713000;Leipzig;34;6;5;14.7;0;0;28;82.4;28;28;0;6;21.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5316000;Leverkusen;23;14;1;4.3;0;0;20;87;21;21;0;4;19
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;1003000;Lübeck;24;11;4;16.7;0;0;20;83.3;20;20;0;6;30
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7314000;Ludwigshafen am Rhein;30;17;3;10;0;0;25;83.3;27;26;1;9;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;15003000;Magdeburg;37;16;3;8.1;0;0;26;70.3;30;30;0;16;53.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7315000;Mainz;28;13;3;10.7;0;0;22;78.6;22;22;0;10;45.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8222000;Mannheim;43;14;2;4.7;0;0;42;97.7;43;43;0;19;44.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5170024;Moers;7;7;0;0;0;0;7;100;8;8;0;1;12.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5116000;Mönchengladbach;49;19;3;6.1;1;0;43;87.8;51;50;1;25;49
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5117000;Mülheim an der Ruhr;22;13;0;0;0;0;20;90.9;23;23;0;10;43.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9162000;München;291;20;30;10.3;0;0;253;86.9;274;271;3;148;54
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5515000;Münster;45;14;9;20;0;0;37;82.2;45;45;0;20;44.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5162024;Neuss;18;12;3;16.7;0;0;14;77.8;15;15;0;7;46.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9564000;Nürnberg;42;8;3;7.1;0;0;35;83.3;36;35;1;16;44.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5119000;Oberhausen;19;9;2;10.5;0;0;18;94.7;18;18;0;8;44.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6413000;Offenbach am Main;17;13;2;11.8;0;0;16;94.1;16;16;0;8;50
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3403000;Oldenburg (Oldenburg);24;14;0;0;0;0;21;87.5;22;22;0;7;31.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3404000;Osnabrück;37;22;2;5.4;0;0;29;78.4;32;31;1;14;43.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5774032;Paderborn;24;16;2;8.3;0;0;20;83.3;21;20;1;8;38.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8231000;Pforzheim;24;19;3;12.5;0;0;19;79.2;20;20;0;11;55
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;12054000;Potsdam;24;13;3;12.5;0;0;20;83.3;19;19;0;7;36.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5562032;Recklinghausen;12;11;0;0;0;0;9;75;9;9;0;3;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9362000;Regensburg;21;14;5;23.8;0;0;17;81;15;15;0;8;53.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5120000;Remscheid;15;13;0;0;0;0;14;93.3;14;14;0;3;21.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8415061;Reutlingen;8;7;0;0;0;0;8;100;8;8;0;4;50
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;13003000;Rostock;33;16;11;33.3;0;0;25;75.8;24;24;0;1;4.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;10041100;Saarbrücken;20;11;3;15;0;0;15;75;17;15;2;10;58.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3102000;Salzgitter;20;19;2;10;0;0;16;80;15;15;0;2;13.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;13004000;Schwerin;9;9;1;11.1;0;0;8;88.9;9;9;0;2;22.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5970040;Siegen;19;18;0;0;0;0;17;89.5;17;16;1;6;35.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5122000;Solingen;23;14;3;13;0;0;21;91.3;21;21;0;7;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8111000;Stuttgart;98;15;6;6.1;0;0;80;81.6;85;85;0;55;64.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7211000;Trier;20;18;2;10;0;0;17;85;17;17;0;7;41.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8421000;Ulm;15;12;1;6.7;0;0;12;80;12;11;1;5;41.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6414000;Wiesbaden;44;16;6;13.6;0;0;42;95.5;46;46;0;21;45.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3103000;Wolfsburg;11;9;2;18.2;0;0;9;81.8;9;9;0;4;44.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5124000;Wuppertal;57;16;6;10.5;0;0;46;80.7;48;47;1;25;52.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9663000;Würzburg;34;27;3;8.8;0;0;29;85.3;16;15;1;8;50
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5334002;Aachen;205;82;51;24.9;4;1;113;55.1;137;118;19;61;44.5
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9761000;Augsburg;113;38;30;26.5;1;0;86;76.1;102;88;14;44;43.1
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5378004;Bergisch Gladbach;32;29;7;21.9;2;0;30;93.8;33;29;4;13;39.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;11000000;Berlin;4,362;119;846;19.4;136;6;1,971;45.2;2,315;2,130;185;1,173;50.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5711000;Bielefeld;215;64;47;21.9;19;0;135;62.8;179;163;16;77;43
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5911000;Bochum;176;48;38;21.6;11;0;97;55.1;130;118;12;47;36.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5314000;Bonn;271;82;58;21.4;16;1;174;64.2;202;190;12;72;35.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5512000;Bottrop;69;59;12;17.4;12;0;33;47.8;47;32;15;18;38.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3101000;Braunschweig;107;43;23;21.5;10;0;63;58.9;65;59;6;18;27.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;4011000;Bremen;639;113;159;24.9;33;1;302;47.3;353;319;34;189;53.5
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;4012000;Bremerhaven;123;108;27;22;3;0;78;63.4;96;86;10;34;35.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;14511000;Chemnitz;167;68;18;10.8;4;0;120;71.9;130;123;7;73;56.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;6411000;Darmstadt;85;53;19;22.4;1;0;63;74.1;73;71;2;28;38.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5913000;Dortmund;615;105;127;20.7;18;2;319;51.9;385;344;41;169;43.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;14612000;Dresden;325;58;49;15.1;5;0;207;63.7;274;256;18;121;44.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5112000;Duisburg;386;77;92;23.8;24;0;215;55.7;295;257;38;127;43.1
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5111000;Düsseldorf;551;89;94;17.1;22;1;297;53.9;451;406;45;181;40.1
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;16051000;Erfurt;180;84;36;20;0;0;131;72.8;130;121;9;41;31.5
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9562000;Erlangen;22;20;8;36.4;2;0;13;59.1;20;18;2;6;30
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5113000;Essen;434;74;87;20;29;3;244;56.2;306;293;13;123;40.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;6412000;Frankfurt am Main;887;116;157;17.7;21;1;393;44.3;487;438;49;268;55
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8311000;Freiburg im Breisgau;127;55;28;22;1;0;95;74.8;111;105;6;57;51.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9563000;Fürth;39;30;11;28.2;5;2;29;74.4;47;44;3;16;34
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5513000;Gelsenkirchen;209;80;48;23;11;0;116;55.5;160;144;16;82;51.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3159016;Göttingen;90;76;24;26.7;3;0;62;68.9;90;82;8;34;37.8
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5754008;Gütersloh;55;55;10;18.2;2;0;43;78.2;57;53;4;26;45.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5914000;Hagen;173;92;32;18.5;10;0;100;57.8;138;125;13;68;49.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;15002000;Halle (Saale);233;98;45;19.3;9;2;147;63.1;182;170;12;64;35.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;2000000;Hamburg;1,678;91;319;19;47;3;831;49.5;986;878;108;513;52
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5915000;Hamm;151;84;35;23.2;4;0;85;56.3;100;87;13;49;49
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3241001;Hannover;713;133;116;16.3;22;0;377;52.9;427;390;37;212;49.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8221000;Heidelberg;59;37;10;16.9;0;0;52;88.1;59;56;3;37;62.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8121000;Heilbronn;48;38;16;33.3;2;0;28;58.3;37;32;5;18;48.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5916000;Herne;90;58;15;16.7;7;0;48;53.3;58;44;14;23;39.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3254021;Hildesheim;58;57;8;13.8;2;0;33;56.9;45;43;2;16;35.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9161000;Ingolstadt;33;24;9;27.3;0;0;21;63.6;24;24;0;17;70.8
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;16053000;Jena;53;48;6;11.3;0;0;33;62.3;41;33;8;9;22
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;7312000;Kaiserslautern;65;65;18;27.7;2;0;45;69.2;57;52;5;25;43.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8212000;Karlsruhe;156;50;29;18.6;3;2;113;72.4;146;131;15;64;43.8
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;6611000;Kassel;165;82;32;19.4;9;0;117;70.9;146;129;17;64;43.8
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;1002000;Kiel;222;90;43;19.4;9;1;152;68.5;175;158;17;64;36.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;7111000;Koblenz;59;52;13;22;2;0;40;67.8;47;43;4;13;27.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5315000;Köln;1,011;93;237;23.4;41;4;510;50.4;651;581;70;291;44.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5114000;Krefeld;184;81;25;13.6;5;0;118;64.1;147;129;18;51;34.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;14713000;Leipzig;425;72;56;13.2;16;1;257;60.5;284;260;24;136;47.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5316000;Leverkusen;82;50;16;19.5;11;1;55;67.1;74;64;10;18;24.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;1003000;Lübeck;145;67;37;25.5;7;1;94;64.8;97;86;11;25;25.8
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;7314000;Ludwigshafen am Rhein;137;80;31;22.6;3;0;95;69.3;139;128;11;74;53.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;15003000;Magdeburg;228;96;46;20.2;20;1;139;61;162;157;5;44;27.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;7315000;Mainz;99;45;29;29.3;2;3;61;61.6;78;70;8;27;34.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8222000;Mannheim;176;57;33;18.8;8;0;111;63.1;160;146;14;71;44.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5170024;Moers;44;42;14;31.8;4;0;30;68.2;51;51;0;16;31.4
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5116000;Mönchengladbach;191;73;40;20.9;13;0;98;51.3;108;89;19;41;38
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5117000;Mülheim an der Ruhr;75;44;24;32;5;0;46;61.3;59;53;6;19;32.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9162000;München;470;32;115;24.5;15;0;329;70;466;429;37;269;57.7
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5515000;Münster;173;55;35;20.2;2;0;101;58.4;140;123;17;63;45
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5162024;Neuss;106;69;23;21.7;4;0;67;63.2;94;81;13;40;42.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9564000;Nürnberg;200;39;56;28;3;0;153;76.5;168;145;23;80;47.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5119000;Oberhausen;138;65;23;16.7;7;1;79;57.2;118;114;4;52;44.1
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;6413000;Offenbach am Main;76;58;18;23.7;4;0;41;53.9;59;49;10;31;52.5
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3403000;Oldenburg (Oldenburg);119;70;29;24.4;8;0;86;72.3;120;100;20;52;43.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3404000;Osnabrück;127;77;35;27.6;7;0;80;63;102;96;6;54;52.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5774032;Paderborn;80;53;16;20;3;0;50;62.5;70;65;5;20;28.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8231000;Pforzheim;60;48;12;20;2;0;33;55;43;42;1;18;41.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;12054000;Potsdam;89;49;14;15.7;1;0;49;55.1;57;53;4;22;38.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5562032;Recklinghausen;82;74;22;26.8;2;0;54;65.9;65;58;7;30;46.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;9362000;Regensburg;52;34;14;26.9;0;1;40;76.9;60;57;3;33;55
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;5120000;Remscheid;44;40;6;13.6;1;0;31;70.5;47;39;8;16;34
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;8415061;Reutlingen;39;34;5;12.8;0;0;31;79.5;41;39;2;15;36.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;13003000;Rostock;125;60;18;14.4;0;0;83;66.4;107;100;7;21;19.6
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;10041100;Saarbrücken;208;115;36;17.3;9;0;145;69.7;175;148;27;67;38.3
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;3102000;Salzgitter;56;54;16;28.6;5;0;35;62.5;45;41;4;18;40
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;13004000;Schwerin;63;66;14;22.2;1;0;47;74.6;59;51;8;18;30.5
