Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;05916000;Herne;13,576;8,675;1,008;7.4;6;16;7,609;56.0;5,033;3,800;1,233;1,648;32.7
------;Straftaten insgesamt;03254021;Hildesheim;9,146;8,989;708;7.7;14;7;5,535;60.5;3,655;2,767;888;1,024;28.0
------;Straftaten insgesamt;09161000;Ingolstadt;9,739;7,201;816;8.4;6;5;6,367;65.4;4,489;3,379;1,110;1,777;39.6
------;Straftaten insgesamt;16053000;Jena;7,977;7,180;566;7.1;3;7;4,627;58.0;3,075;2,374;701;628;20.4
------;Straftaten insgesamt;08212000;Karlsruhe;27,437;8,796;1,330;4.8;15;12;17,468;63.7;12,703;9,864;2,839;6,513;51.3
------;Straftaten insgesamt;06611000;Kassel;18,025;8,979;1,317;7.3;20;24;10,834;60.1;7,445;5,651;1,794;2,923;39.3
------;Straftaten insgesamt;01002000;Kiel;24,621;9,930;1,787;7.3;13;8;11,941;48.5;7,877;6,065;1,812;2,251;28.6
------;Straftaten insgesamt;07111000;Koblenz;11,476;10,080;701;6.1;9;7;6,169;53.8;4,857;3,717;1,140;1,502;30.9
------;Straftaten insgesamt;05315000;Köln;125,349;11,602;10,316;8.2;55;33;60,849;48.5;44,349;33,324;11,025;19,397;43.7
------;Straftaten insgesamt;05114000;Krefeld;21,679;9,563;1,369;6.3;10;4;12,964;59.8;9,145;6,776;2,369;3,087;33.8
------;Straftaten insgesamt;14713000;Leipzig;72,045;12,379;6,068;8.4;31;23;33,713;46.8;21,232;15,803;5,429;7,355;34.6
------;Straftaten insgesamt;05316000;Leverkusen;11,964;7,314;1,149;9.6;6;4;6,140;51.3;4,905;3,694;1,211;1,514;30.9
------;Straftaten insgesamt;01003000;Lübeck;22,685;10,487;1,682;7.4;21;21;12,727;56.1;7,858;5,940;1,918;2,068;26.3
------;Straftaten insgesamt;07314000;Ludwigshafen am Rhein;16,528;9,809;1,094;6.6;17;12;10,167;61.5;7,416;5,385;2,031;2,964;40.0
------;Straftaten insgesamt;15003000;Magdeburg;26,877;11,270;2,937;10.9;6;29;13,624;50.7;8,288;6,270;2,018;1,874;22.6
------;Straftaten insgesamt;07315000;Mainz;18,569;8,632;1,097;5.9;8;10;12,051;64.9;8,219;6,396;1,823;3,114;37.9
------;Straftaten insgesamt;08222000;Mannheim;33,320;10,818;2,002;6.0;11;13;19,698;59.1;14,769;11,307;3,462;6,920;46.9
------;Straftaten insgesamt;05170024;Moers;6,676;6,422;697;10.4;0;5;3,100;46.4;2,376;1,780;596;632;26.6
------;Straftaten insgesamt;05116000;Mönchengladbach;19,938;7,604;1,266;6.3;9;10;11,361;57.0;8,148;6,099;2,049;2,820;34.6
------;Straftaten insgesamt;05117000;Mülheim an der Ruhr;11,285;6,589;781;6.9;5;4;6,613;58.6;4,864;3,582;1,282;1,711;35.2
------;Straftaten insgesamt;09162000;München;99,802;6,854;5,020;5.0;44;26;65,191;65.3;47,218;35,643;11,575;26,126;55.3
------;Straftaten insgesamt;05515000;Münster;25,753;8,213;1,741;6.8;18;6;12,135;47.1;8,859;6,799;2,060;3,154;35.6
------;Straftaten insgesamt;05162024;Neuss;13,018;8,464;960;7.4;3;5;7,554;58.0;5,590;4,184;1,406;1,883;33.7
------;Straftaten insgesamt;09564000;Nürnberg;42,591;8,267;2,781;6.5;24;47;28,849;67.7;19,662;14,825;4,837;9,273;47.2
------;Straftaten insgesamt;05119000;Oberhausen;15,884;7,513;989;6.2;8;8;9,424;59.3;7,530;5,603;1,927;2,373;31.5
------;Straftaten insgesamt;06413000;Offenbach am Main;10,530;8,314;847;8.0;7;14;6,968;66.2;5,442;4,272;1,170;2,810;51.6
------;Straftaten insgesamt;03403000;Oldenburg (Oldenburg);12,997;7,779;783;6.0;20;9;7,604;58.5;5,054;3,877;1,177;1,298;25.7
------;Straftaten insgesamt;03404000;Osnabrück;17,602;10,709;961;5.5;16;8;10,748;61.1;7,007;5,459;1,548;2,425;34.6
------;Straftaten insgesamt;05774032;Paderborn;11,208;7,518;928;8.3;2;7;6,525;58.2;4,682;3,509;1,173;1,349;28.8
------;Straftaten insgesamt;08231000;Pforzheim;9,141;7,355;563;6.2;7;3;5,683;62.2;4,102;3,060;1,042;1,946;47.4
------;Straftaten insgesamt;12054000;Potsdam;16,168;9,202;900;5.6;14;6;8,829;54.6;5,523;4,137;1,386;1,450;26.3
------;Straftaten insgesamt;05562032;Recklinghausen;10,019;8,838;663;6.6;4;5;5,647;56.4;4,234;3,226;1,008;1,326;31.3
------;Straftaten insgesamt;09362000;Regensburg;13,803;9,147;703;5.1;9;7;9,071;65.7;6,101;4,411;1,690;2,874;47.1
------;Straftaten insgesamt;05120000;Remscheid;6,851;6,195;474;6.9;3;4;4,286;62.6;2,891;2,125;766;961;33.2
------;Straftaten insgesamt;08415061;Reutlingen;7,331;6,333;578;7.9;6;9;4,659;63.6;3,061;2,337;724;1,177;38.5
------;Straftaten insgesamt;13003000;Rostock;20,168;9,677;1,221;6.1;3;3;12,578;62.4;7,960;6,034;1,926;1,836;23.1
------;Straftaten insgesamt;10041100;Saarbrücken;23,513;12,993;2,228;9.5;16;19;13,889;59.1;9,398;7,024;2,374;3,995;42.5
------;Straftaten insgesamt;03102000;Salzgitter;6,359;6,082;512;8.1;7;13;4,173;65.6;3,124;2,337;787;968;31.0
------;Straftaten insgesamt;13004000;Schwerin;10,645;11,112;833;7.8;1;0;7,242;68.0;4,271;3,175;1,096;1,066;25.0
------;Straftaten insgesamt;05970040;Siegen;10,108;9,877;622;6.2;8;16;6,882;68.1;4,063;2,975;1,088;1,502;37.0
------;Straftaten insgesamt;05122000;Solingen;9,809;6,177;882;9.0;3;11;4,647;47.4;3,829;2,879;950;1,274;33.3
------;Straftaten insgesamt;08111000;Stuttgart;53,828;8,507;4,144;7.7;22;19;34,230;63.6;24,240;19,012;5,228;11,358;46.9
------;Straftaten insgesamt;07211000;Trier;10,795;9,812;464;4.3;3;3;7,539;69.8;5,884;4,295;1,589;3,102;52.7
------;Straftaten insgesamt;08421000;Ulm;9,269;7,380;543;5.9;3;3;5,894;63.6;4,383;3,399;984;2,056;46.9
------;Straftaten insgesamt;06414000;Wiesbaden;20,364;7,308;1,232;6.0;19;20;13,038;64.0;8,537;6,462;2,075;3,408;39.9
------;Straftaten insgesamt;03103000;Wolfsburg;9,086;7,333;688;7.6;13;4;4,916;54.1;3,543;2,786;757;1,133;32.0
------;Straftaten insgesamt;05124000;Wuppertal;31,829;9,002;2,353;7.4;25;8;17,682;55.6;12,140;8,990;3,150;4,369;36.0
------;Straftaten insgesamt;09663000;Würzburg;11,084;8,753;878;7.9;9;10;7,710;69.6;5,310;4,195;1,115;1,851;34.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05334002;Aachen;45;18;8;17.8;0;0;37;82.2;38;38;0;17;44.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09761000;Augsburg;38;13;6;15.8;0;0;36;94.7;42;42;0;23;54.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05378004;Bergisch Gladbach;8;7;2;25.0;0;0;7;87.5;7;7;0;5;71.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;11000000;Berlin;768;21;86;11.2;1;0;499;65.0;508;501;7;236;46.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05711000;Bielefeld;44;13;5;11.4;0;0;37;84.1;39;39;0;16;41.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05911000;Bochum;44;12;4;9.1;0;0;38;86.4;37;37;0;14;37.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05314000;Bonn;53;16;7;13.2;0;0;41;77.4;41;41;0;22;53.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05512000;Bottrop;16;14;3;18.8;0;0;12;75.0;13;12;1;2;15.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03101000;Braunschweig;38;15;5;13.2;0;0;31;81.6;33;33;0;8;24.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;04011000;Bremen;127;22;10;7.9;0;0;85;66.9;85;84;1;41;48.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;04012000;Bremerhaven;21;19;4;19.0;0;0;18;85.7;18;18;0;6;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14511000;Chemnitz;28;11;0;0.0;0;0;22;78.6;23;23;0;6;26.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;12052000;Cottbus;26;26;2;7.7;0;0;23;88.5;24;24;0;4;16.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;06411000;Darmstadt;12;8;1;8.3;0;0;10;83.3;10;10;0;3;30.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05913000;Dortmund;115;20;16;13.9;1;0;91;79.1;103;102;1;49;47.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14612000;Dresden;39;7;3;7.7;0;0;31;79.5;33;33;0;17;51.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05112000;Duisburg;70;14;5;7.1;0;0;64;91.4;64;63;1;23;35.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05111000;Düsseldorf;85;14;10;11.8;0;0;60;70.6;64;63;1;32;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;16051000;Erfurt;39;18;2;5.1;0;0;37;94.9;32;32;0;11;34.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09562000;Erlangen;20;18;2;10.0;0;0;17;85.0;17;17;0;8;47.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05113000;Essen;95;16;9;9.5;0;0;78;82.1;88;86;2;39;44.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;06412000;Frankfurt am Main;107;14;17;15.9;3;0;88;82.2;94;94;0;63;67.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08311000;Freiburg im Breisgau;20;9;3;15.0;0;0;15;75.0;27;27;0;20;74.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09563000;Fürth;16;13;2;12.5;0;0;15;93.8;16;16;0;10;62.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05513000;Gelsenkirchen;27;10;1;3.7;0;0;25;92.6;31;30;1;15;48.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03159016;Göttingen;19;16;4;21.1;0;0;18;94.7;20;20;0;10;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05914000;Hagen;34;18;4;11.8;0;0;26;76.5;27;26;1;6;22.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;15002000;Halle (Saale);47;20;7;14.9;0;0;33;70.2;36;36;0;18;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;02000000;Hamburg;211;12;33;15.6;0;0;170;80.6;183;178;5;89;48.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05915000;Hamm;24;13;4;16.7;0;0;20;83.3;22;22;0;11;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03241001;Hannover;129;24;7;5.4;0;0;112;86.8;116;113;3;48;41.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08221000;Heidelberg;13;8;3;23.1;0;0;13;100.0;16;16;0;10;62.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08121000;Heilbronn;18;14;2;11.1;0;0;14;77.8;14;14;0;8;57.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05916000;Herne;19;12;2;10.5;0;0;16;84.2;15;15;0;10;66.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03254021;Hildesheim;17;17;3;17.6;0;0;15;88.2;14;14;0;5;35.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09161000;Ingolstadt;21;16;1;4.8;0;0;20;95.2;20;19;1;9;45.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;16053000;Jena;9;8;0;0.0;0;0;7;77.8;7;7;0;0;0.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08212000;Karlsruhe;38;12;3;7.9;0;0;33;86.8;38;38;0;18;47.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;06611000;Kassel;47;23;10;21.3;0;0;33;70.2;34;34;0;16;47.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;01002000;Kiel;45;18;6;13.3;0;0;39;86.7;43;43;0;14;32.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;07111000;Koblenz;14;12;1;7.1;0;0;11;78.6;11;11;0;4;36.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05315000;Köln;238;22;29;12.2;0;0;180;75.6;190;188;2;81;42.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05114000;Krefeld;22;10;2;9.1;0;0;19;86.4;19;19;0;7;36.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14713000;Leipzig;36;6;3;8.3;0;0;33;91.7;33;33;0;14;42.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05316000;Leverkusen;28;17;3;10.7;0;0;25;89.3;25;25;0;11;44.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;01003000;Lübeck;42;19;4;9.5;0;0;37;88.1;38;36;2;15;39.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;07314000;Ludwigshafen am Rhein;41;24;5;12.2;0;0;33;80.5;36;36;0;8;22.2
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;15003000;Magdeburg;40;17;8;20.0;0;0;33;82.5;32;32;0;7;21.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;07315000;Mainz;41;19;3;7.3;1;0;33;80.5;31;31;0;17;54.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08222000;Mannheim;41;13;0;0.0;0;0;35;85.4;37;36;1;14;37.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05170024;Moers;7;7;0;0.0;0;0;7;100.0;7;7;0;2;28.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05116000;Mönchengladbach;36;14;1;2.8;0;0;32;88.9;32;32;0;12;37.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05117000;Mülheim an der Ruhr;16;9;1;6.3;0;0;13;81.3;14;13;1;7;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09162000;München;243;17;34;14.0;2;0;200;82.3;227;225;2;142;62.6
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05515000;Münster;32;10;1;3.1;0;0;25;78.1;26;26;0;13;50.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05162024;Neuss;12;8;0;0.0;0;0;11;91.7;9;9;0;7;77.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09564000;Nürnberg;88;17;10;11.4;0;0;72;81.8;78;75;3;46;59.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05119000;Oberhausen;17;8;1;5.9;0;0;16;94.1;16;16;0;6;37.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;06413000;Offenbach am Main;18;14;3;16.7;0;0;16;88.9;19;19;0;15;78.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03403000;Oldenburg (Oldenburg);33;20;2;6.1;0;0;31;93.9;34;33;1;10;29.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03404000;Osnabrück;39;24;7;17.9;0;0;30;76.9;29;28;1;15;51.7
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05774032;Paderborn;18;12;2;11.1;0;0;13;72.2;13;13;0;7;53.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08231000;Pforzheim;10;8;0;0.0;0;0;9;90.0;9;9;0;7;77.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;12054000;Potsdam;19;11;4;21.1;0;0;17;89.5;17;17;0;8;47.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05562032;Recklinghausen;19;17;4;21.1;0;0;16;84.2;21;21;0;7;33.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;09362000;Regensburg;30;20;7;23.3;0;0;27;90.0;30;30;0;12;40.0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;05120000;Remscheid;18;16;2;11.1;0;0;15;83.3;14;14;0;3;21.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;08415061;Reutlingen;13;11;1;7.7;0;0;12;92.3;11;11;0;5;45.5
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;13003000;Rostock;23;11;4;17.4;0;0;19;82.6;19;19;0;7;36.8
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;10041100;Saarbrücken;32;18;5;15.6;0;0;28;87.5;28;28;0;13;46.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;03102000;Salzgitter;16;15;2;12.5;0;0;12;75.0;12;12;0;7;58.3
