Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;05334002;Aachen;26,208;10,642;1,988;7.6;5;6;14,313;54.6;11,074;8,780;2,294;5,696;51.4
------;Straftaten insgesamt;09761000;Augsburg;21,206;7,241;1,312;6.2;10;17;14,942;70.5;10,318;7,903;2,415;4,193;40.6
------;Straftaten insgesamt;05378004;Bergisch Gladbach;6,012;5,386;480;8.0;2;2;2,972;49.4;2,553;1,921;632;753;29.5
------;Straftaten insgesamt;11000000;Berlin;511,677;14,160;40,589;7.9;363;287;227,155;44.4;137,072;101,377;35,695;60,057;43.8
------;Straftaten insgesamt;05711000;Bielefeld;23,242;6,989;1,535;6.6;15;11;14,114;60.7;10,240;7,843;2,397;4,194;41.0
------;Straftaten insgesamt;05911000;Bochum;32,020;8,760;2,306;7.2;15;11;18,542;57.9;11,972;9,100;2,872;3,890;32.5
------;Straftaten insgesamt;05314000;Bonn;27,996;8,601;2,035;7.3;22;10;13,802;49.3;10,219;7,802;2,417;3,629;35.5
------;Straftaten insgesamt;05512000;Bottrop;6,901;5,880;495;7.2;10;5;3,613;52.4;2,834;2,104;730;768;27.1
------;Straftaten insgesamt;03101000;Braunschweig;21,355;8,610;1,358;6.4;22;12;13,553;63.5;9,045;6,855;2,190;2,765;30.6
------;Straftaten insgesamt;04011000;Bremen;62,101;10,933;6,009;9.7;88;19;30,615;49.3;20,002;15,347;4,655;8,610;43.0
------;Straftaten insgesamt;04012000;Bremerhaven;12,206;10,799;1,058;8.7;27;19;5,873;48.1;4,132;3,219;913;1,320;31.9
------;Straftaten insgesamt;14511000;Chemnitz;23,744;9,619;2,511;10.6;8;10;13,774;58.0;8,983;6,558;2,425;3,760;41.9
------;Straftaten insgesamt;12052000;Cottbus;9,026;8,933;711;7.9;4;4;5,086;56.3;3,226;2,472;754;631;19.6
------;Straftaten insgesamt;06411000;Darmstadt;11,200;7,077;666;5.9;2;1;7,024;62.7;5,200;3,949;1,251;2,060;39.6
------;Straftaten insgesamt;05913000;Dortmund;66,327;11,307;5,114;7.7;26;31;37,989;57.3;24,768;19,130;5,638;9,913;40.0
------;Straftaten insgesamt;14612000;Dresden;49,152;8,919;3,647;7.4;34;32;27,792;56.5;16,537;12,596;3,941;5,702;34.5
------;Straftaten insgesamt;05112000;Duisburg;44,070;8,847;3,199;7.3;26;22;24,894;56.5;17,620;13,035;4,585;6,919;39.3
------;Straftaten insgesamt;05111000;Düsseldorf;62,734;10,163;4,287;6.8;18;10;31,511;50.2;24,889;18,600;6,289;12,409;49.9
------;Straftaten insgesamt;16051000;Erfurt;24,074;11,303;1,620;6.7;10;17;16,248;67.5;9,689;7,138;2,551;2,218;22.9
------;Straftaten insgesamt;09562000;Erlangen;5,815;5,239;457;7.9;7;9;3,681;63.3;2,874;2,240;634;1,145;39.8
------;Straftaten insgesamt;05113000;Essen;50,065;8,582;3,130;6.3;23;21;29,648;59.2;20,966;15,653;5,313;8,253;39.4
------;Straftaten insgesamt;06412000;Frankfurt am Main;117,719;15,761;7,091;6.0;47;46;81,373;69.1;46,173;33,023;13,150;31,138;67.4
------;Straftaten insgesamt;08311000;Freiburg im Breisgau;25,551;11,127;1,740;6.8;8;7;16,690;65.3;10,588;8,056;2,532;4,837;45.7
------;Straftaten insgesamt;09563000;Fürth;5,426;4,288;326;6.0;3;5;3,695;68.1;3,056;2,327;729;1,196;39.1
------;Straftaten insgesamt;05513000;Gelsenkirchen;22,234;8,542;1,612;7.3;7;10;11,956;53.8;9,450;6,902;2,548;3,425;36.2
------;Straftaten insgesamt;03159016;Göttingen;11,532;9,648;699;6.1;14;12;6,236;54.1;4,587;3,491;1,096;1,442;31.4
------;Straftaten insgesamt;05914000;Hagen;14,134;7,529;984;7.0;11;11;7,971;56.4;6,081;4,595;1,486;2,366;38.9
------;Straftaten insgesamt;15002000;Halle (Saale);28,925;12,094;3,263;11.3;21;17;13,908;48.1;8,636;6,516;2,120;2,379;27.5
------;Straftaten insgesamt;02000000;Hamburg;216,569;11,831;15,149;7.0;200;111;99,687;46.0;67,853;52,193;15,660;31,044;45.8
------;Straftaten insgesamt;05915000;Hamm;13,355;7,453;904;6.8;9;2;7,688;57.6;5,762;4,486;1,276;2,330;40.4
------;Straftaten insgesamt;03241001;Hannover;70,212;13,122;4,678;6.7;61;38;44,038;62.7;27,338;21,049;6,289;11,338;41.5
------;Straftaten insgesamt;08221000;Heidelberg;16,656;10,371;1,115;6.7;6;1;10,617;63.7;8,050;6,093;1,957;4,463;55.4
------;Straftaten insgesamt;08121000;Heilbronn;8,720;6,970;706;8.1;6;11;5,577;64.0;4,419;3,380;1,039;2,058;46.6
