Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;7211000;Trier;18,653;16,232;475;2.5;7;5;15,079;80.8;13,118;9,390;3,728;10,240;78.1
------;Straftaten insgesamt;8421000;Ulm;10,923;8,907;538;4.9;4;2;6,770;62;4,739;3,622;1,117;2,319;48.9
------;Straftaten insgesamt;6414000;Wiesbaden;23,276;8,427;1,520;6.5;17;13;14,283;61.4;9,331;7,006;2,325;3,848;41.2
------;Straftaten insgesamt;3103000;Wolfsburg;8,988;7,246;719;8;17;11;4,969;55.3;3,475;2,697;778;1,140;32.8
------;Straftaten insgesamt;5124000;Wuppertal;37,021;10,576;3,672;9.9;16;13;19,052;51.5;12,904;9,797;3,107;5,027;39
------;Straftaten insgesamt;9663000;Wuerzburg;11,029;8,832;657;6;3;15;7,640;69.3;5,909;4,729;1,180;2,088;35.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5334002;Aachen;38;15;9;23.7;0;0;28;73.7;30;30;0;18;60
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9761000;Augsburg;23;8;2;8.7;0;0;24;104.3;24;24;0;6;25
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5378004;Bergisch Gladbach;2;2;0;0;0;0;2;100;2;2;0;0;0
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;11000000;Berlin;586;17;91;15.5;2;0;372;63.5;362;359;3;169;46.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5711000;Bielefeld;37;11;12;32.4;0;0;27;73;25;25;0;6;24
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5911000;Bochum;44;12;5;11.4;0;0;36;81.8;36;36;0;13;36.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5314000;Bonn;61;19;9;14.8;0;0;42;68.9;43;43;0;17;39.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5512000;Bottrop;10;9;1;10;0;0;9;90;8;8;0;2;25
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3101000;Braunschweig;45;18;3;6.7;0;0;40;88.9;44;43;1;14;31.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;4011000;Bremen;118;21;20;16.9;0;1;81;68.6;82;82;0;40;48.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;4012000;Bremerhaven;32;28;6;18.8;1;0;22;68.8;25;25;0;14;56
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;14511000;Chemnitz;11;4;0;0;0;0;9;81.8;9;9;0;2;22.2
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;6411000;Darmstadt;21;14;3;14.3;0;0;11;52.4;10;10;0;3;30
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5913000;Dortmund;103;18;21;20.4;1;0;80;77.7;93;92;1;50;53.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;14612000;Dresden;15;3;3;20;0;0;12;80;16;16;0;6;37.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5112000;Duisburg;61;12;9;14.8;0;0;58;95.1;57;57;0;25;43.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5111000;Duesseldorf;95;16;24;25.3;0;0;61;64.2;64;64;0;32;50
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;16051000;Erfurt;28;13;6;21.4;0;0;19;67.9;18;18;0;5;27.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9562000;Erlangen;12;11;0;0;0;0;11;91.7;10;10;0;5;50
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5113000;Essen;96;16;8;8.3;1;0;77;80.2;85;82;3;26;30.6
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;6412000;Frankfurt am Main;73;10;16;21.9;1;0;54;74;62;62;0;37;59.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8311000;Freiburg im Breisgau;21;9;4;19;0;0;17;81;17;17;0;13;76.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9563000;Fuerth;12;10;2;16.7;0;0;9;75;9;9;0;5;55.6
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5513000;Gelsenkirchen;39;15;4;10.3;0;0;32;82.1;34;34;0;15;44.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3152012;Goettingen;18;15;5;27.8;0;0;15;83.3;15;14;1;4;26.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5914000;Hagen;25;13;3;12;0;0;21;84;22;22;0;6;27.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;15002000;Halle (Saale);30;13;6;20;0;0;25;83.3;25;25;0;6;24
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;2000000;Hamburg;180;10;46;25.6;2;0;107;59.4;114;113;1;68;59.6
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5915000;Hamm;25;14;7;28;0;0;16;64;20;18;2;3;15
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3241001;Hannover;77;14;19;24.7;0;0;48;62.3;50;50;0;21;42
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8221000;Heidelberg;15;10;2;13.3;0;0;14;93.3;14;14;0;7;50
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8121000;Heilbronn;8;7;0;0;0;0;4;50;5;5;0;5;100
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5916000;Herne;22;14;3;13.6;0;0;17;77.3;20;20;0;5;25
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3254021;Hildesheim;21;21;3;14.3;0;0;22;104.8;23;23;0;3;13
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9161000;Ingolstadt;18;14;0;0;0;0;17;94.4;17;17;0;6;35.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;16053000;Jena;7;6;0;0;0;0;5;71.4;5;5;0;0;0
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8212000;Karlsruhe;28;9;7;25;0;0;21;75;23;22;1;8;34.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;6611000;Kassel;43;22;6;14;0;0;34;79.1;35;35;0;13;37.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;1002000;Kiel;36;15;1;2.8;1;0;29;80.6;29;29;0;11;37.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;7111000;Koblenz;15;13;2;13.3;0;0;11;73.3;12;12;0;4;33.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5315000;Koeln;422;40;31;7.3;1;0;157;37.2;170;164;6;105;61.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5114000;Krefeld;31;14;3;9.7;0;0;28;90.3;30;30;0;12;40
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;14713000;Leipzig;29;5;3;10.3;0;0;23;79.3;25;25;0;14;56
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5316000;Leverkusen;25;15;5;20;0;0;20;80;20;20;0;8;40
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;1003000;Luebeck;33;15;7;21.2;0;0;28;84.8;31;31;0;9;29
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;7314000;Ludwigshafen am Rhein;37;22;4;10.8;0;0;31;83.8;33;33;0;12;36.4
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;15003000;Magdeburg;49;21;12;24.5;0;0;40;81.6;39;37;2;5;12.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;7315000;Mainz;32;15;7;21.9;0;0;25;78.1;30;30;0;19;63.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8222000;Mannheim;41;13;6;14.6;0;0;33;80.5;38;38;0;20;52.6
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5170024;Moers;5;5;1;20;0;0;5;100;5;5;0;1;20
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5116000;Moenchengladbach;36;14;4;11.1;0;0;29;80.6;31;30;1;8;25.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5117000;Muelheim an der Ruhr;21;12;0;0;0;0;17;81;17;17;0;8;47.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9162000;Muenchen;165;11;26;15.8;1;0;131;79.4;135;133;2;93;68.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5515000;Muenster;32;10;6;18.8;0;0;30;93.8;30;30;0;15;50
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5162024;Neuss;11;7;3;27.3;0;0;10;90.9;12;12;0;3;25
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9564000;Nuernberg;50;10;6;12;0;0;38;76;42;42;0;26;61.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5119000;Oberhausen;28;13;3;10.7;0;0;25;89.3;27;26;1;12;44.4
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;6413000;Offenbach am Main;18;15;1;5.6;0;0;12;66.7;13;13;0;8;61.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3403000;Oldenburg (Oldenburg);28;17;4;14.3;0;0;22;78.6;24;24;0;11;45.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3404000;Osnabrueck;29;18;3;10.3;0;0;20;69;22;22;0;8;36.4
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5774032;Paderborn;26;18;2;7.7;0;0;19;73.1;16;16;0;6;37.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8231000;Pforzheim;13;11;0;0;0;0;13;100;17;17;0;13;76.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;12054000;Potsdam;12;7;0;0;0;0;10;83.3;11;11;0;2;18.2
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5562032;Recklinghausen;15;13;4;26.7;0;0;9;60;9;9;0;2;22.2
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9362000;Regensburg;12;8;2;16.7;0;0;10;83.3;11;11;0;8;72.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5120000;Remscheid;11;10;2;18.2;0;0;8;72.7;8;8;0;1;12.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8415061;Reutlingen;9;8;1;11.1;0;0;9;100;11;10;1;8;72.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;13003000;Rostock;11;5;1;9.1;0;0;9;81.8;11;11;0;1;9.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;10041100;Saarbruecken;21;12;4;19;0;0;17;81;17;17;0;9;52.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3102000;Salzgitter;14;14;0;0;0;0;12;85.7;14;14;0;5;35.7
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;13004000;Schwerin;3;3;0;0;0;0;3;100;3;3;0;1;33.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5970040;Siegen;8;8;2;25;0;0;6;75;5;5;0;4;80
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5122000;Solingen;16;10;5;31.3;0;0;11;68.8;11;11;0;7;63.6
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8111000;Stuttgart;103;17;16;15.5;0;0;71;68.9;75;73;2;49;65.3
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;7211000;Trier;10;9;0;0;0;0;8;80;8;8;0;1;12.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;8421000;Ulm;19;15;6;31.6;0;0;15;78.9;14;14;0;8;57.1
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;6414000;Wiesbaden;26;9;4;15.4;0;0;22;84.6;25;23;2;10;40
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;3103000;Wolfsburg;19;15;3;15.8;0;0;19;100;22;19;3;9;40.9
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;5124000;Wuppertal;51;15;9;17.6;0;0;42;82.4;47;46;1;14;29.8
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;9663000;Wuerzburg;13;10;2;15.4;0;0;12;92.3;13;13;0;9;69.2
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5334002;Aachen;410;167;65;15.9;6;0;188;45.9;225;203;22;108;48
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9761000;Augsburg;104;36;37;35.6;6;0;82;78.8;111;99;12;36;32.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5378004;Bergisch Gladbach;51;46;11;21.6;1;0;32;62.7;49;48;1;13;26.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;11000000;Berlin;5,156;146;915;17.7;170;5;1,908;37;2,154;1,978;176;1,057;49.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5711000;Bielefeld;261;78;61;23.4;13;1;116;44.4;161;148;13;69;42.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5911000;Bochum;358;98;72;20.1;9;0;156;43.6;192;169;23;90;46.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5314000;Bonn;332;104;72;21.7;12;0;147;44.3;174;157;17;83;47.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5512000;Bottrop;59;50;22;37.3;0;0;25;42.4;37;34;3;17;45.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3101000;Braunschweig;163;65;34;20.9;5;1;86;52.8;133;115;18;77;57.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;4011000;Bremen;966;173;184;19;41;1;380;39.3;421;389;32;243;57.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;4012000;Bremerhaven;192;168;45;23.4;25;0;102;53.1;103;97;6;39;37.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;14511000;Chemnitz;190;76;27;14.2;9;1;116;61.1;137;123;14;64;46.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;6411000;Darmstadt;105;68;20;19;1;1;65;61.9;87;82;5;40;46
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5913000;Dortmund;872;149;154;17.7;16;1;399;45.8;488;465;23;265;54.3
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;14612000;Dresden;402;74;60;14.9;8;1;203;50.5;270;243;27;106;39.3
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5112000;Duisburg;526;107;144;27.4;26;3;270;51.3;353;311;42;177;50.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5111000;Duesseldorf;688;112;119;17.3;6;0;220;32;321;287;34;166;51.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;16051000;Erfurt;167;79;33;19.8;5;0;100;59.9;131;121;10;29;22.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9562000;Erlangen;24;22;5;20.8;1;0;14;58.3;16;16;0;9;56.3
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5113000;Essen;706;121;131;18.6;38;2;326;46.2;432;389;43;206;47.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;6412000;Frankfurt am Main;1,033;141;186;18;46;2;458;44.3;577;518;59;324;56.2
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8311000;Freiburg im Breisgau;201;89;34;16.9;12;0;93;46.3;105;98;7;53;50.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9563000;Fuerth;39;31;9;23.1;1;0;26;66.7;47;42;5;24;51.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5513000;Gelsenkirchen;310;119;70;22.6;10;0;129;41.6;164;149;15;70;42.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3152012;Goettingen;150;126;31;20.7;7;1;80;53.3;93;89;4;42;45.2
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5914000;Hagen;154;81;31;20.1;2;0;85;55.2;110;99;11;48;43.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;15002000;Halle (Saale);238;100;51;21.4;1;1;108;45.4;131;122;9;23;17.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;2000000;Hamburg;2,446;137;444;18.2;114;2;1,032;42.2;1,242;1,107;135;661;53.2
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5915000;Hamm;162;90;34;21;2;1;67;41.4;90;79;11;36;40
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3241001;Hannover;654;123;124;19;28;1;357;54.6;454;400;54;216;47.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8221000;Heidelberg;96;61;14;14.6;0;0;68;70.8;87;83;4;57;65.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8121000;Heilbronn;59;48;7;11.9;4;0;30;50.8;36;34;2;13;36.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5916000;Herne;130;83;40;30.8;4;0;70;53.8;107;89;18;49;45.8
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3254021;Hildesheim;112;110;26;23.2;2;1;77;68.8;95;85;10;43;45.3
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9161000;Ingolstadt;60;45;11;18.3;1;0;42;70;46;46;0;21;45.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;16053000;Jena;34;31;8;23.5;1;0;23;67.6;31;30;1;2;6.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8212000;Karlsruhe;220;71;45;20.5;4;0;116;52.7;160;142;18;94;58.8
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;6611000;Kassel;171;86;34;19.9;8;0;91;53.2;116;102;14;40;34.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;1002000;Kiel;292;119;55;18.8;11;1;157;53.8;185;169;16;62;33.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;7111000;Koblenz;89;79;21;23.6;7;0;46;51.7;68;59;9;15;22.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5315000;Koeln;1,390;131;301;21.7;24;2;582;41.9;689;612;77;347;50.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5114000;Krefeld;215;95;44;20.5;3;0;89;41.4;109;100;9;44;40.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;14713000;Leipzig;657;117;80;12.2;26;2;311;47.3;375;343;32;169;45.1
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5316000;Leverkusen;118;72;21;17.8;3;0;68;57.6;90;80;10;44;48.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;1003000;Luebeck;207;96;42;20.3;15;1;121;58.5;161;147;14;51;31.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;7314000;Ludwigshafen am Rhein;156;95;39;25;9;1;87;55.8;101;95;6;42;41.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;15003000;Magdeburg;241;102;54;22.4;5;3;138;57.3;175;161;14;26;14.9
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;7315000;Mainz;115;55;26;22.6;9;0;76;66.1;80;75;5;42;52.5
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8222000;Mannheim;334;109;60;18;17;0;132;39.5;179;167;12;117;65.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5170024;Moers;86;82;20;23.3;4;0;53;61.6;75;60;15;26;34.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5116000;Moenchengladbach;277;107;50;18.1;9;0;162;58.5;189;166;23;67;35.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5117000;Muelheim an der Ruhr;101;60;18;17.8;4;3;52;51.5;78;69;9;39;50
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9162000;Muenchen;587;40;142;24.2;11;1;377;64.2;487;429;58;305;62.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5515000;Muenster;220;71;39;17.7;7;2;117;53.2;152;139;13;58;38.2
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5162024;Neuss;106;68;30;28.3;2;2;51;48.1;68;60;8;25;36.8
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;9564000;Nuernberg;288;56;59;20.5;19;0;191;66.3;261;230;31;133;51
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5119000;Oberhausen;193;91;46;23.8;12;2;106;54.9;147;129;18;55;37.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;6413000;Offenbach am Main;97;78;16;16.5;4;0;58;59.8;82;75;7;40;48.8
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3403000;Oldenburg (Oldenburg);115;70;22;19.1;5;1;68;59.1;110;97;13;26;23.6
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;3404000;Osnabrueck;155;95;28;18.1;8;0;85;54.8;110;105;5;36;32.7
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;5774032;Paderborn;116;78;31;26.7;0;1;67;57.8;91;79;12;34;37.4
210000;Raub, raeuberische Erpressung und raeuberischer Angriff auf Kraftfahrer ßß 249-252, 255, 316a StGB;8231000;Pforzheim;64;52;14;21.9;2;0;38;59.4;61;58;3;18;29.5
