Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
899000;Straﬂenkriminalitaet;7315000;Mainz;4,000;1,907;175;4.4;4;2;750;18.8;752;674;78;264;35.1
899000;Straﬂenkriminalitaet;8222000;Mannheim;8,638;2,825;547;6.3;3;4;1,064;12.3;1,073;931;142;604;56.3
899000;Straﬂenkriminalitaet;5170024;Moers;2,327;2,226;160;6.9;2;2;426;18.3;346;300;46;106;30.6
899000;Straﬂenkriminalitaet;5116000;Moenchengladbach;5,718;2,199;295;5.2;1;2;916;16;1,014;897;117;289;28.5
899000;Straﬂenkriminalitaet;5117000;Muelheim an der Ruhr;3,497;2,066;246;7;0;3;407;11.6;403;344;59;140;34.7
899000;Straﬂenkriminalitaet;9162000;Muenchen;18,603;1,283;738;4;2;3;3,858;20.7;3,881;3,490;391;2,014;51.9
899000;Straﬂenkriminalitaet;5515000;Muenster;11,078;3,573;397;3.6;2;6;1,371;12.4;1,128;1,006;122;420;37.2
899000;Straﬂenkriminalitaet;5162024;Neuss;3,847;2,475;404;10.5;1;3;604;15.7;568;500;68;199;35
899000;Straﬂenkriminalitaet;9564000;Nuernberg;8,736;1,713;486;5.6;9;5;1,639;18.8;1,442;1,289;153;642;44.5
899000;Straﬂenkriminalitaet;5119000;Oberhausen;3,872;1,836;280;7.2;3;11;642;16.6;725;637;88;236;32.6
899000;Straﬂenkriminalitaet;6413000;Offenbach am Main;2,307;1,864;156;6.8;1;1;559;24.2;434;384;50;221;50.9
899000;Straﬂenkriminalitaet;3403000;Oldenburg (Oldenburg);4,031;2,460;203;5;2;1;792;19.6;550;503;47;155;28.2
899000;Straﬂenkriminalitaet;3404000;Osnabrueck;4,454;2,743;166;3.7;1;3;1,260;28.3;1,215;1,083;132;232;19.1
899000;Straﬂenkriminalitaet;5774032;Paderborn;3,184;2,150;184;5.8;0;4;456;14.3;483;436;47;178;36.9
899000;Straﬂenkriminalitaet;8231000;Pforzheim;1,468;1,201;67;4.6;1;3;232;15.8;271;233;38;103;38
899000;Straﬂenkriminalitaet;12054000;Potsdam;3,666;2,185;225;6.1;2;0;671;18.3;452;427;25;152;33.6
899000;Straﬂenkriminalitaet;5562032;Recklinghausen;2,583;2,259;180;7;1;5;437;16.9;428;385;43;139;32.5
899000;Straﬂenkriminalitaet;9362000;Regensburg;2,830;1,945;112;4;2;1;503;17.8;455;414;41;140;30.8
899000;Straﬂenkriminalitaet;5120000;Remscheid;1,478;1,350;89;6;0;1;220;14.9;243;212;31;84;34.6
899000;Straﬂenkriminalitaet;8415061;Reutlingen;1,200;1,050;61;5.1;0;0;222;18.5;211;183;28;86;40.8
899000;Straﬂenkriminalitaet;13003000;Rostock;3,887;1,887;213;5.5;0;4;677;17.4;739;651;88;79;10.7
